location,event,date,artist,coordinates
Saint Sulpice,FESTIVAL DE LA CITE A LAUSANNE,2013-07-06,DEAD WESTERN,"(46.51011399999999, 6.558195100000001)"
Avully,GENA FESTIVAL,2013-07-06,FLOYD BEAUMONT,"(46.1696093, 6.0013782)"
Lugano,LUGANO ESTIVAL JAZZ,2013-07-06,ARTURO SANDOVAL,"(46.0036778, 8.951051999999999)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,KOQA,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,BIG BAND DE ROANNE (BBR),"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,KOQA,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,WYCLEF JEAN,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,TRIXIE WHITLEY,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,GIRLS IN HAWAII,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,MONOSKI,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,DEETRON,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-06,BTK aka IDENTITY,"(46.4312213, 6.9106799)"
Locarno,MOON AND STARS,2013-07-06,DIE TOTEN HOSEN,"(46.16699879999999, 8.7942643)"
Zurich,TOUCH THE LAKE,2013-07-06,SNOWGOONS,"(47.3768866, 8.541694)"
