-Alte-Kirche	(47.30297299999999, 8.320458)
-Club	(24.2728001, 87.7967455)
-Eglise-du-Pasquart	(47.1402602, 7.2418453)
-Festplatz-am-See	(49.5211009, 6.667536)
-Halle-1019	(52.41967700000001, 8.9157987)
-Happy-Inn-Lodge	None
-KuZeB	(35.4551383, 136.7380461)
-Maison-du-Peuple	(6.3744761, 2.447124)
-Sud-des-Alpes	(45.1711335, 5.733183)
-Temple-allemand	(47.1415188, 7.246588500000001)
1 Rue de Chantepoulet, 1201 Geneva	(46.2078295, 6.1453956)
1007 Lausanne	(46.516054, 6.608998000000001)
1007, Allée du Bornan 8, 1007 Lausanne	(46.5118407, 6.6043179)
11 Rue de la Coulouvrenière, 1st floor, Geneva	(46.2039588, 6.1360516)
1470 Estavayer-le-Lac	(46.8496401, 6.845060800000001)
1530 Payerne	(46.8341898, 6.9289693)
17 via Stazione 17, 6532, Castione	(46.2230474, 9.0423741)
18 Chemin Adrien-Stoessel, Meyrin Geneva	(46.2231148, 6.0836071)
1854 Leysin	(46.3435634, 7.012033)
2 Rue De La Faucille Geneva	(46.2103974, 6.1398172)
2000, Neuchatel	(46.9995997, 6.9344141)
22 rue Cendrier, Geneva	(46.207367, 6.1452943)
22 rue du mole, 1201 geneva	(46.2128408, 6.1481178)
3011, Aarbergergasse 26, 3011 Bern	(46.9496581, 7.443056299999999)
3900, Brig	(46.3060531, 7.9539715)
3963, Route des Téléphériques 32, 3963 Lens	(46.3087565, 7.4669288)
4 Place des Volontaires, 1205 Geneve	(46.203962, 6.1360239)
4 Place des Volontaires, Geneva	(46.203962, 6.1360239)
4 rue Arnold Winkelried, 1201 Geneva	(46.2071171, 6.1464006)
43 Avenue de Châtelaine, Geneva	(46.20971, 6.1170386)
52, rue de Carouge - Genève	(46.1939332, 6.143432199999999)
53 Rue Jacques Dalphin	(46.1808933, 6.1403012)
6 BD des Philosophes, 1205, Genève	(46.1972903, 6.1438485)
60, rue de Monthoux, 1201 Genève	(46.21156449999999, 6.1455842)
6004, Löwengraben 18, 6004 Luzern	(47.0528155, 8.304145799999999)
6005 Lucerne	(47.0419512, 8.3140814)
6914 Carona, Lugano	(45.9578621, 8.9345663)
7270 Davos-Platz, Davos	(46.7892573, 9.8002328)
73 Rue des Vollandes, 1207 Geneva	(46.20245269999999, 6.1634335)
8038 Zürich	(47.340415, 8.529471)
9 Rue du Tunnel, Geneva, 1227	(46.1801438, 6.142404399999999)
AFG-Arena	(47.4083034, 9.3057346)
Aarau	(47.390434, 8.0457015)
Aarberg	(47.0420553, 7.2751012)
Aarbergergasse 33/35, 3011, Bern	(46.9495043, 7.442631899999999)
Aarbergergasse 35, 3011 Bern	(46.9495233, 7.442519399999999)
Aarbergergasse 35, 3011, Bern	(46.9495233, 7.442519399999999)
Aarbergstr. 72, 2502, Biel/Bienne	(47.131935, 7.240538900000001)
Aarbergstrasse 72, Biel	(47.131935, 7.240538900000001)
Aarburg	(47.3205914, 7.9066923)
Aaredelta-Grien	(49.18870099999999, -123.090339)
Aargauerstrasse 14-94, 8048 Zürich	(47.3923833, 8.4985213)
Aarwangen	(47.2377902, 7.7708422)
Adelboden	(46.4930889, 7.5595123)
Adliswil	(47.3124347, 8.5270459)
Aeugstertal	(47.284205, 8.487077)
Affoltern-am-Albis	(47.2795081, 8.4540083)
Albani-Music-Club	(47.4984103, 8.7292556)
Alberswil	(47.1510987, 8.0020094)
Albulastrasse 40, 8048, Zurich	(47.388385, 8.4940973)
Alexander-Schönistrasse 17, 2502, Biel/Bienne	(47.1359613, 7.247008399999999)
Allmend	(47.2457912, 8.4504742)
Allmendstreet 14, 3600, Thun	(46.7598376, 7.623878500000001)
Allschwil	(47.5528925, 7.5433615)
