	[]
20-21 Uhr Tanzkurs Bailar Casino	[]
5 In Love	['traditional swing']
Aaron Abernathy	[]
Aaron Diehl	[]
Aaron Wegmann	[]
Adam Taubitz	[]
Adhd	[]
Adrian Mears	[]
Afrika Mkhize	[]
After-Party mit Greem	[]
Agata Wilewska	[]
Ai Yamamura	[]
Akinobu Ono	[]
Al Comet	[]
Albert Hartkamp	[]
Alcides Toirac	[]
Alek Fester	[]
Alessandro Giannelli	[]
Alessandro d'Episcopo	[]
Alessio Pianelli	[]
Alex Hendriksen	[]
Alex Hendriksen Quartet	[]
Alex Huber	[]
Alexander Boeschoten	[]
Alexander Boldachev	[]
Alexander Neustroev	[]
Alexander Seidel	[]
Alexandra Ivanova	[]
Alexandre Beuchat	[]
Alexandre Cunha	[]
Alexey Lavrentyev	[]
Alfatec	['italian punk']
Alfred Zimmerlin	[]
Ali Salvioni	[]
Alice Phoebe Lou	[]
Amik Guerra	[]
Amélie Chemin	[]
Andi Czech	[]
Andi Pupato	[]
Andre Bader	[]
Andrea Beccaro	[]
Andrea Grimm	[]
Andrea Kollé	[]
Andrea Manzoni	[]
Andrea Manzoni Trio	[]
Andrea Nydegger	[]
Andrea Suter	[]
Andrea Wiesli	[]
Andreas Böhlen	[]
Andreas Janke	[]
Andreas Jost	[]
Andreas Liebig	[]
Andreas Schaerer	[]
Andreas Tschopp	[]
Andrei Ionita	[]
André Siqueira	[]
Andy Scherrer	[]
Angélique Kidjo	['world', 'world christmas']
Ann Malcolm	[]
Anna Trauffer	[]
Annette Kappeler	[]
Annette Labusch	[]
Annika Francke	[]
Anton Sword & The We Ours	[]
Antonello Messina	[]
Arabrot	['norwegian metal', 'norwegian rock']
Arend Grosfeld	[]
Ariane Haering	[]
Ariel Rossi	[]
Arkady Shilkloper	[]
Arnaud Surrel	[]
Arnulf Ballhorn	[]
Arturo Arglos	[]
Arturo Stable	['deep latin jazz']
Asa Konishi Jankowska	[]
Asaf Avidan	['israeli rock']
Asher Selector	[]
Asian Dub Foundation Soundsystem	[]
Astrid Fuellemann	[]
Attic	['electronicore', 'post-post-hardcore', 'post-screamo']
Attila Fekete	[]
Audio 88 & Yassin	[]
Aurora Nealand	[]
Aurore Baal	[]
Avi Wogderess Vasa	[]
Axel Wolf	[]
Ayanda Sikade	[]
Bacchus	[]
Backtrack	['alternative emo', 'chaotic hardcore', 'hardcore', 'melodic hardcore', 'straight edge']
Band of Horses	['chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'neo mellow', 'stomp and holler']
Bane	['chaotic hardcore', 'christian hardcore', 'emo', 'hardcore', 'mathcore', 'melodic hardcore', 'metalcore', 'straight edge']
Barbez	['dark cabaret', 'laboratorio', 'steampunk']
Barcella	['french folk pop', 'french rock']
Beat Schneider	[]
Beatrice Voellmy	[]
Beatriz Blanco	[]
Belisa Mang	[]
Bellhound Choir	[]
Ben Zahler	[]
Benedikt Reising	[]
Benedikt Wieland	[]
Benjamin Brodbeck	[]
Benjamin Schmid	['violin']
Benni Kammerer	[]
Benno Kaiser	[]
Benny Omerszell	[]
Bernd Reiter	[]
Bernhard Affolter	[]
Bernhard Egger	[]
Bernhard Hörler	[]
Bernhoft	['norwegian indie', 'norwegian pop', 'norwegian rock']
Berthold Seliger	[]
Beto Sápio	[]
Billy Martin	[]
Black Milk & The Nat Turner	[]
Blackout Problems	[]
Bo Wiget	[]
Boglárka Pecze	[]
Bolschoi Don Kosakenchor	[]
Boulevard Des Airs	['french pop', 'french reggae', 'french rock']
Brainstorm	['p funk']
Breakdown Of Sanity	['death core', 'melodic metalcore', 'metalcore', 'post-screamo', 'rap metal', 'screamo']
Brumes d'automne	[]
Bruno Jundt	[]
Bänz Oester	[]
Bê Betina Ignacio	[]
Bê Ignacio	[]
C.A.R	['alternative rock', 'chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'neo-psychedelic', 'noise pop', 'preverb', 'stomp and holler']
Candy Dulfer	['jazz christmas', 'smooth jazz']
Carbon Airways	[]
Carlo Niederhauser	[]
Carolin Widmann	['violin']
Cato Nordby	[]
Cecile Mc Lorin Salvant Quintet	[]
Chamito	[]
Charlotte Quadt	[]
Chelsey Schill	[]
Chrigu Müller	[]
Chris Ayer	[]
Chris Jaeger	[]
Chris Linder	[]
Chris Norz	[]
Chris Wood	[]
Christian Dilier	[]
Christian Kuntner	[]
Christian Weber	['pop house']
Christina Martin	[]
Christoph Bösch	[]
Christoph Grab	[]
Christoph Kaufmann	[]
Christoph Merki	[]
Christoph Ràcz	[]
Christoph Schepperle	[]
Christoph Stiefel	[]
Christoph Utzinger	[]
Christy Doran	[]
Chuck Prophet	['alternative country', 'alternative roots rock', 'new americana', 'outlaw country', 'pub rock', 'roots rock', 'texas country']
Church Of Misery	['doom metal', 'drone metal', 'j-metal', 'post-doom metal', 'psychedelic doom', 'retro metal', 'sludge metal', 'stoner metal', 'stoner rock']
Cinzia Catania	[]
Civil Civic	[]
Claude Meier	[]
Claudio Filippini	[]
Clemens Schepperle	[]
Cloud Rat	['power violence']
Coely	['belgian rock']
Corinne Huber	[]
Costi Topalidis	[]
Creeper	[]
Crew Peligrosos	['colombian rock']
Csongor Szanto	[]
Cunninlynguists	['abstract hip hop', 'alternative hip hop', 'hardcore hip hop', 'hip hop', 'pop rap', 'underground rap']
Cäcilia Chmel	[]
Cécile Mansuy	[]
Cécile McLorin Salvant	['vocal jazz']
Céline Pasche	[]
D-Fyne	[]
DJ Deivi	[]
DJ Super Sam	[]
DJs Burak Yeter	[]
DJs Dot	[]
DJs Gilles Peterson	[]
DJs Haitian Star	[]
DJs Lee Gamble	[]
DJs Nando	[]
Da'le	[]
Daminic Montandon	[]
Damir Imamovic	[]
Damir Imamovic Sevdah Takht	[]
Dan Wilde	[]
Daniel Bentz	[]
Daniel Disler	[]
Daniel Haefliger	[]
Daniel Meller	[]
Daniel Schenker	[]
Daniel Winshall	[]
Daniel Woodtli	[]
Daniel Zisman	[]
Daniela Müller	[]
Darkhaus	['neue deutsche harte']
Darkside	['downtempo']
Dave Harrington	[]
Dave Samuels	[]
Dave Samuels' Caribbean Jazz Project	[]
David Heizmann	[]
David Kilowsky	[]
David Meier	[]
David Murray	['avant-garde jazz', 'contemporary post-bop', 'free improvisation', 'free jazz', 'jazz']
David Murray Infinity Quartet feat. Saul Williams	[]
David Sanborn & Bob James Group feat. Steve Gadd	[]
DavidGuetta	[]
Deafkid	['vapor pop']
Dean Blunt	['escape room', 'fluxwork', 'freak folk', 'indie r&b', 'outsider house', 'vaporwave']
Deba	[]
Deez Nuts	['hardcore', 'metalcore']
Defeater	['alternative emo', 'anthem emo', 'chaotic hardcore', 'melodic hardcore', 'metalcore', 'pop punk', 'progressive post-hardcore', 'screamo']
Dejan Terzic	[]
