	['son']
1349	['asian']
2ManyDJs	['rock', 'country', 'electronica', 'electronic', 'jungle', 'punk', 'house', 'pop']
: Roy de Roy	None
ADHD	['son']
Aaron James	None
Abbruch	None
Aborted	['metal', 'grindcore']
Accion Mutante	['comedy']
Achim Kaufmann	None
Adam Holzmann	None
Adi Pflugshaupt	None
Adrian Balmer	None
Adrian Mears	None
Adrian Pflugshaupt	None
Adrien Guerne	None
Alain Altinoglu	['opera']
Alain Veltin	None
Alberto Guareschi	None
Aleksander Gabry	None
Alessandro Rosi	['baroque']
Alessia Grimaldi	None
Alex Cebanica	None
Alex Friedrich	None
Alex Maurer	None
Alexander "Sandi" Kuhn	None
Alexander Brincken	['classical', 'unknown']
Alexander Kuhn	None
Alexandra Huber	None
Alexey Lavrentyev	None
Alice Borciani	None
Aline Burla	None
Alison Burnside Express	None
All Eyes West	None
Alp Bora	None
Alp Bora Quartett	None
Alwin Büchler	None
Amelia Curran	None
Amin Mokdad	None
Amusement Parks on Fire	['rock', 'experimental']
Amélie Mandeville	None
Ana Moura	['fado']
Ana de la Vega	None
Andrea Gygax	None
Andrea Pozza	None
Andrea Suter	None
Andreas Graf	['world']
Andreas Hourdakis	None
Andreas Janke	None
Andreas Lang	['world']
Andreas Sami	None
Andreas Schaerer	None
Andreas Schärer	None
Andreas Stahel	None
Andreas Tschopp	None
Andreas Zingre	None
Andrej Ichtchenko	None
Andres Velez	None
Andrey Murphy	None
András Schiff	['house', 'classical']
André Desponds	None
André Pousaz	None
Andy Kurz	None
Angela Beffa	None
Angelika Express	['punk', 'rock', 'pop']
Angelika Kirchschlager	['opera', 'house']
Angelo Christidis & Jens Krieg	None
Angry Buddha	None
Ania Losinger	None
Anna Netrebko	['opera']
Anna Vasilyeva	None
Annalise Bereiter	None
Anne Sofie von Otter	['baroque', 'opera', 'house']
Anne-May Krüger	None
Annetta Debrunner	None
Antje Thierbach	None
Antonia	None
Antonios Stoitsoglou	None
Apologies I Have None	None
Arlette Meier	None
Armando Bucher	None
Arne Huber	None
Arno Haas	None
Arno Schulz	None
Ashley Prewett	None
Asking Alexandria	['metal', 'dubstep', 'rock', 'hardcore', 'electronicore', 'metalcore', 'punk', 'classic', 'pop']
Asphyx	['metal', 'celtic']
