	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	11176	 Sedel Muzikzentrum	Sedelhof 2; 6020, Emmenbrücke	636174	1st Witness	 11 October 2014 	[' Cadenza - Berlin) ', 'Danilo Schneider & Eveline Fink (Enough! Music - Berlin)', 'KLANGBANANE (Lakeside)', 'Guido Schneider (Cocoon', 'Raijn Reed (Emotion of Art)', 'Sous Sol & Dread J (Neustadtmusik)']
1	11176	 Sedel Muzikzentrum	Sedelhof 2; 6020, Emmenbrücke	593650	Midsommar Festival 2014	 14 June 2014 	['WuzzTazzClan ', 'Manuel Sahagun', 'Secret Island Nation Special Guest', 'Manic Mike ', 'Der Schmeisser', 'Talin ', 'Nicolas Ruiz ', 'Andreas Foxx', 'Sakro', 'Johann S ', 'Der Tietz ']
2	11176	 Sedel Muzikzentrum	Sedelhof 2; 6020, Emmenbrücke	537794	1 Year Klip & Klar	 30 November 2013 	['', 'Shabba', 'Ramin (Libido', 'Kubin (Regio Rave', 'Sous Sol vs. Martin Baur (Neustadtmusik vs. klip&klar', ' Spain)', 'Cuartero (Viva Music', 'Clash', ' AG)', ' LU)', 'Ivan R.', 'Mode Of Motion', 'Wasabideluxe', 'Dynalor']
3	11176	 Sedel Muzikzentrum	Sedelhof 2; 6020, Emmenbrücke	515366	Klip & Klar Meets Wuzztäzz	 28 September 2013 	['Timoteo (Domino/ZH)', 'Sous Sol (Neustadtmusik/LU)', 'Soloduo (Wuzz Täzz/LU)', 'Zähler & Nenner (Wuzz Täzz/GMCA/LU)', 'Patrique (Playground/LU)', 'Spitfire (We Love Techno/LU)', 'Martin Baur (klip&klar/LU)', 'Ron Costa (Potobolo Records/FR)']
4	11176	 Sedel Muzikzentrum	Sedelhof 2; 6020, Emmenbrücke	480204	Midsommar Festival 2013	 15 June 2013 	['', 'Zähler & Nenner (Luzern/CH)', 'Jazmin Ng (New York/US)', 'Lukas Siegwart (Zurich/CH)', 'Jack Pattern (Luzern & Zurich/CH)', 'Martin Huergo (Cordoba/AR)', ' Berlin)', 'White Wall LIVE (Franco Bianco', 'Chill Chilla & Backdoorboys (Luzern & Zurich/CH)', 'Tim Grothe (Saarbrücken/DE)', 'J-One (Lausanne/CH)', 'Guido aka FreeJ Rumi (Zurich/CH)', 'Jose Wated (Guayaquil/EC)', 'El Tigre Sound System (Luzern/CH)', ' Buenos Aires & Mike Wall']
5	11176	 Sedel Muzikzentrum	Sedelhof 2; 6020, Emmenbrücke	463515	J Velez AKA Professor Genius	 27 April 2013 	['J Velez AKA Professor Genius']
6	11176	 Sedel Muzikzentrum	Sedelhof 2; 6020, Emmenbrücke	467701	Klip & Klar 3 with Animal Trainer	 20 April 2013 	['', 'Martin Baur (klip&klar / Luzern)', 'Simon Slice (Circle Music / Luzern)', 'Medo (Voodoo / Luzern)', 'Animal Trainer (Stil vor Talent / Zürich)', 'Sous Sol (Neustadtmusik / Luzern)']
7	11176	 Sedel Muzikzentrum	Sedelhof 2; 6020, Emmenbrücke	432931	Sinsonic Records	 26 January 2013 	[' Casa Show', ' Disko Dario', ' Mindsurfer', 'Gameboy', ' Flow Box', ' Naikido', ' E-Funker', ' Bad Man vs. Dirty Harry']
8	11176	 Sedel Muzikzentrum	Sedelhof 2; 6020, Emmenbrücke	345014	Midsommar Festival	 16 June 2012 	['', ' Cordoba/AR)', 'Der Schmeisser (Einmaleins', 'Jack Pattern  (live)! (Darek', ' Mexico', ' Einmaleins', ' Schwedenparty', ' Acktivism', ' Berlin/DE)', 'Demir & Seymen  (live)! (Highgrade', 'Samanta Fox (Wilde Renate', ' Secret Island', 'Kim Kemi (Highgrade', ' Freundchen', ' Alma Soul', ' Köln/DE)', ' Luzern/CH)', ' Göteborg/SE)', ' Copenhagen/DK)', 'Karmina (Darek', ' Dilek Records', ' Buenos Aires/AR)', ' Kassel/DE)', 'Schlechter Einfluss (GMCA', 'Martin Huergo (Dilek Records', ' Fantastic Friends', 'Wuzz Täzz Boys  (live)! (Luzern/CH)', 'GMCA All Stars (Luzern/CH)', ' Society', 'Franco Bianco  (live)! (Hypercolour', 'DJs with bad haircuts (Keno', ' Opossumini', ' Pentagonik', 'Andreas Foxx (Foxysound', '+ more TBA soon!!!', ' Paris/FR)', ' Bahia Blanca/AR)', 'Fran Serrano (Midi Troop', ' Darek', 'Da Benni (Schwedenparty']
9	11176	 Sedel Muzikzentrum	Sedelhof 2; 6020, Emmenbrücke	327324	He's Back - Enzo Siffredi and Jfth Live	 28 April 2012 	['', 'JFTH ¬ Minimal Kids', 'Ricardo Santos', 'Carex ¬Human revolution¬', 'Ramin ¬ Wuzztäzz', 'Soloduo ¬ Wuzztäzz', 'Kent Brockmen ¬Digital Frequenz Rec./ Human Revolution¬', 'Sorgenkind ¬Human revolution¬', '//Club//', 'Enzo Siffredi ¬ Minimal Kids', '//Trakt9a//', 'Suspect One  (live) ¬ K:lender']
