	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	121519	 Residence K	Bellerivestrasse, 8008 Zürich	865204	Dark Blue x Residence K with Definition	 11 August 2016 	['Definition (Definition:music', ' Tristan Bohn', ' Yves Helbling', ' First Claz', ' Get Physical)', ' Melchior']
1	121519	 Residence K	Bellerivestrasse, 8008 Zürich	861403	Hive am See	 06 August 2016 	['Fat Sushi', 'Nici Faerber', 'Animal Trainer', 'Raphaello']
2	121519	 Residence K	Bellerivestrasse, 8008 Zürich	860266	Licht Am See	 04 August 2016 	['Fabri', 'Mic Drive', 'Pazkal']
3	121519	 Residence K	Bellerivestrasse, 8008 Zürich	864099	Rakete Daydance	 01 August 2016 	"['Animal Trainer (Mobilee', 'Adriatique (Diynamic', ' Zürich)', 'Reto Ardour (Hive Audio)', 'Ronald Grauer (Jardin Collectiv)', 'Dejan // Cityfox (Jardin Collectiv)', ""Dario D'Attis ''Official'' (Hive Audio)"", ' Bogota)', 'Hernan Cayetano (Baum', ' San Francisco)', ' Hive Audio)', 'Atish (Manjumasi']"
4	121519	 Residence K	Bellerivestrasse, 8008 Zürich	860265	Zukunft	 30 July 2016 	['Washerman', 'Lexx', 'Look Like', 'Manuel Fischer', 'Alex Dallas']
5	121519	 Residence K	Bellerivestrasse, 8008 Zürich	860263	Uf Dä Kippi	 29 July 2016 	"['Patrischa', ""Phil z'viel"", 'Ronald Grauer']"
6	121519	 Residence K	Bellerivestrasse, 8008 Zürich	860260	Kognitive Resonanz	 28 July 2016 	['Mad-o', 'Heartleader', 'Calado ']
7	121519	 Residence K	Bellerivestrasse, 8008 Zürich	860257	Tropical Continent Soundsystem	 27 July 2016 	['SHKAMB', 'Robby Naish', 'MTDF']
8	121519	 Residence K	Bellerivestrasse, 8008 Zürich	860256	Kasheme at the Lake	 24 July 2016 	['Camiolo', 'Sebastian Spring', 'Gallo ', 'Soulmate']
9	121519	 Residence K	Bellerivestrasse, 8008 Zürich	860255	Sanapa	 23 July 2016 	['TBA']
10	121519	 Residence K	Bellerivestrasse, 8008 Zürich	861390	Kruse & Nuernberg	 22 July 2016 	['Modnar', 'Juzz', 'Fulvio Cala', 'Kruse & Nuernberg']
11	121519	 Residence K	Bellerivestrasse, 8008 Zürich	857342	Dark Blue x Residence K with Sabb	 21 July 2016 	[' Sentiment', ' SK Supreme', 'Sabb (Moon Harbour', ' Emage', ' Saved)']
12	121519	 Residence K	Bellerivestrasse, 8008 Zürich	860253	Lexy Meets Residence K	 16 July 2016 	['Reto Ardour', 'Dani Nydegger', 'Gianni Callipari', 'Herr Müller', 'Sche Sche']
