	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	827040	Tech Noir Lounge presents lessons In Laidback	 07 May 2016 	"[""DJ's Ben Danger & Wenzel Dashington""]"
1	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	813355	Tech Noir Lounge – Lessons In Laidback	 26 March 2016 	['', ' Bern)', 'Dauwalder (N*E*A*T', 'Tashi Noir (Tech Noir']
2	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	812092	Technotanke Pres. Bons Vivants w/ Moomin, Till/Tape & Gray Chalk	 04 March 2016 	['Moomin (Smallville', 'Gray Chalk (bons vivants', ' Hot Jam)', 'Till/Tape (bons vivants', ' Closer)', ' RBMA']
3	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	774476	Technotanke mit Sinneswandel Festival	 14 November 2015 	['', 'Marco Repetto live', 'Adriano Mirabile', 'Andrés Marcos (live)', 'Mike Machine', 'Marosh Kopp', 'Spacebox720 live', 'Lukas Kleesattel', 'Benno Blome']
4	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	762981	Spicy Tropical Dance Night: Noche de los Muertos	 31 October 2015 	['Los Vacios de Charly', ' SSDSS', ' Jelipe Jalapeño']
5	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	757338	Tech Noir Lounge	 03 October 2015 	[' Tashi Noir ', 'Solid']
6	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	578299	Tech Noir Club – End of Season Special	 11 April 2014 	['Achtung Kinder! & DJ Tommy Lexxus']
7	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	564311	Tech Noir Club	 21 February 2014 	['dub-urchin (CH', 'Deckmantel DJ-collective (BE / ZH)', 'Danielè (belly-dance show)', ' live set) ']
8	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	540669	Tech Noir Club	 20 December 2013 	[' DJ Ryck', 'Stray', ' DJ Show']
9	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	546872	Mischkultur at Turnhalle with Brett Jacobs	 13 December 2013 	[' Benjamin b2b Peter Szanto', 'Brett Jacobs', ' Tino Kaufholz', ' Jon Donson  (live)', ' Nicola Koch']
10	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	540865	Tech Noir Lounge – Lessons In Laidback	 22 November 2013 	[' BE)', ' ZH)', 'Guyus (Dub Ex Machina', ' Tashi Noir (Tech Noir']
11	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	373671	Good Taste - Scheisse Tanzen	 02 June 2012 	[' Pailette', 'Scum', ' Nicola Koch', ' Emely']
12	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	365687	Tech Noir Club - End Of Season Bash	 18 May 2012 	['DJs Tape (Till & Struppi', ' Flying Circus) / Solid (Bassment) / Share (Tech Noir)']
13	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	350891	Tech Noir Club	 23 March 2012 	['DJs Guyus (Dubexmachina/ZH) & Phrex (Blazin Dubs/BE)']
14	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	346272	Hypnotika Lounge	 16 March 2012 	['DJ Wenzel Dashington ', '+ guest']
15	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	336325	Tech Noir Club – The Monthly Dancefloor For Open-Minded Electronica	 24 February 2012 	['Chris Dubflow (Electronic Live Set)', 'Wenzel Dashington (DJ-Set)']
16	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	326437	Tech Noir Club – The Monthly Dancefloor For Open-Minded Electronica	 20 January 2012 	['Riparian aka Tommy Lexxus (Bassism Records/USA', 'Electronic  (live) Set', ' Forecast/HUN)', 'DJ-Set &Trauma Duo (CH)']
17	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	267927	Tech Noir Club – The Monthly Dancefloor For Open-Minded Electronica	 16 December 2011 	['DJs Spectron & Jay Sanders (Jagged)']
18	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	267925	Tech Noir Club – The Monthly Dancefloor For Open-Minded Electronica	 18 November 2011 	['DJ Sassy J & DJ Alex Like']
19	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	267924	Tech Noir Club – The Monthly Dancefloor For Open-Minded Electronica	 21 October 2011 	['DJ Mastra & DJ Zukie173. Visuals by durchzwei.ch']
20	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	283337	Progr Sommer-Spektakel	 27 August 2011 	['The Teledubbies (Mark_Konfront & Wenzel Dashington)']
21	46519	 Turnhalle Cafe/Bar	Speichergasse 4, Berne	258551	Tech Noir Lounge	 21 May 2011 	['DJs Solid & Wenzel Dashington']
