	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	895151	35. with Animal Trainer & Reto Ardour	 04 November 2016 	['', 'Reto Ardour', 'Animal Trainer ']
1	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	876786	U N D E R with Timo Maas	 10 September 2016 	['Sayan Sobuth', 'Timo Maas', 'Mucho Stylez ']
2	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	877628	Danny Howells	 09 September 2016 	['Danny Howells', ' Local support by Audiobox Suspects']
3	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	865733	Dimension	 27 August 2016 	[' George Lamell', 'Yougene']
4	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	869737	GD vs. Tropical Continent	 20 August 2016 	['', 'GD ', 'Mucho Stylez']
5	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	847092	Streetparade U N D E R with Art Department & Martin Buttrich	 13 August 2016 	['Martin Buttrich', 'Art Department']
6	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	847090	Streetparade warm up w/ Audiofly	 12 August 2016 	['Audiofly', 'TBA']
7	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	847095	Zurich Festival with Felix Kröcher, Citizen Kain & Tom Hades	 01 July 2016 	['Felix Kröcher', 'Citizen Kain', 'Tom Hades']
8	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	847083	U N D E R with Hot Since 82	 25 June 2016 	['Cem ', 'Hot Since 82 ', 'George Lamell']
9	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	847081	U N D E R with Nicole Moudaber	 24 June 2016 	['Kapara', 'Enzo Lo Conte ', 'Nicole Moudaber ']
10	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	847078	Memento 10 Years Celebration	 11 June 2016 	['System Of Survival', 'Idriss D', 'Bassbüro']
11	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	847004	Freunde Feiern mit	 10 June 2016 	['TBA']
12	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	847088	U N D E R with Tania Vulcano	 04 June 2016 	['Tania Vulcano', 'Sayan Sobuth']
13	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	847086	Pig&Dan	 03 June 2016 	['David Glass', 'Yougene', 'Pig&Dan']
14	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	826243	No. 414 - Colour Series	 09 April 2016 	[' Soame', 'Jem Haynes']
15	69196	 Club Bellevue	Rämistrasse 6; 8001, Zürich	826240	U.N.D.E.R.	 08 April 2016 	['Nic Fanciulli', ' Kapara', ' Yougene']
