	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	857535	EAV Party: Sunset Chill to Cosmic Groove: Nemo, Castro-Moore, Artmaillé	 09 July 2016 	['OASE (Studio 1157 - Fribourg)', 'ANDROO (Polydance - Genève) ', 'RAW-G (Cénacle - Genève) ', 'ARTMAILLÉ (Studio 1157 - Genève/Fribourg) ', 'Funk Bastard (Varia Inst.', 'NEMO (Oram Modular/Sound Metaphors - Genève)', ' Brain & Device', 'CASTRO-MOORE (Adult Club / San Francisco) ', ' Hot Jam', ' Frank Spirit - Bern) ']
1	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	627152	Overground day 4 with Marc Milner & Pepperopot & Alexkid	 16 August 2014 	['Alexkid', ' Pepperpot', ' Marc Milner']
2	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	594116	Swinging Caravelle	 02 May 2014 	['', 'Mirk Oh (electroswing.com /Zurich CH)', 'INCONTROL (electroswing.com/Lyon FR) ', 'DOO GOOD (Lausanne CH)']
3	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	504037	Overground Festival 2013	 14 August 2013 	[' Pepperpot', ' Minilogue aka Sebastian Mullaert', ' Salvatore Freda', ' Daria', ' Matthew Dekay', 'Âme', ' DJ Dub', ' La Forêt', ' Ian Pooley', ' Agnès', ' Raw Shan', ' Les membres', ' Paulo Olarte', ' Amiant', ' Detroit Swindle', ' Varoslav', ' Adriano Mirabile', ' Tanua', ' Deetron', ' Norm Talley', ' Sid Le Rock']
4	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	387099	Overground Festival - Amam Records Showcase	 24 August 2012 	['Paul Eg', 'MATHIAS STRAHLE', 'Matteo Spedicati & Alessio Mereu']
5	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	387143	Overground Festival 2012	 15 August 2012 	[' Marshall Jefferson', ' Myah', ' Jeremy P. Caulfield', ' Quenum', ' DJ Dub', ' ', ' Matteo Spedicati', ' Petar Dundov', ' Alessio Mereu', 'Anonym', ' LAD', 'Kenneth Christiansen', ' Resoe', ' Pascal Viscardi', ' Dj Reas', ' Mikkel Metal', 'Pikaya', ' Avatism', 'Anja Schneider']
6	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	291914	Overground Festival 2011	 24 August 2011 	['', 'Garance & diSoul (CH)', 'www.residentadvisor.net/dj/garance', ' MGF / ALL)  (live)', 'Kollektiv Turmstrasse (Connaisseur Rec']
7	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	283091	Écoutes Au Vert Awesome Tapes From Africa Party	 11 August 2011 	['Awesome Tapes From Africa (USA) Rare African music tapes / dj']
8	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	279193	Écoutes Au Vert Boat Party with Move D, Wtf, Dj Populist and New.Com	 30 July 2011 	['Move D (Source', ' house', 'Au salon: 22h - 3h', 'Dj POPULIST (Maximum Respect', 'Sur le pont: 18h - 22h', 'WTF (Toast Terry / Genève) electronic boogie', ' re-edits', ' house / dj ', ' uk funky / dj', ' dubstep reggae', ' Liebe Detail', ' Modern Love', ' Running Back', 'NEW.COM (Comfortnoise', ' Demotape Clinic / Zürich) reggae', ' DubExMachina / Zürich) dancehall', ' dub / dj', ' Smallvile / Francfort) disco', 'http://www.residentadvisor.net/dj/toastterry ', ' deep house / dj', ' ', ' Warp', ' jungle', ' disco']
9	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	272876	Écoutes Au Vert Boat Party	 02 July 2011 	['KEJEBLOS (', 'DJ F ', 'DISASTERADIO ', 'I-F']
10	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	181583	Overground Festival	 24 August 2010 	['John Daly - Dollar Mambo']
11	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	181671	Overground Festival	 18 August 2010 	['Rose&Ulysse (edit select', ' Luca Torre (resopal', '', 'Sarna', ' DJ Dub', ' DJ Koze (kompakt/Hambourg)', 'Dj little & David Durango (pokerflat', 'BEFORE WE SAY GOODBYE ALBUM TOUR!', 'Yann Stricker & Juan Baeza', 'Chicks behind the decks showcase / Bern .', ' motoguzzi/Paris) ', 'Nice try records showcase / Zurich', ' Clara Moto (Infiné/Barcelone) + Opuswerk', 'Ark (perlon/Paris)  (live) ', ' littlehouse)', ' Salvatore Freda (liebe*detail/Lausanne)', ' minimise', '!organism showcase / Lausanne .', 'Donnacha Costello (pokerflat', ' gs', ' Delta Funktionen (ann aimee', 'Dj girl & Flexibelle', ' delsin/NL)  (live)- ', 'Littlehouse showcase / Genève .', 'Andri (cytifox', 'Pikaya (cadenza', ' Chaton (plak/Geneva)', ' Romano Rapeso (teknologik)', ' meander/Berlin)  (live) ', ' Jichael Mackson (musique risquee/Munich  (live) ', 'John Daly (mule music', 'Ambivalent (minus/New-York)', ' la ruche/Lausanne)', ' ', 'Skudge (Skudge/Stockholm)  (live) ', 'Relâche', 'The ground floor (littlehouse)  (live)', 'Infiné labelnight ::: Agoria (Infiné/Lyon) ', ' look long/Dublin)  (live) ', ' Dollar Mambo (nice try rec./Geneva)', '“ MADE IN SWITZERLAND”', ' Moritz Wettstein aka MRZ  (live)', 'Dolibox  (live) / Paris', ' Jacqui (minishake)', ' wave/Irland) ', ' highgrade/Zurich)  (live) ']
12	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	180905	Écoutes Au Vert Super Boat Party with Ata & Jimmy Edgar	 24 July 2010 	['', 'Jimmy Edgar (K7', ' percussions', 'cora amplifiée', ' guitare électrique', 'PETER STOFFEL Genève)', ' voix', 'DJEN KA FLOW (Genève) concert ont the upper deck 7PM ', 'ATA (Playhouse/Klang/Robert Johnson – Francfort) ', ' Berlin/Detroit)']
13	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	111864	Disco Aftermath Party	 07 August 2009 	"[""Dj COBEIA''' (écoutes au vert)""]"
14	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	29084	Overground Festival feat Liebe*Detail	 25 August 2007 	['Eurokai (DJ)', 'meta.83 (DJ)', 'Move D  (live)']
15	6981	 Le Bateau	Bateau Genève, Quai Gustave-Ador; 1207, Geneva	44072	Sinner DC & Jacen Solo	 20 August 2006 	['Sinner DC & Jacen Solo']
