,place,address,event,date,artists
0, Acapella Bar,"Place de la Gare, 1957 Ardon, Valais, Suisse",The Future Color Of Sound,2017-02-02,"['Dj Never Die', 'Vitronic ', 'Jack Demon']"
1, Acapella Bar,"Place de la Gare, 1957 Ardon, Valais, Suisse",The Future Color Of Sound,2017-02-02,"['Dj Never Die', 'Vitronic ', 'Jack Demon']"
2, Acqua Lounge Basilea,"Binningerstrasse 14; 4051, Basel",Livingroom Fm presents M50,2017-02-02,['m50']
3, Acqua Lounge Basilea,"Binningerstrasse 14; 4051, Basel",Starsrain Records Night,2017-02-02,['Davidon']
4, Acqua Lounge Basilea,"Binningerstrasse 14; 4051, Basel",Livingroom.Fm presents Danilo Plessow,2017-02-02,"['Danilo Plessow aka Inverse Cinematics (Four Roses', ' Four Roses', ' GER)aka Motor City Drum Ensemble (Compost Records', ' 2020 Vision', ' Mule Musiq)', 'hosted by Thomas Brunner']"
5, 2B Lounge,"Nüschelerstrasse 31, 8001 Zürich",Tat,2017-02-02,"['tat1', 'tat2']"
6, 2B Lounge,"Nüschelerstrasse 31, 8001 Zürich",Tanzfrühstück Die 2.,2017-02-02,"['Florian Schmid', '', ' Micky Monzza', ' Die Dummen Nutten', ' Rino', ' Wandler', ' Andri (live)', ' Beda', ' Findling']"
7, 2B Lounge,"Nüschelerstrasse 31, 8001 Zürich",Tanzfrühstück,2017-02-02,"['', 'stil vor talent', 'Findling', 'andri live', 'great stuff münchen', 'sco', 'BVoice', 'cityfox zürich', 'mickey monza', 'gun club münchen']"
8, Abraxas,"Chemin du Stand 5; Pully, 1009",The Cruzaders,2017-02-02,['The Cruzaders']
9, Abraxas,"Chemin du Stand 5; Pully, 1009",The Cruzaders - Release Party The Cruzaders,2017-02-02,['The Cruzaders']
10, Abraxas,"Chemin du Stand 5; Pully, 1009",The Cruzaders,2017-02-02,['The Cruzaders']
