location,event,date,artist,genre
Duedingen,BAD BONN KILBI,2012-07-10,BONNIE PRINCE BILLY,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-10,LES SOEURS GOUDRON,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-10,LE GRAND EUSTACHE,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-10,CHAPELIER FOU,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-10,THE CYBORGS,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-10,IETO,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-10,RUSCONI,
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2012-07-10,LA GALE,
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-10,ANASTACIA,
Montreux,MONTREUX JAZZ FESTIVAL,2012-07-10,MELODY GARDOT,
Geneve,MUSIQUES EN ETE,2012-07-10,OPERA DE CHAMBRE DE GENEVE,
