location,event,date,artist
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-11,DUO GAZZANA
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-11,NATHANAEL ROCHAT
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-11,ST LO
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-11,DOM LA NENA
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-11,KOQA
Zurich,LIVE AT SUNSET,2013-07-11,BRYAN ADAMS
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,GWILYM SIMCOCK
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,ALICE FRANCIS
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,CHIEF
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,BONNIE RAITT
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,VIJAY IYER
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,SUPERPOZE
Veytaux,MONTREUX JAZZ FESTIVAL,2013-07-11,BUGGE WESSELTOFT
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,HATHORS
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,GILDAS & MASAYA
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-11,SOLANGE LA FRANGE / LA PATRONNE
Locarno,MOON AND STARS,2013-07-11,MARK KNOPFLER
Geneve,MUSIQUES EN ETE,2013-07-11,QUATUOR ARDEO
