location,event,date,artist,genre,coordinates
Lucerne,BLUE BALLS,2013-07-20,SPIN DOCTORS,,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-20,ANE BRUN,,"(47.05016819999999, 8.3093072)"
Lucerne,BLUE BALLS,2013-07-20,DAVID CELIA,,"(47.05016819999999, 8.3093072)"
Geneve,FETES DE GENEVE,2013-07-20,DJ FABRICE,,"(46.2043907, 6.1431577)"
Zurich,LIVE AT SUNSET,2013-07-20,MARK KNOPFLER,,"(47.3768866, 8.541694)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,ALEJANDRO REYES,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,LA VELLE,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,DELUXE,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,DIRTY SOUND MAGNET,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,DJ REAS,,"(46.4312213, 6.9106799)"
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-20,GYPSY SOUND SYSTEM,,"(46.4312213, 6.9106799)"
Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-07-20,FRANCOIS XAVIER POIZAT,,"(46.2105553, 6.2317139)"
