festival,location,date,artist
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2012-Juin-28,THE NOTWIST
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2012-Juil.-07,THE INSPECTOR CLUZO (TIC)
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2011-Juin-28,ANTOINE CHESSEX
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2010-Juin-24,KLINGT ORGESTRA
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2010-Juin-25,OLIVIER NUSSBAUM
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2010-Juin-26,DJ FETT
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2010-Juin-30,TAREK ATOUI
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2010-Juin-30,DJ LYNDA REVOL
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2010-Juil.-02,DJ CUT ME SHOW
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2010-Juil.-03,REGGIE WATTS
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2009-Juin-26,MODIFIED TOY ORCHESTRA
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2009-Juin-30,ANDRE DURACELL
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2009-Juil.-04,CHROME HOOF
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2008-Juin-27,WIENER GEMUSE ORCHESTER
BELLUARD BOLLWERK INTERNATIONAL,Fribourg,2008-Juil.-05,BONAPARTE
