festival,location,date,artist
BLUE BALLS,Lucerne,2016-Juil.-22,AIR
BLUE BALLS,Lucerne,2016-Juil.-23,KEB'MO
BLUE BALLS,Lucerne,2016-Juil.-28,THE CORRS
BLUE BALLS,Lucerne,2016-Juil.-30,LAURA MVULA
BLUE BALLS,Lucerne,2013-Juil.-19,LUCY ROSE
BLUE BALLS,Lucerne,2013-Juil.-19,ZAZ
BLUE BALLS,Lucerne,2013-Juil.-19,DAVID CELIA
BLUE BALLS,Lucerne,2013-Juil.-20,SPIN DOCTORS
BLUE BALLS,Lucerne,2013-Juil.-20,ANE BRUN
BLUE BALLS,Lucerne,2013-Juil.-20,DAVID CELIA
BLUE BALLS,Lucerne,2013-Juil.-21,ROZBUB
BLUE BALLS,Lucerne,2013-Juil.-21,PETE DOHERTY
BLUE BALLS,Lucerne,2013-Juil.-21,DAVID CELIA
BLUE BALLS,Lucerne,2013-Juil.-22,EVELINN TROUBLE
BLUE BALLS,Lucerne,2013-Juil.-22,ALT-J
BLUE BALLS,Lucerne,2013-Juil.-22,CHARLES WALKER
BLUE BALLS,Lucerne,2013-Juil.-23,FOY VANCE
BLUE BALLS,Lucerne,2013-Juil.-23,ELVIS COSTELLO
BLUE BALLS,Lucerne,2013-Juil.-23,VOODOO SWING
BLUE BALLS,Lucerne,2013-Juil.-24,TRIXIE WHITLEY
BLUE BALLS,Lucerne,2013-Juil.-24,JOHN LEGEND
BLUE BALLS,Lucerne,2013-Juil.-24,VOODOO SWING
BLUE BALLS,Lucerne,2013-Juil.-25,JONATHAN WILSON
BLUE BALLS,Lucerne,2013-Juil.-25,JAMIE LIDELL
BLUE BALLS,Lucerne,2013-Juil.-25,DJ KOFFI
BLUE BALLS,Lucerne,2013-Juil.-26,TIEMO HAUER
BLUE BALLS,Lucerne,2013-Juil.-26,PATRICK WOLF
BLUE BALLS,Lucerne,2013-Juil.-26,SEPTETO INTERNACIONAL
BLUE BALLS,Lucerne,2013-Juil.-27,KING PEPE
BLUE BALLS,Lucerne,2013-Juil.-27,DAMIEN RICE
BLUE BALLS,Lucerne,2013-Juil.-27,J VIEWZ
BLUE BALLS,Lucerne,2012-Juil.-20,REGINA SPEKTOR
BLUE BALLS,Lucerne,2012-Juil.-20,THE KILLS
BLUE BALLS,Lucerne,2012-Juil.-21,SOHNE / SOEHNE MANNHEIMS
BLUE BALLS,Lucerne,2012-Juil.-21,STEPHAN EICHER
BLUE BALLS,Lucerne,2012-Juil.-22,SIVERT HOYEM
BLUE BALLS,Lucerne,2012-Juil.-22,ESPERANZA SPALDING
BLUE BALLS,Lucerne,2012-Juil.-23,MELODY GARDOT
BLUE BALLS,Lucerne,2012-Juil.-23,MIKA
BLUE BALLS,Lucerne,2012-Juil.-24,GEOFFREY GURRUMUL YUNUPINGU
BLUE BALLS,Lucerne,2012-Juil.-24,PAOLO NUTINI
BLUE BALLS,Lucerne,2012-Juil.-25,REA GARVEY
BLUE BALLS,Lucerne,2012-Juil.-25,KAISER CHIEFS
BLUE BALLS,Lucerne,2012-Juil.-26,KEB'MO
BLUE BALLS,Lucerne,2012-Juil.-26,EVERLAST
BLUE BALLS,Lucerne,2012-Juil.-27,ANNA CALVI
BLUE BALLS,Lucerne,2012-Juil.-27,DE LA SOUL
BLUE BALLS,Lucerne,2012-Juil.-28,ANOHNI (Ex ANTONY AND THE JOHNSONS)
BLUE BALLS,Lucerne,2012-Juil.-28,GENTLEMAN (AND THE EVOLUTION)
BLUE BALLS,Lucerne,2011-Juil.-22,SOPHIE HUNGER
BLUE BALLS,Lucerne,2011-Juil.-22,MACY GRAY
BLUE BALLS,Lucerne,2011-Juil.-23,COCOON
BLUE BALLS,Lucerne,2011-Juil.-23,RAPHAEL SAADIQ
BLUE BALLS,Lucerne,2011-Juil.-24,COCOROSIE
BLUE BALLS,Lucerne,2011-Juil.-24,ERYKAH BADU
BLUE BALLS,Lucerne,2011-Juil.-25,ROBERT FRANCIS
BLUE BALLS,Lucerne,2011-Juil.-25,KT TUNSTALL
BLUE BALLS,Lucerne,2011-Juil.-26,JOANNA NEWSOM
BLUE BALLS,Lucerne,2011-Juil.-26,ROBERT CRAY
BLUE BALLS,Lucerne,2011-Juil.-27,HEATHER NOVA
BLUE BALLS,Lucerne,2011-Juil.-27,RODRIGO Y GABRIELA
BLUE BALLS,Lucerne,2011-Juil.-28,SOPHIE ZELMANI
BLUE BALLS,Lucerne,2011-Juil.-28,BEN HARPER & THE INNOCENT CRIMINALS
BLUE BALLS,Lucerne,2011-Juil.-29,AGNES OBEL
BLUE BALLS,Lucerne,2011-Juil.-29,BETH DITTO
BLUE BALLS,Lucerne,2011-Juil.-30,YODELICE
BLUE BALLS,Lucerne,2011-Juil.-30,JAMIE LIDELL
BLUE BALLS,Lucerne,2010-Juil.-23,PALOMA FAITH
BLUE BALLS,Lucerne,2010-Juil.-24,MORCHEEBA
BLUE BALLS,Lucerne,2010-Juil.-25,JAMES MORRISON
BLUE BALLS,Lucerne,2010-Juil.-26,BEN L'ONCLE SOUL
BLUE BALLS,Lucerne,2010-Juil.-26,GABRIELLA CILMI
BLUE BALLS,Lucerne,2010-Juil.-27,AURA DIONE
BLUE BALLS,Lucerne,2010-Juil.-30,PETER CINCOTTI
BLUE BALLS,Lucerne,2010-Juil.-31,THE ROOTS
BLUE BALLS,Lucerne,2009-Juil.-17,MARVIN
BLUE BALLS,Lucerne,2009-Juil.-17,JAMIE LIDELL
BLUE BALLS,Lucerne,2009-Juil.-17,HURLEY AND THE BLUE DOTS
BLUE BALLS,Lucerne,2009-Juil.-18,CHURCHHILL
BLUE BALLS,Lucerne,2009-Juil.-18,A FINE FRENZY
BLUE BALLS,Lucerne,2009-Juil.-18,HURLEY AND THE BLUE DOTS
BLUE BALLS,Lucerne,2009-Juil.-19,ELECTRIC BLANKET
BLUE BALLS,Lucerne,2009-Juil.-19,DAVID GRAY
BLUE BALLS,Lucerne,2009-Juil.-19,HURLEY AND THE BLUE DOTS
BLUE BALLS,Lucerne,2009-Juil.-20,HUCK FINN
BLUE BALLS,Lucerne,2009-Juil.-20,MARIA MENA
BLUE BALLS,Lucerne,2009-Juil.-20,HURLEY AND THE BLUE DOTS
BLUE BALLS,Lucerne,2009-Juil.-21,SKYWARDS
BLUE BALLS,Lucerne,2009-Juil.-21,MELODY GARDOT
BLUE BALLS,Lucerne,2009-Juil.-21,HURLEY AND THE BLUE DOTS
BLUE BALLS,Lucerne,2009-Juil.-22,TELAPHONES
BLUE BALLS,Lucerne,2009-Juil.-22,LUCINDA WILLIAMS
BLUE BALLS,Lucerne,2009-Juil.-22,HURLEY AND THE BLUE DOTS
BLUE BALLS,Lucerne,2009-Juil.-23,IRIE REVOLTES
BLUE BALLS,Lucerne,2009-Juil.-23,COLBIE CAILLAT
BLUE BALLS,Lucerne,2009-Juil.-23,HURLEY AND THE BLUE DOTS
BLUE BALLS,Lucerne,2009-Juil.-24,THE WISHING WELL
BLUE BALLS,Lucerne,2009-Juil.-24,NATURALLY 7
BLUE BALLS,Lucerne,2009-Juil.-24,HURLEY AND THE BLUE DOTS
BLUE BALLS,Lucerne,2009-Juil.-25,DAVID GOGO
BLUE BALLS,Lucerne,2009-Juil.-25,DANIEL POWTER
BLUE BALLS,Lucerne,2009-Juil.-25,HURLEY AND THE BLUE DOTS
BLUE BALLS,Lucerne,2008-Juil.-18,BEVERLEY KNIGHT
BLUE BALLS,Lucerne,2008-Juil.-18,ERYKAH BADU
BLUE BALLS,Lucerne,2008-Juil.-20,CASSANDRA WILSON
BLUE BALLS,Lucerne,2008-Juil.-21,K D LANG
BLUE BALLS,Lucerne,2008-Juil.-21,JETHRO TULL
BLUE BALLS,Lucerne,2008-Juil.-22,GEORGE BENSON
BLUE BALLS,Lucerne,2008-Juil.-22,THE NEVILLE BROTHERS
BLUE BALLS,Lucerne,2008-Juil.-23,KEB'MO
BLUE BALLS,Lucerne,2008-Juil.-23,SOHNE / SOEHNE MANNHEIMS
BLUE BALLS,Lucerne,2008-Juil.-24,SOHNE / SOEHNE MANNHEIMS
BLUE BALLS,Lucerne,2008-Juil.-26,SHAGGY
BLUE BALLS,Lucerne,2007-Juil.-20,MY NAME IS GEORGE
BLUE BALLS,Lucerne,2007-Juil.-20,DAMIEN RICE
BLUE BALLS,Lucerne,2007-Juil.-20,SEAL
BLUE BALLS,Lucerne,2007-Juil.-21,DAVID GRAY
BLUE BALLS,Lucerne,2007-Juil.-21,STARSAILOR
BLUE BALLS,Lucerne,2007-Juil.-22,GIANNA NANNINI
BLUE BALLS,Lucerne,2007-Juil.-23,TIZIANO FERRO
BLUE BALLS,Lucerne,2007-Juil.-24,CALEXICO
BLUE BALLS,Lucerne,2007-Juil.-25,BADLY DRAWN BOY
BLUE BALLS,Lucerne,2007-Juil.-25,ELVIS COSTELLO
BLUE BALLS,Lucerne,2007-Juil.-26,AYO
BLUE BALLS,Lucerne,2007-Juil.-26,ARCHIVE
BLUE BALLS,Lucerne,2007-Juil.-27,FRANTIC
BLUE BALLS,Lucerne,2007-Juil.-27,RICKIE LEE JONES
BLUE BALLS,Lucerne,2007-Juil.-27,STEELY DAN
BLUE BALLS,Lucerne,2007-Juil.-28,STEVANS
BLUE BALLS,Lucerne,2007-Juil.-28,BEBEL GILBERTO
BLUE BALLS,Lucerne,2007-Juil.-28,CANDY DULFER
