festival,location,date,artist
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2012-Mar.-28,EDEN BRENT
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2012-Mar.-29,MARCIA BALL
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2012-Mar.-30,HENRIK FREISCHLADER
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2012-Mar.-31,JIMMY JOHNSON
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2011-Avr.-13,JW JONES
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2011-Avr.-14,MONSTER MIKE WELCH
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2011-Avr.-15,JIMMY JOHNSON
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2011-Avr.-16,TOMMY CASTRO
BLUES FESTIVAL BASEL (BALE),Pratteln,2010-Mar.-23,LITTLE CHEVY
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2010-Mar.-24,MAGIC SLIM AND THE TEARDROPS
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2010-Mar.-25,RITA CHIARELLI
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2010-Mar.-26,ZORA YOUNG
BLUES FESTIVAL BASEL (BALE),Bale (Basel),2010-Mar.-27,CHARLIE MUSSELWHITE
