festival,location,date,artist
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2016-Dec.-03,SALUT C'EST COOL
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2015-Fev.-27,DJS EMMAVAGABONDE ET LUXELIA
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2015-Fev.-28,PAUL THOMSON (FRANZ FERDINAND)
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2013-Dec.-06,ANTIPODS
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2013-Dec.-07,BISCUIT
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2013-Dec.-07,GALA
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2012-Dec.-08,LES WAMPAS
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2011-Dec.-03,GOLD
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2010-Dec.-04,STEREO TOTAL
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2009-Dec.-05,LOUIS BERTIGNAC
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2008-Dec.-06,TRUST
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2007-Dec.-08,COMING SOON
C'EST L'HIVER ! MORGINS FESTIVAL,Morgins,2006-Dec.-09,THE MONDRIANS
