festival,location,date,artist
COSMOJAZZ FESTIVAL,Emosson,2016-Juil.-24,JEREMY HABABOU
COSMOJAZZ FESTIVAL,Vallorcine,2016-Juil.-25,ELINA DUNI
COSMOJAZZ FESTIVAL,Les Houches,2016-Juil.-27,ANDREAS SCHAERER
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2016-Juil.-28,BLICK BASSY
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2016-Juil.-28,CEUX QUI MARCHENT DEBOUT (CQMD)
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2016-Juil.-29,SYLVAIN RIFFLET
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2016-Juil.-29,ANCHORSONG
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2016-Juil.-30,FLORIAN FAVRE
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2016-Juil.-30,NOX.3
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2016-Juil.-31,AMIRA MEDUNJANIN
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2016-Juil.-31,ANDRE MANOUKIAN
COSMOJAZZ FESTIVAL,Martigny,2015-Juil.-25,MOHAMED ABOZEKRY
COSMOJAZZ FESTIVAL,Martigny,2015-Juil.-25,PROFESSOR WOUASSA
COSMOJAZZ FESTIVAL,Emosson,2015-Juil.-26,PROFESSOR WOUASSA
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2015-Juil.-28,EMILE PARISIEN
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2015-Juil.-28,GANGBE BRASS BAND
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2015-Juil.-28,MALCOLM BRAFF
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2015-Juil.-29,JUNGLE BY NIGHT
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2015-Juil.-30,SONGHOY BLUES
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2015-Juil.-31,MORIARTY - WATI WATIA ZOREY BAND
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2015-Juil.-31,GANGBE BRASS BAND
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2015-Aout-01,TRIO JOUBRAN
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2015-Aout-01,GUTS
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2015-Aout-02,DAN TEPFER
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2015-Aout-02,ANDRE MANOUKIAN
COSMOJAZZ FESTIVAL,Martigny,2014-Juil.-26,SANDRA NKAKE
COSMOJAZZ FESTIVAL,Emosson,2014-Juil.-27,PETER SOLO
COSMOJAZZ FESTIVAL,Emosson,2014-Juil.-27,GRAND PIANORAMAX
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Juil.-29,MALCOLM BRAFF
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Juil.-30,ERIKA STUCKY
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Juil.-30,MININO GARAY
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Juil.-30,HYPNOTIC BRASS ENSEMBLE
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Juil.-31,HAROLD LOPEZ NUSSA
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Aout-01,MAYRA ANDRADE
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Aout-01,BIGRE !
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Aout-02,BASEL RAJOUB
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Aout-02,KEYVAN CHEMIRANI
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Aout-02,CHASSOL
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Aout-03,IIRO RANTALA
COSMOJAZZ FESTIVAL,Chamonix Mont Blanc,2014-Aout-03,STEPHANE GALLAND
