festival,location,date,artist
FESTIVAL BACH DE LAUSANNE,Lausanne,2016-Oct.-30,THE ENGLISH CONCERT
FESTIVAL BACH DE LAUSANNE,Lausanne,2016-Nov.-04,LA CHAPELLE RHENANE
FESTIVAL BACH DE LAUSANNE,Lausanne,2016-Nov.-06,ACCADEMIA BIZANTINA
FESTIVAL BACH DE LAUSANNE,Lausanne,2016-Nov.-11,TOLZER KNABENCHOR
FESTIVAL BACH DE LAUSANNE,Lausanne,2016-Nov.-18,FRIEDERIKE HEUMANN
FESTIVAL BACH DE LAUSANNE,Lausanne,2016-Nov.-25,KEI KOITO
FESTIVAL BACH DE LAUSANNE,Lausanne,2016-Nov.-26,PATRICK MONTAN MISSIRLIAN
FESTIVAL BACH DE LAUSANNE,Lausanne,2016-Nov.-27,JEAN TUBERY
FESTIVAL BACH DE LAUSANNE,Lausanne,2015-Oct.-25,ENSEMBLE BAROQUE ORFEO
FESTIVAL BACH DE LAUSANNE,Lausanne,2015-Nov.-06,CELINE FRISCH
FESTIVAL BACH DE LAUSANNE,Lausanne,2015-Nov.-20,CHRISTINE BUSCH
FESTIVAL BACH DE LAUSANNE,Lausanne,2015-Nov.-21,COLLEGIUM MUSICUM DE LAUSANNE
FESTIVAL BACH DE LAUSANNE,Lausanne,2013-Oct.-27,ENSEMBLE ELYMA
FESTIVAL BACH DE LAUSANNE,Lausanne,2013-Nov.-01,DAVID PLANTIER
FESTIVAL BACH DE LAUSANNE,Lausanne,2013-Nov.-03,LES MUSICIENS DU LOUVRE GRENOBLE / MDL G
FESTIVAL BACH DE LAUSANNE,Lausanne,2013-Nov.-08,HUGO REYNE
FESTIVAL BACH DE LAUSANNE,Lausanne,2013-Nov.-13,ORCHESTRE DES JEUNES DU CONSERVATOIRE DE LAUSANNE
FESTIVAL BACH DE LAUSANNE,Lausanne,2013-Nov.-15,ORCHESTRE CAPPELLA DE TURCHINI
FESTIVAL BACH DE LAUSANNE,Lausanne,2013-Nov.-17,WIELAND KUIJKEN
FESTIVAL BACH DE LAUSANNE,Lausanne,2013-Nov.-20,XASAX
FESTIVAL BACH DE LAUSANNE,Lausanne,2013-Nov.-22,COLLEGIUM MUSICUM DE LAUSANNE
FESTIVAL BACH DE LAUSANNE,Lausanne,2013-Nov.-27,ETUDIANTS DE L'HEMU
FESTIVAL BACH DE LAUSANNE,Lausanne,2011-Nov.-04,GUSTAV LEONHARDT
FESTIVAL BACH DE LAUSANNE,Lausanne,2011-Nov.-05,PAUL MC CREESH
FESTIVAL BACH DE LAUSANNE,Lausanne,2011-Nov.-06,IL GARDELLINO
FESTIVAL BACH DE LAUSANNE,Lausanne,2011-Nov.-10,LA CHAPELLE VOCALE DE LAUSANNE
FESTIVAL BACH DE LAUSANNE,Lausanne,2011-Nov.-11,ORCHESTRE FRANCAIS DES JEUNES BAROQUE
FESTIVAL BACH DE LAUSANNE,Lausanne,2011-Nov.-12,MARC MINKOWSKI
