festival,location,date,artist
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2012-Mai-05,EMILIANO LEONARDI
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2012-Mai-06,CIRO CARBONE
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2012-Mai-12,VICTOR PELLEGRINI
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2011-Mai-14,SAMUEL TORO PEREZ
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2011-Mai-15,MARCELO DE LA PUEBLA
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2011-Mai-21,ORTIZ JUAN FRANCISCO
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2011-Mai-22,DIMITRI ILLARIONOV
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2010-Mai-08,PABLO MARQUEZ
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2010-Mai-09,CRISTINA AZUMA
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2010-Mai-15,HECTOR SALAZAR
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2010-Mai-16,VICTOR PELLEGRINI
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2009-Mai-01,DAVID PAVLOVITS
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2009-Mai-02,GEORGE VASSILEV
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2009-Mai-03,ALIESKI VIANA
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2009-Mai-09,MARCELO DE LA PUEBLA
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2009-Mai-10,VICTOR PELLEGRINI
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2008-Mai-24,SEBASTIAN MONTES
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2008-Mai-25,CRISTINA AZUMA
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2008-Juin-01,ROBERTO AUSSEL
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2007-Mai-03,RYUJI KUNIMATSU
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2007-Mai-04,GABRIEL GUILLEN
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2007-Mai-05,FRANCISCO GIL
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2007-Mai-06,DAVID RUSSELL
FESTIVAL DE GUITARE A LAUSANNE,Epalinges,2006-Avr.-28,ALIESKI VIANA
FESTIVAL DE GUITARE A LAUSANNE,Epalinges,2006-Avr.-29,GEORGE VASSILEV
FESTIVAL DE GUITARE A LAUSANNE,Lausanne,2006-Avr.-30,DANIEL MORGADE
