festival,location,date,artist
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2015-Juil.-07,LA BOCA ABIERTA (Une aventure)
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2015-Juil.-07,PAVANE
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2015-Juil.-07,MOODOID
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2015-Juil.-08,MATHIS HAUG
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2015-Juil.-08,ERLEND OYE
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2015-Juil.-09,TOO MANY ZOOZ
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2015-Juil.-09,SINKANE
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2015-Juil.-10,PATRICK COTTET MOINE
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2015-Juil.-10,PETER KERNEL
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2015-Juil.-10,FORMATION
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2015-Juil.-11,PETITE NOIR
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2014-Juil.-10,SUSHEELA RAMAN
FESTIVAL DE LA CITE A LAUSANNE,Saint Sulpice,2013-Juil.-06,DEAD WESTERN
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-09,SINE NOMINE
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-09,PIERRE OMER
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-09,SEA + AIR
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-09,BRISTOPHE
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-10,LES VOIX DE JEUNE OPERA COMPAGNIE
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-10,BASSEKOU KOUYATE
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-10,MESPARROW
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-10,SEA + AIR
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-11,DUO GAZZANA
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-11,NATHANAEL ROCHAT
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-11,ST LO
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-11,DOM LA NENA
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-11,KOQA
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-12,JEAN CHRISTOPHE GEISER
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-12,TERAKAFT / TERAKRAFT
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-12,DOM LA NENA
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-12,TONY SAINT LAURENT
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-12,KOQA
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-13,BOJAN Z
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-13,PONY DEL SOL
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-13,BIRTH OF JOY
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-14,NEWMAN WAITS HERE
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-14,BOBBY CONN
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2013-Juil.-14,MARIE PIERRE ARTHUR
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2012-Juil.-10,LES SOEURS GOUDRON
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2012-Juil.-10,LE GRAND EUSTACHE
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2012-Juil.-10,CHAPELIER FOU
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2012-Juil.-10,THE CYBORGS
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2012-Juil.-10,IETO
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2012-Juil.-10,RUSCONI
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2012-Juil.-10,LA GALE
FESTIVAL DE LA CITE A LAUSANNE,Lausanne,2012-Juil.-11,LES SOEURS GOUDRON
