festival,location,date,artist
FESTIVAL OUF,Ivry sur Seine,2016-Juil.-08,BECOTS DA LAPPA
FESTIVAL OUF,Lausanne,2008-Sep.-11,JACQUES HOSTETTLER
FESTIVAL OUF,Lausanne,2008-Sep.-11,SAMUEL HALL BAND
FESTIVAL OUF,Lausanne,2008-Sep.-11,LEON FRANCIOLI
FESTIVAL OUF,Lausanne,2008-Sep.-11,LAURENT WEBER
FESTIVAL OUF,Lausanne,2008-Sep.-12,JACQUES HOSTETTLER
FESTIVAL OUF,Lausanne,2008-Sep.-12,SAMUEL HALL BAND
FESTIVAL OUF,Lausanne,2008-Sep.-12,LEON FRANCIOLI
FESTIVAL OUF,Lausanne,2008-Sep.-12,YVES MASSY
FESTIVAL OUF,Lausanne,2008-Sep.-12,GLENN FERRIS
FESTIVAL OUF,Lausanne,2008-Sep.-13,JACQUES HOSTETTLER
FESTIVAL OUF,Lausanne,2008-Sep.-13,MARC PERRENOUD
FESTIVAL OUF,Lausanne,2008-Sep.-13,FRANCOIS TSCHUMY
FESTIVAL OUF,Lausanne,2008-Sep.-13,FRANCOIS MASSY
FESTIVAL OUF,Lausanne,2008-Sep.-13,FLAVIO BOLTRO
FESTIVAL OUF,Lausanne,2008-Sep.-14,JACQUES HOSTETTLER
FESTIVAL OUF,Lausanne,2008-Sep.-14,MARC PERRENOUD
FESTIVAL OUF,Lausanne,2008-Sep.-14,FRANCOIS TSCHUMY
FESTIVAL OUF,Lausanne,2008-Sep.-14,FRANCOIS MASSY
FESTIVAL OUF,Lausanne,2008-Sep.-14,LEON FRANCIOLI
