festival,location,date,artist
FESTIVAL SAINT GHETTO,Bern,2015-Nov.-19,OLOF ARNALDS
FESTIVAL SAINT GHETTO,Bern,2015-Nov.-20,NENEH CHERRY & ROCKETNUMBERNINE
FESTIVAL SAINT GHETTO,Bern,2015-Nov.-21,BIANCA CASADY
FESTIVAL SAINT GHETTO,Bern,2014-Nov.-20,ATOM TM
FESTIVAL SAINT GHETTO,Bern,2014-Nov.-21,BEN FROST
FESTIVAL SAINT GHETTO,Bern,2014-Nov.-22,TRIPTYKON
FESTIVAL SAINT GHETTO,Bern,2013-Nov.-21,LAIBACH
FESTIVAL SAINT GHETTO,Bern,2013-Nov.-22,OM
FESTIVAL SAINT GHETTO,Bern,2013-Nov.-23,UZ JSME DOMA
FESTIVAL SAINT GHETTO,Bern,2012-Nov.-22,DAVID MARANHA (OSSO EXOTICO)
FESTIVAL SAINT GHETTO,Bern,2012-Nov.-24,TUXEDOMOON
