festival,location,date,artist
GENA FESTIVAL,Avully,2016-Juil.-08,THE REBELS OF TIJUANA
GENA FESTIVAL,Avully,2016-Juil.-09,SNURFU
GENA FESTIVAL,Avully,2015-Juil.-03,CAULIFLOWER
GENA FESTIVAL,Avully,2015-Juil.-04,THE CRAGS
GENA FESTIVAL,Avully,2014-Juil.-04,DJ CLICK
GENA FESTIVAL,Avully,2014-Juil.-05,SCARECROW
GENA FESTIVAL,Avully,2013-Juil.-05,RED DOG BLUES BAND
GENA FESTIVAL,Avully,2013-Juil.-06,FLOYD BEAUMONT
GENA FESTIVAL,Avully,2012-Juil.-06,LOS TRES PUNTOS
GENA FESTIVAL,Avully,2012-Juil.-07,RAG MAMA RAG
GENA FESTIVAL,Avully,2011-Juin-24,MMD 38
GENA FESTIVAL,Avully,2011-Juin-25,MARILOUIZ
GENA FESTIVAL,Avully,2010-Juil.-09,SKA NERFS
GENA FESTIVAL,Avully,2010-Juil.-10,HOPE PROJECT
GENA FESTIVAL,Avully,2009-Juil.-03,GURZUF
GENA FESTIVAL,Avully,2009-Juil.-04,MARIE CHERRIER
GENA FESTIVAL,Avully,2008-Juil.-04,KARA (MAMADOU KARA SYLLA KA)
GENA FESTIVAL,Avully,2008-Juil.-05,LONGITAL
GENA FESTIVAL,Avully,2007-Juin-15,BUBBLE BEATZ
GENA FESTIVAL,Avully,2007-Juin-15,LA SMALA
GENA FESTIVAL,Avully,2007-Juin-16,STEVANS
GENA FESTIVAL,Avully,2007-Juin-16,LA CHANGO FAMILY
GENA FESTIVAL,Avully,2006-Juin-23,SINNER DC
GENA FESTIVAL,Avully,2006-Juin-23,THE BOOZE (ex BOOZE BROTHERS)
GENA FESTIVAL,Avully,2006-Juin-23,FANTASMAGORIA (WORLD)
GENA FESTIVAL,Avully,2006-Juin-24,TIGER THE LION
GENA FESTIVAL,Avully,2006-Juin-24,CELYANE
GENA FESTIVAL,Avully,2006-Juin-24,DANNY GILES
