festival,location,date,artist
GREENFIELD,Interlaken,2016-Juin-08,RED HOT CHILI PEPPERS
GREENFIELD,Interlaken,2016-Juin-09,VOLBEAT
GREENFIELD,Interlaken,2016-Juin-10,NIGHTWISH
GREENFIELD,Interlaken,2016-Juin-11,THE PRODIGY
GREENFIELD,Interlaken,2013-Juin-13,RAMMSTEIN
GREENFIELD,Interlaken,2013-Juin-14,THE STRAPONES
GREENFIELD,Interlaken,2013-Juin-15,BULLET FOR MY VALENTINE
GREENFIELD,Interlaken,2012-Juin-15,TALCO
GREENFIELD,Interlaken,2012-Juin-16,TURBOWOLF
GREENFIELD,Interlaken,2012-Juin-17,BREAKDOWN OF SANITY
GREENFIELD,Interlaken,2011-Juin-09,SYSTEM OF A DOWN (SOAD)
GREENFIELD,Interlaken,2010-Juin-11,PROMETHEE
GREENFIELD,Interlaken,2010-Juin-12,THE DILLINGER ESCAPE PLAN
GREENFIELD,Interlaken,2010-Juin-13,DEATH BY STEREO
GREENFIELD,Interlaken,2009-Juin-12,NIGHTWISH
GREENFIELD,Interlaken,2009-Juin-13,FAITH NO MORE
GREENFIELD,Interlaken,2009-Juin-14,SLIPKNOT
GREENFIELD,Interlaken,2008-Juin-13,APOCALYPTICA
GREENFIELD,Interlaken,2008-Juin-14,OCEANSIZE
GREENFIELD,Interlaken,2008-Juin-15,BIFFY CLYRO
GREENFIELD,Interlaken,2007-Mai-16,THIRTY SECONDS TO MARS
GREENFIELD,Interlaken,2007-Mai-17,MANIC STREET PREACHERS
GREENFIELD,Interlaken,2007-Juin-15,HOUSTON SWING ENGINE
GREENFIELD,Interlaken,2006-Juin-16,APOCALYPTICA
GREENFIELD,Interlaken,2006-Juin-17,HARD FI
GREENFIELD,Interlaken,2006-Juin-18,MAD CADDIES
