festival,location,date,artist
GUINNESS IRISH FESTIVAL,Sion,2015-Aout-07,LES FRERES GUICHEN
GUINNESS IRISH FESTIVAL,Sion,2015-Aout-08,DANU
GUINNESS IRISH FESTIVAL,Sion,2014-Aout-07,THE YOUNG DUBLINERS
GUINNESS IRISH FESTIVAL,Sion,2014-Aout-08,LE VENT DU NORD
GUINNESS IRISH FESTIVAL,Sion,2014-Aout-09,EILEEN IVERS AND IMMIGRANT SOUL
GUINNESS IRISH FESTIVAL,Sion,2013-Aout-08,LEVELLERS
GUINNESS IRISH FESTIVAL,Sion,2013-Aout-09,SKERRYVORE
GUINNESS IRISH FESTIVAL,Sion,2013-Aout-10,THE BONNY MEN
GUINNESS IRISH FESTIVAL,Sion,2012-Aout-02,THE CHIEFTAINS
GUINNESS IRISH FESTIVAL,Sion,2012-Aout-03,MANAU
GUINNESS IRISH FESTIVAL,Sion,2012-Aout-04,STOUT
GUINNESS IRISH FESTIVAL,Sion,2011-Aout-04,TRI YANN
GUINNESS IRISH FESTIVAL,Sion,2011-Aout-05,PEATBOG FAIRIES
GUINNESS IRISH FESTIVAL,Sion,2011-Aout-06,CARLOS NUNEZ
GUINNESS IRISH FESTIVAL,Sion,2010-Aout-05,ARNO
GUINNESS IRISH FESTIVAL,Sion,2010-Aout-06,CAPERCAILLIE
GUINNESS IRISH FESTIVAL,Sion,2010-Aout-07,LA BOTTINE SOURIANTE
GUINNESS IRISH FESTIVAL,Sion,2009-Aout-06,THE DUBLIN LEGENDS (EX THE DUBLINERS)
GUINNESS IRISH FESTIVAL,Sion,2009-Aout-07,LUNASA
GUINNESS IRISH FESTIVAL,Sion,2009-Aout-08,THE CHIEFTAINS
GUINNESS IRISH FESTIVAL,Sion,2008-Aout-07,FISH
GUINNESS IRISH FESTIVAL,Sion,2008-Aout-08,MOVING HEARTS
GUINNESS IRISH FESTIVAL,Sion,2008-Aout-09,SOLAS BAND
GUINNESS IRISH FESTIVAL,Sion,2007-Aout-09,GLEN OF GUINNESS
GUINNESS IRISH FESTIVAL,Sion,2007-Aout-10,GRADA
GUINNESS IRISH FESTIVAL,Sion,2007-Aout-11,KILA
GUINNESS IRISH FESTIVAL,Sion,2006-Aout-04,KASLANE
GUINNESS IRISH FESTIVAL,Sion,2006-Aout-05,RED CARDELL
