festival,location,date,artist
HOLY GROOVE FESTIVAL,Lausanne,2016-Oct.-06,KIND & KINKY ZOO
HOLY GROOVE FESTIVAL,Lausanne,2016-Oct.-07,THE MILK
HOLY GROOVE FESTIVAL,Lausanne,2016-Oct.-08,FAMILY ATLANTICA
HOLY GROOVE FESTIVAL,Lausanne,2015-Sep.-30,THE TWO
HOLY GROOVE FESTIVAL,Lausanne,2015-Oct.-01,SPEEDOMETER
HOLY GROOVE FESTIVAL,Lausanne,2015-Oct.-01,FLORIAN KELLER
HOLY GROOVE FESTIVAL,Lausanne,2015-Oct.-02,RAY LUGO
HOLY GROOVE FESTIVAL,Lausanne,2015-Oct.-03,THE MIGHTY MOCAMBOS
HOLY GROOVE FESTIVAL,Lausanne,2014-Oct.-02,THE POETS OF RHYTHM
HOLY GROOVE FESTIVAL,Lausanne,2014-Oct.-03,CALIBRO 35
HOLY GROOVE FESTIVAL,Lausanne,2014-Oct.-04,HACKNEY COLLIERY BAND
HOLY GROOVE FESTIVAL,Lausanne,2014-Oct.-05,DAVID PHILIPS
HOLY GROOVE FESTIVAL,Lausanne,2013-Oct.-03,EJMA FUNK BAND
HOLY GROOVE FESTIVAL,Lausanne,2013-Oct.-04,PHAT FRED
HOLY GROOVE FESTIVAL,Lausanne,2013-Oct.-05,LEFTIES SOUL CONNECTION
HOLY GROOVE FESTIVAL,Lausanne,2013-Oct.-06,THE TWO
