festival,location,date,artist
IMPETUS FESTIVAL SUISSE,Lausanne,2016-Avr.-07,LONELY WALK
IMPETUS FESTIVAL SUISSE,Lausanne,2016-Avr.-08,AT THE DRIVE IN
IMPETUS FESTIVAL SUISSE,Delemont,2016-Avr.-08,OISEAUX - TEMPETE
IMPETUS FESTIVAL SUISSE,Lausanne,2012-Mar.-17,ORANGE GOBLIN
IMPETUS FESTIVAL SUISSE,Lausanne,2012-Avr.-22,MOTORPSYCHO
IMPETUS FESTIVAL SUISSE,Lausanne,2012-Avr.-25,MICHAEL GIRA
IMPETUS FESTIVAL SUISSE,Lausanne,2012-Avr.-26,A PLACE TO BURY STRANGERS
IMPETUS FESTIVAL SUISSE,Lausanne,2012-Avr.-27,NAPALM DEATH
IMPETUS FESTIVAL SUISSE,Lausanne,2012-Avr.-27,FELDERMELDER
IMPETUS FESTIVAL SUISSE,Lausanne,2012-Avr.-28,SCOTT KELLY
IMPETUS FESTIVAL SUISSE,Lausanne,2012-Avr.-28,GODFLESH
IMPETUS FESTIVAL SUISSE,Lausanne,2012-Avr.-29,STEPHEN O'MALLEY
IMPETUS FESTIVAL SUISSE,Lausanne,2011-Avr.-22,NADJA
IMPETUS FESTIVAL SUISSE,Lausanne,2011-Avr.-22,MASTER MUSICIANS OF BUKKAKE (MMOB)
IMPETUS FESTIVAL SUISSE,Lausanne,2011-Avr.-23,EXTRA LIFE
IMPETUS FESTIVAL SUISSE,Lausanne,2011-Avr.-23,CORONER
IMPETUS FESTIVAL SUISSE,Lausanne,2011-Avr.-24,EARTH
