festival,location,date,artist
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2011-Juil.-18,TIERNEY SUTTON
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2011-Juil.-25,MICHEL HAUSSER
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2011-Aout-08,JACKY TERRASSON
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2010-Juin-25,BILLY COBHAM
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2010-Juin-26,CHEICK TIDIANE SECK
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2010-Juil.-01,EUMIR DEODATO
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2010-Juil.-02,BILL EVANS
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2010-Juil.-03,KIP HANRAHAN
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2009-Juil.-06,SCOTT HAMILTON
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2009-Juil.-13,TAKE 6
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2009-Juil.-20,IVAN LINS
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2009-Juil.-27,BOB MINTZER
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2009-Aout-03,RICHARD GALLIANO
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2009-Aout-10,JERRY BERGONZI
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2006-Juil.-03,BOB MINTZER
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2006-Juil.-10,YELLOW JACKETS
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2006-Juil.-17,DANIEL HUMAIR
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2006-Juil.-24,ENRICO RAVA
JAZZ ESTIVAL - MUSIQUE EN ETE,Geneve,2006-Juil.-31,TANIA MARIA
