festival,location,date,artist
JAZZCONTREBAND,Thonon Les Bains,2016-Oct.-01,MICHEL PORTAL
JAZZCONTREBAND,Cluses,2016-Oct.-01,ZYTHUM
JAZZCONTREBAND,Geneve,2016-Oct.-01,MATHIEU ROSSIGNELLY
JAZZCONTREBAND,Carouge,2016-Oct.-01,AKUA NARU
JAZZCONTREBAND,Carouge,2016-Oct.-04,INGRID KAMBARA
JAZZCONTREBAND,Annemasse,2016-Oct.-05,CELINE BONACINA
JAZZCONTREBAND,Chamonix Mont Blanc,2016-Oct.-06,ZATAR
JAZZCONTREBAND,Marcellaz,2016-Oct.-06,WEJAZZ
JAZZCONTREBAND,Carouge,2016-Oct.-06,MATTHIEU LLODRA
JAZZCONTREBAND,Sierre,2016-Oct.-07,ONIRICAL BLEND
JAZZCONTREBAND,Yverdon Les Bains,2016-Oct.-07,LALALA NAPOLI
JAZZCONTREBAND,Geneve,2016-Oct.-07,ALAIN GUYONNET
JAZZCONTREBAND,Carouge,2016-Oct.-07,BCONNECTED
JAZZCONTREBAND,Cluses,2016-Oct.-08,CIE CALABASH
JAZZCONTREBAND,Sion,2016-Oct.-08,HELMY MORE FUNKER'S BIG BAND HMF
JAZZCONTREBAND,Geneve,2016-Oct.-08,MININO GARAY
JAZZCONTREBAND,Carouge,2016-Oct.-08,TRIO BEY LER BEY
JAZZCONTREBAND,Thonon Les Bains,2016-Oct.-11,HUGH COLTMAN
JAZZCONTREBAND,Annecy,2016-Oct.-12,MATHIEU ROSSIGNELLY
JAZZCONTREBAND,Marcellaz,2016-Oct.-13,PATXI VALVERDE
JAZZCONTREBAND,Onex,2016-Oct.-13,GREGOIRE MARET
JAZZCONTREBAND,Seynod,2016-Oct.-13,ANDRE MANOUKIAN
JAZZCONTREBAND,Nyon,2016-Oct.-13,HOMMAGE A CLAUDE NOUGARO (Brigitte Ravenel)
JAZZCONTREBAND,Lausanne,2016-Oct.-14,MARK SHERMAN
JAZZCONTREBAND,Annecy Le Vieux,2016-Oct.-15,LADY BAZAAR
JAZZCONTREBAND,Ferney Voltaire,2016-Oct.-15,LUCA STOLL
JAZZCONTREBAND,Lausanne,2016-Oct.-15,MARK SHERMAN
JAZZCONTREBAND,Geneve,2016-Oct.-15,RAY ANDERSON
JAZZCONTREBAND,Geneve,2016-Oct.-17,GREGOR VIDIC
JAZZCONTREBAND,Geneve,2016-Oct.-18,GREGOR VIDIC
