festival,location,date,artist
JVAL FESTIVAL,Begnins,2013-Aout-29,PONI HOAX
JVAL FESTIVAL,Begnins,2013-Aout-30,FEFE (FENIKSI)
JVAL FESTIVAL,Begnins,2013-Aout-31,GIRLS IN HAWAII
JVAL FESTIVAL,Begnins,2012-Aout-30,ZIGITROS
JVAL FESTIVAL,Begnins,2012-Aout-30,THE BIANCA STORY
JVAL FESTIVAL,Begnins,2012-Aout-30,THE RAMBLING WHEELS
JVAL FESTIVAL,Begnins,2012-Aout-31,DJ JOH
JVAL FESTIVAL,Begnins,2012-Aout-31,GRAND PIANORAMAX
JVAL FESTIVAL,Begnins,2012-Aout-31,ELECTRO DELUXE
JVAL FESTIVAL,Begnins,2012-Sep.-01,TUDANSESMONCHOU (TDMC)
JVAL FESTIVAL,Begnins,2012-Sep.-01,FAUVE
JVAL FESTIVAL,Begnins,2012-Sep.-01,APES & HORSES
JVAL FESTIVAL,Begnins,2012-Sep.-01,ALOAN
