festival,location,date,artist
L'AMR AUX CROPETTES,Geneve,2016-Juin-29,MATHIEU ROSSIGNELLY
L'AMR AUX CROPETTES,Geneve,2016-Juin-30,FLORENCE MELNOTTE
L'AMR AUX CROPETTES,Geneve,2016-Juil.-01,MAURIZIO BIONDA
L'AMR AUX CROPETTES,Geneve,2016-Juil.-02,BOIRE LA CHAISE
L'AMR AUX CROPETTES,Geneve,2016-Juil.-03,GILLES TORRENT
L'AMR AUX CROPETTES,Geneve,2015-Juin-24,LE GRUPETTO
L'AMR AUX CROPETTES,Geneve,2015-Juin-25,STEPHANE METRAUX
L'AMR AUX CROPETTES,Geneve,2015-Juin-26,LATIN EUROPEAN
L'AMR AUX CROPETTES,Geneve,2015-Juin-27,PRISME
L'AMR AUX CROPETTES,Geneve,2015-Juin-28,ORIGINALS
L'AMR AUX CROPETTES,Geneve,2014-Juin-25,MATHIEU ROSSIGNELLY
L'AMR AUX CROPETTES,Geneve,2014-Juin-25,CANA CUERDA Y TAMBOR
L'AMR AUX CROPETTES,Geneve,2014-Juin-25,MARIUS DUBOULE
L'AMR AUX CROPETTES,Geneve,2014-Juin-25,STEPHANE METRAUX
L'AMR AUX CROPETTES,Geneve,2014-Juin-26,STEPHANE METRAUX
L'AMR AUX CROPETTES,Geneve,2014-Juin-26,CHRISTOPHE RHODIUS
L'AMR AUX CROPETTES,Geneve,2014-Juin-26,COUNTRY COOKING
L'AMR AUX CROPETTES,Geneve,2014-Juin-26,MANU GESSENEY
L'AMR AUX CROPETTES,Geneve,2014-Juin-27,DAVID ROBIN
L'AMR AUX CROPETTES,Geneve,2014-Juin-27,BERNARD TRONTIN
L'AMR AUX CROPETTES,Geneve,2014-Juin-27,MAURICE MAGNONI
L'AMR AUX CROPETTES,Geneve,2014-Juin-27,PIERRE AUDETAT
L'AMR AUX CROPETTES,Geneve,2014-Juin-27,THEO DUBOULE
L'AMR AUX CROPETTES,Geneve,2014-Juin-27,GABRIEL ZUFFEREY
L'AMR AUX CROPETTES,Geneve,2014-Juin-28,13
L'AMR AUX CROPETTES,Geneve,2014-Juin-28,ZATAR
L'AMR AUX CROPETTES,Geneve,2014-Juin-28,SWONG
L'AMR AUX CROPETTES,Geneve,2014-Juin-28,LILA
L'AMR AUX CROPETTES,Geneve,2014-Juin-28,MARCOS JIMENEZ
L'AMR AUX CROPETTES,Geneve,2014-Juin-28,LUCA PAGANO
L'AMR AUX CROPETTES,Geneve,2014-Juin-28,CON TO' LOS HIERROS
L'AMR AUX CROPETTES,Geneve,2014-Juin-29,ORIGINALS
L'AMR AUX CROPETTES,Geneve,2013-Juin-26,EDUARDO KOHAN
L'AMR AUX CROPETTES,Geneve,2013-Juin-27,ORIOXY
L'AMR AUX CROPETTES,Geneve,2013-Juin-28,TROMBONE ALTITUDE
L'AMR AUX CROPETTES,Geneve,2013-Juin-29,FLORENCE MELNOTTE
L'AMR AUX CROPETTES,Geneve,2013-Juin-30,ERNEST PLATINI
L'AMR AUX CROPETTES,Geneve,2012-Juin-27,LINE PROJECT
L'AMR AUX CROPETTES,Geneve,2012-Juin-28,MATTHIEU LLODRA
L'AMR AUX CROPETTES,Geneve,2012-Juin-29,WWW TRIO
L'AMR AUX CROPETTES,Geneve,2012-Juin-30,MYRIAM DE ROUGEMONT TRIO
L'AMR AUX CROPETTES,Geneve,2012-Juil.-01,EVARISTO PEREZ
