festival,location,date,artist
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2014-Oct.-15,MORTON SUBOTNIK
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2014-Oct.-16,JOHN DUNCAN
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2014-Oct.-17,WINTER FAMILY
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2014-Oct.-18,COBRA
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2013-Oct.-16,MARTIN MESSIER
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2013-Oct.-17,LEIF ELGGREN
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2013-Oct.-18,RAVI SHARDJA
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2013-Oct.-18,NATE YOUNG
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2013-Oct.-19,ENDON
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2012-Sep.-19,MAJA RATKJE
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2012-Oct.-17,YAN JUN
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2012-Oct.-18,GILLES AUBRY
LAUSANNE UNDERGROUND FILM & MUSIC FESTIVAL (LUFF),Lausanne,2012-Oct.-20,OI POLLOI
