festival,location,date,artist
LAVAUX CLASSIQUE,Cully,2015-Juin-19,PIOTR ANDERSZEWSKI
LAVAUX CLASSIQUE,Cully,2015-Juin-19,JOACHIM CARR
LAVAUX CLASSIQUE,Cully,2015-Juin-20,ESTELLE REVAZ
LAVAUX CLASSIQUE,Cully,2015-Juin-20,ASTRIG SIRANOSSIAN
LAVAUX CLASSIQUE,Cully,2015-Juin-20,KATIA ET MARIELLE  LABEQUE
LAVAUX CLASSIQUE,Cully,2015-Juin-20,BOULANGER TRIO
LAVAUX CLASSIQUE,Cully,2015-Juin-21,CREATIV' HARP
LAVAUX CLASSIQUE,Cully,2015-Juin-21,DMITRI DEMIASHKIN
LAVAUX CLASSIQUE,Cully,2015-Juin-21,CEDRIC TIBERGHIEN
LAVAUX CLASSIQUE,Cully,2015-Juin-23,HELMUT DEUTSCH
LAVAUX CLASSIQUE,Cully,2015-Juin-24,MARC ANDRE HAMELIN
LAVAUX CLASSIQUE,Cully,2015-Juin-25,HENRI DEMARQUETTE
LAVAUX CLASSIQUE,Cully,2015-Juin-25,SOLENNE PAIDASSI
LAVAUX CLASSIQUE,Cully,2015-Juin-26,ALEXANDRE THARAUD
LAVAUX CLASSIQUE,Cully,2015-Juin-26,TAMAR BERAIA
LAVAUX CLASSIQUE,Cully,2015-Juin-27,FABRIZIO CHIOVETTA
LAVAUX CLASSIQUE,Cully,2015-Juin-27,STELLA SOUPPAYA
LAVAUX CLASSIQUE,Cully,2015-Juin-27,NIKOLAI LUGANSKY
LAVAUX CLASSIQUE,Cully,2015-Juin-27,GILLES VONSATTEL
LAVAUX CLASSIQUE,Cully,2015-Juin-28,MARIA RAZUMOVSKAYA
LAVAUX CLASSIQUE,Cully,2015-Juin-28,BEATRICE BERRUT
LAVAUX CLASSIQUE,Cully,2014-Juin-20,ALEXEI LUBIMOV
LAVAUX CLASSIQUE,Cully,2014-Juin-20,CEDRIC PESCIA
LAVAUX CLASSIQUE,Cully,2014-Juin-21,CEDRIC PESCIA
LAVAUX CLASSIQUE,Cully,2014-Juin-21,SOFJA GULBADAMOVA
LAVAUX CLASSIQUE,Cully,2014-Juin-21,KHATIA BUNIATISHVILI
LAVAUX CLASSIQUE,Cully,2014-Juin-21,KELLER QUARTETT
LAVAUX CLASSIQUE,Cully,2014-Juin-22,JOACHIM CARR
LAVAUX CLASSIQUE,Cully,2014-Juin-22,LES PASSIONS DE L'AME
LAVAUX CLASSIQUE,Cully,2014-Juin-24,BORIS BEREZOVSKY
LAVAUX CLASSIQUE,Cully,2014-Juin-25,NICHOLAS ANGELICH
LAVAUX CLASSIQUE,Cully,2014-Juin-26,MARIO BRUNELLO
LAVAUX CLASSIQUE,Cully,2014-Juin-26,CAMILLE THOMAS
LAVAUX CLASSIQUE,Cully,2014-Juin-27,TRIO SAINT EXUPERY
LAVAUX CLASSIQUE,Cully,2014-Juin-27,FABRIZIO CHIOVETTA
LAVAUX CLASSIQUE,Cully,2014-Juin-28,ASTRIG SIRANOSSIAN
LAVAUX CLASSIQUE,Cully,2014-Juin-28,MAURO LO CONTE
LAVAUX CLASSIQUE,Cully,2014-Juin-28,GERARD WYSS
LAVAUX CLASSIQUE,Cully,2014-Juin-28,BELCEA QUARTET
LAVAUX CLASSIQUE,Cully,2014-Juin-29,OLIVIA GAY
LAVAUX CLASSIQUE,Cully,2014-Juin-29,BELCEA QUARTET
LAVAUX CLASSIQUE,Cully,2013-Juin-21,GRIGORY SOKOLOV
LAVAUX CLASSIQUE,Cully,2013-Juin-21,TARAF DE HAIDOUKS
LAVAUX CLASSIQUE,Cully,2013-Juin-22,SARAH LAVAUX
LAVAUX CLASSIQUE,Cully,2013-Juin-22,PLAMENA MANGOVA
LAVAUX CLASSIQUE,Cully,2013-Juin-22,ALEXANDRE KNIAZEV
LAVAUX CLASSIQUE,Cully,2013-Juin-22,LES MENTSH
LAVAUX CLASSIQUE,Cully,2013-Juin-23,ENSEMBLE CONTEMPORAIN DU CONSERVATOIRE DE LAUSANNE
LAVAUX CLASSIQUE,Cully,2013-Juin-23,GERARD WYSS
LAVAUX CLASSIQUE,Cully,2013-Juin-23,QUATUOR TERPSYCORDES
LAVAUX CLASSIQUE,Cully,2013-Juin-25,NIKOLAI LUGANSKY
LAVAUX CLASSIQUE,Cully,2013-Juin-26,JULIUS DRAKE
LAVAUX CLASSIQUE,Cully,2013-Juin-27,ANDREI KOROBEINIKOV
LAVAUX CLASSIQUE,Cully,2013-Juin-27,MUZSIKAS
LAVAUX CLASSIQUE,Cully,2013-Juin-28,PATRICIA KOPATCHINSKAJA
LAVAUX CLASSIQUE,Cully,2013-Juin-28,GIORA FEIDMAN
LAVAUX CLASSIQUE,Cully,2013-Juin-29,JULIETTE GRANIER
LAVAUX CLASSIQUE,Cully,2013-Juin-29,HENRI DEMARQUETTE
LAVAUX CLASSIQUE,Cully,2013-Juin-29,CEDRIC PESCIA
LAVAUX CLASSIQUE,Cully,2013-Juin-29,GYPSY SOUND SYSTEM
LAVAUX CLASSIQUE,Cully,2013-Juin-30,CEDRIC PESCIA
LAVAUX CLASSIQUE,Cully,2013-Juin-30,ANDREI KOROBEINIKOV
LAVAUX CLASSIQUE,Cully,2012-Juin-22,TRIO WANDERER
LAVAUX CLASSIQUE,Cully,2012-Juin-22,PARVATHY BAUL
LAVAUX CLASSIQUE,Cully,2012-Juin-23,GIOVANNI BELLUCCI
LAVAUX CLASSIQUE,Cully,2012-Juin-23,LA VENEXIANA
LAVAUX CLASSIQUE,Cully,2012-Juin-23,FRANCOISE ATLAN
LAVAUX CLASSIQUE,Cully,2012-Juin-24,GIOVANNI BELLUCCI
LAVAUX CLASSIQUE,Cully,2012-Juin-26,GERARD WYSS
LAVAUX CLASSIQUE,Cully,2012-Juin-28,RACHEL HARNISCH
LAVAUX CLASSIQUE,Cully,2012-Juin-28,ELSA GRETHER
LAVAUX CLASSIQUE,Cully,2012-Juin-29,QUATUOR TERPSYCORDES
LAVAUX CLASSIQUE,Cully,2012-Juin-29,CEDRIC PESCIA
LAVAUX CLASSIQUE,Cully,2012-Juin-30,CEDRIC PESCIA
LAVAUX CLASSIQUE,Cully,2012-Juin-30,PHILIPPE HERSANT
LAVAUX CLASSIQUE,Cully,2012-Juin-30,KARINE MKRTCHYAN
LAVAUX CLASSIQUE,Cully,2012-Juil.-01,GAETAN
LAVAUX CLASSIQUE,Cully,2012-Juil.-01,HAKON AUSTBO
LAVAUX CLASSIQUE,Cully,2011-Juin-20,CEDRIC TIBERGHIEN
