festival,location,date,artist
LES TRAVERSES MUSICALES,Geneve,2013-Fev.-22,BROUSSAI
LES TRAVERSES MUSICALES,Geneve,2013-Fev.-23,SUMO
LES TRAVERSES MUSICALES,Geneve,2012-Fev.-24,NAJAVIBES
LES TRAVERSES MUSICALES,Geneve,2012-Fev.-25,JAEKO
LES TRAVERSES MUSICALES,Geneve,2011-Fev.-18,JULIAN PERRETTA
LES TRAVERSES MUSICALES,Geneve,2011-Fev.-19,BRACHOI
LES TRAVERSES MUSICALES,Geneve,2010-Fev.-19,PONY PONY RUN RUN
LES TRAVERSES MUSICALES,Geneve,2010-Fev.-20,NAJAVIBES
LES TRAVERSES MUSICALES,Geneve,2009-Fev.-26,PEP'S
LES TRAVERSES MUSICALES,Geneve,2009-Fev.-27,MANSIS
LES TRAVERSES MUSICALES,Geneve,2009-Fev.-28,YELIN
LES TRAVERSES MUSICALES,Geneve,2008-Fev.-22,BB BRUNES
LES TRAVERSES MUSICALES,Geneve,2008-Fev.-23,INNA CRISIS
LES TRAVERSES MUSICALES,Geneve,2007-Fev.-23,CATCHA
LES TRAVERSES MUSICALES,Geneve,2007-Fev.-24,POUFFY POUP
