festival,location,date,artist
LES URBAINES,Lausanne,2014-Dec.-05,SSSS (Samuel Savenberg)
LES URBAINES,Lausanne,2014-Dec.-05,MSHR
LES URBAINES,Lausanne,2014-Dec.-06,THE BONGOLEEROS
LES URBAINES,Lausanne,2014-Dec.-06,GRAUTON (Karen Geyer)
LES URBAINES,Lausanne,2014-Dec.-06,DUBAIS
LES URBAINES,Lausanne,2014-Dec.-06,NIKI TIPHTICOGLOU
LES URBAINES,Lausanne,2012-Nov.-30,ZIMOUN
LES URBAINES,Lausanne,2012-Nov.-30,GNOD
LES URBAINES,Lausanne,2012-Nov.-30,MINIMETAL
LES URBAINES,Lausanne,2012-Nov.-30,PETER FENGLER
LES URBAINES,Lausanne,2012-Dec.-01,LEXIE MOUNTAIN
LES URBAINES,Lausanne,2012-Dec.-01,HERR WARMBLUTER
LES URBAINES,Lausanne,2012-Dec.-01,FLORIS VANHOOF
LES URBAINES,Lausanne,2012-Dec.-01,HYPE WILLIAMS
LES URBAINES,Lausanne,2012-Dec.-02,LEXIE MOUNTAIN
LES URBAINES,Lausanne,2011-Dec.-02,LIMONIOUS
LES URBAINES,Lausanne,2011-Dec.-03,LA VAMPIRES
LES URBAINES,Lausanne,2010-Dec.-03,GERRITT WITTMER
LES URBAINES,Lausanne,2010-Dec.-03,VON SPAR
LES URBAINES,Lausanne,2010-Dec.-04,FLOATING POINTS
LES URBAINES,Lausanne,2010-Dec.-04,DON VITO
LES URBAINES,Lausanne,2010-Dec.-04,VOLCANO THE BEAR
LES URBAINES,Renens,2010-Dec.-05,OTTAVEN
