festival,location,date,artist
MAPPING FESTIVAL,Geneve,2016-Mai-04,CALL SUPER
MAPPING FESTIVAL,Geneve,2016-Mai-06,SHACKLETON
MAPPING FESTIVAL,Geneve,2016-Mai-07,ORPHX
MAPPING FESTIVAL,Geneve,2013-Mai-08,ROCKWELL
MAPPING FESTIVAL,Geneve,2013-Mai-08,LEGOWELT
MAPPING FESTIVAL,Geneve,2013-Mai-09,YI PING YANG
MAPPING FESTIVAL,Geneve,2013-Mai-09,ALEX SMOKE
MAPPING FESTIVAL,Geneve,2013-Mai-10,"GANGPOL & MIT ""RADIO MINUS SOUND SYSTEM"""
MAPPING FESTIVAL,Geneve,2013-Mai-10,KANGDING RAY
MAPPING FESTIVAL,Geneve,2013-Mai-10,PANGAEA
MAPPING FESTIVAL,Geneve,2013-Mai-11,SONJA MOONEAR
MAPPING FESTIVAL,Geneve,2012-Mai-11,DJ FLUSH
MAPPING FESTIVAL,Geneve,2011-Mai-20,DJ DIE
MAPPING FESTIVAL,Geneve,2011-Mai-20,JUNCTION SM
MAPPING FESTIVAL,Geneve,2011-Mai-20,35PLIS
MAPPING FESTIVAL,Geneve,2011-Mai-21,GUDRUN GUT
MAPPING FESTIVAL,Geneve,2011-Mai-21,SIMIAN MOBILE DISCO
MAPPING FESTIVAL,Geneve,2011-Mai-21,ZAN LYONS
MAPPING FESTIVAL,Geneve,2011-Mai-27,DACHSUND
MAPPING FESTIVAL,Geneve,2011-Mai-27,ELECTRIC RESCUE
MAPPING FESTIVAL,Geneve,2011-Mai-28,STRAY DOGS
MAPPING FESTIVAL,Geneve,2011-Mai-28,ASYNTHOME
MAPPING FESTIVAL,Geneve,2011-Mai-28,KRASH ON EARTH
MAPPING FESTIVAL,Geneve,2011-Mai-28,GOODBYE IVAN
MAPPING FESTIVAL,Geneve,2010-Mai-07,SKREAM
MAPPING FESTIVAL,Geneve,2010-Mai-08,JAMIE FANATIC
MAPPING FESTIVAL,Geneve,2010-Mai-08,DACHSUND
MAPPING FESTIVAL,Geneve,2010-Mai-12,"GANGPOL & MIT ""RADIO MINUS SOUND SYSTEM"""
MAPPING FESTIVAL,Geneve,2010-Mai-12,LUKE SLATER
MAPPING FESTIVAL,Geneve,2010-Mai-13,GERBEM
MAPPING FESTIVAL,Geneve,2010-Mai-14,ZOL
