festival,location,date,artist
MOTION OPENAIR,Lausanne,2013-Mar.-28,CHUCKIE
MOTION OPENAIR,Lausanne,2013-Mar.-29,MOSIMANN
MOTION OPENAIR,Lausanne,2013-Mar.-30,JUSTICE
MOTION OPENAIR,Lausanne,2013-Mar.-31,HARDWELL
MOTION OPENAIR,Gunzgen,2013-Juil.-25,MONIKA KRUSE
MOTION OPENAIR,Gunzgen,2013-Juil.-26,STEVE AOKI
MOTION OPENAIR,Gunzgen,2013-Juil.-27,TIESTO
MOTION OPENAIR,Gunzgen,2012-Juin-29,TIESTO
MOTION OPENAIR,Gunzgen,2012-Juin-30,SNOOP DOGG
MOTION OPENAIR,Montreux,2011-Juin-09,MARTIN SOLVEIG
MOTION OPENAIR,Montreux,2011-Juin-10,HEADHUNTERZ
MOTION OPENAIR,Montreux,2011-Juin-11,DJ OTHELLO
MOTION OPENAIR,Montreux,2011-Juin-12,BOY GEORGE
MOTION OPENAIR,Montreux,2010-Mai-20,DAVID GUETTA
MOTION OPENAIR,Montreux,2010-Mai-21,TIESTO
MOTION OPENAIR,Montreux,2010-Mai-22,ISAAC
MOTION OPENAIR,Montreux,2010-Mai-23,AXWELL
MOTION OPENAIR,Montreux,2009-Mai-29,DAVID GUETTA
MOTION OPENAIR,Montreux,2009-Mai-30,MAX B GRANT
MOTION OPENAIR,Montreux,2009-Mai-31,MARTIN SOLVEIG
MOTION OPENAIR,Montreux,2008-Avr.-03,CARL COX
MOTION OPENAIR,Montreux,2008-Avr.-04,MICROPOINT
MOTION OPENAIR,Montreux,2008-Avr.-05,SIMON DUNMORE
MOTION OPENAIR,Montreux,2007-Avr.-05,DAVID GUETTA
MOTION OPENAIR,Montreux,2007-Avr.-06,NEOPHYTE
MOTION OPENAIR,Montreux,2007-Avr.-07,BABY MARCELLO
MOTION OPENAIR,Montreux,2007-Avr.-08,MARTIN SOLVEIG
