festival,location,date,artist
OTHERJAZZ FESTIVAL,Neuchatel,2014-Fev.-19,ANTEZ
OTHERJAZZ FESTIVAL,Le Locle,2014-Fev.-20,LUCIEN DUBUIS
OTHERJAZZ FESTIVAL,La Chaux de Fond,2014-Fev.-21,IKUE MORI
OTHERJAZZ FESTIVAL,Saignelegier,2014-Fev.-22,POTAGE DU JOUR
OTHERJAZZ FESTIVAL,La Chaux de Fond,2014-Fev.-23,MARTEAU ROUGE
OTHERJAZZ FESTIVAL,Neuchatel,2012-Fev.-23,HANS KOCH
OTHERJAZZ FESTIVAL,La Chaux de Fond,2012-Fev.-24,HELENE BRESCHAND
OTHERJAZZ FESTIVAL,Saignelegier,2012-Fev.-25,BERENGERE MAXIMIN
OTHERJAZZ FESTIVAL,La Chaux de Fond,2012-Fev.-26,ANDY MILNE
OTHERJAZZ FESTIVAL,Neuchatel,2008-Fev.-20,LUCIEN DUBUIS
OTHERJAZZ FESTIVAL,Neuchatel,2008-Fev.-21,DONKEY MONKEY
OTHERJAZZ FESTIVAL,Neuchatel,2008-Fev.-22,BRUNO AMSTAD
OTHERJAZZ FESTIVAL,Neuchatel,2008-Fev.-23,GUTBUCKET
