festival,location,date,artist
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2013-Juil.-20,FRANCOIS XAVIER POIZAT
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2013-Juil.-25,BENOIT CAPT
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2013-Juil.-27,VINCENT LUCAS
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2013-Aout-02,VAHAN MARDIROSSIAN
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2013-Aout-03,JULIEN SZULMAN
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2013-Aout-15,ANDREY BARANOV
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2013-Aout-17,PHILIPPE BERAN
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2013-Aout-22,STEPAN SIMONIAN
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2013-Aout-24,ORCHESTRE DE LA SUISSE ROMANDE
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2012-Juil.-21,FRANCOIS XAVIER POIZAT
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2012-Juil.-26,NADEGE ROCHAT
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2012-Juil.-29,QUATUOR AVIV
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Yvoire,2012-Aout-03,JULIEN SZULMAN
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2012-Aout-05,CLAIRE HUANGCI
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Yvoire,2012-Aout-10,FRANCOISE CHOVEAUX
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2012-Aout-12,KYRILL RYBAKOV
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2012-Aout-16,FRANCOIS XAVIER POIZAT
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Yvoire,2012-Aout-17,ESTELLE REVAZ
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2012-Aout-19,ORCHESTRE DE LA SUISSE ROMANDE
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2011-Juil.-24,FRANCOIS XAVIER POIZAT
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2011-Juil.-31,HUBERT RUTKOWSKY
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Yvoire,2011-Aout-05,FLORIAN NOACK
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Yvoire,2011-Aout-06,JULIEN SZULMAN
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2011-Aout-07,FLORIAN NOACK
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Yvoire,2011-Aout-08,MAURO LO CONTE
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2011-Aout-14,WENDY GHYSELS
PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,Puplinge,2011-Aout-21,SINE NOMINE
