festival,location,date,artist
SISMICS FESTIVAL,Sierre,2013-Mai-29,EMILIE BOURGEOIS & TRIO POP CORDES
SISMICS FESTIVAL,Sierre,2013-Mai-30,DJ UNSEEN
SISMICS FESTIVAL,Sierre,2013-Mai-31,SOLA KAMBA
SISMICS FESTIVAL,Sierre,2013-Juin-01,EMILIE VUISSOZ AKA SORCIERE BLANCHE
SISMICS FESTIVAL,Sierre,2012-Juin-06,WHO'S NEXT
SISMICS FESTIVAL,Sierre,2012-Juin-07,MERCURY FALL (ALEX CAGLI)
SISMICS FESTIVAL,Sierre,2012-Juin-08,IMPERIAL TABASCO
SISMICS FESTIVAL,Sierre,2012-Sep.-09,BEAT'N JUICE
SISMICS FESTIVAL,Sierre,2011-Juin-17,THE HILLBILLY MOON EXPLOSION
SISMICS FESTIVAL,Sierre,2011-Juin-18,SOUND OF FRIDGE
SISMICS FESTIVAL,Sierre,2011-Juin-22,DJ RAMONE
SISMICS FESTIVAL,Sierre,2011-Juin-24,THE RAMBLING WHEELS
SISMICS FESTIVAL,Sierre,2011-Juin-25,KYASMA
SISMICS FESTIVAL,Sierre,2010-Juin-02,THE STRANGE ONES
SISMICS FESTIVAL,Sierre,2010-Juin-02,FELOCHE
SISMICS FESTIVAL,Sierre,2010-Juin-03,PROWPUSKOVIC
SISMICS FESTIVAL,Sierre,2010-Juin-04,IN THE SPIRIT
SISMICS FESTIVAL,Sierre,2010-Juin-04,GAZON ROUGE
SISMICS FESTIVAL,Sierre,2010-Juin-05,ANGIL AND THE HIDDENTRACKS
SISMICS FESTIVAL,Sierre,2009-Juin-10,LA FANFARE EN PETARD
SISMICS FESTIVAL,Sierre,2009-Juin-10,ZAI ON
SISMICS FESTIVAL,Sierre,2009-Juin-10,GLEN OF GUINNESS
SISMICS FESTIVAL,Sierre,2009-Juin-11,PIRA666
SISMICS FESTIVAL,Sierre,2009-Juin-11,DES GENS T
SISMICS FESTIVAL,Sierre,2009-Juin-11,CHLOROFEEL
SISMICS FESTIVAL,Sierre,2009-Juin-11,STEMMS
SISMICS FESTIVAL,Sierre,2009-Juin-11,NO MORE BABYLON
SISMICS FESTIVAL,Sierre,2009-Juin-11,KYA BAMBA
SISMICS FESTIVAL,Sierre,2009-Juin-12,LA SCANA DEL DOMINGO
SISMICS FESTIVAL,Sierre,2009-Juin-12,QUICKSHARPE
SISMICS FESTIVAL,Sierre,2009-Juin-12,ZENKIS
SISMICS FESTIVAL,Sierre,2009-Juin-12,THE MONDRIANS
SISMICS FESTIVAL,Sierre,2009-Juin-12,NAJAVIBES
SISMICS FESTIVAL,Sierre,2009-Juin-12,PONI HOAX
SISMICS FESTIVAL,Sierre,2009-Juin-13,DJ ALFREDO BARCOS
SISMICS FESTIVAL,Sierre,2009-Juin-13,EDIT PRESENT
SISMICS FESTIVAL,Sierre,2009-Juin-13,MONG
SISMICS FESTIVAL,Sierre,2009-Juin-13,SKATANGA
SISMICS FESTIVAL,Sierre,2009-Juin-13,KOLO
SISMICS FESTIVAL,Sierre,2009-Juin-13,8 DAYS A WEEK
SISMICS FESTIVAL,Sierre,2009-Juin-13,ALOAN
SISMICS FESTIVAL,Sierre,2009-Juin-14,FANGA
SISMICS FESTIVAL,Sierre,2009-Juin-14,THE RAMBLING WHEELS
SISMICS FESTIVAL,Sierre,2008-Mai-21,RYAN HAWKIN
SISMICS FESTIVAL,Sierre,2008-Mai-22,DORIAN GRAY (METAL)
SISMICS FESTIVAL,Sierre,2008-Mai-23,KOCANI ORKESTAR
SISMICS FESTIVAL,Sierre,2008-Mai-24,BLACK HOLE
SISMICS FESTIVAL,Sierre,2007-Juin-07,INNA CRISIS
SISMICS FESTIVAL,Sierre,2007-Juin-08,KID CHOCOLAT
SISMICS FESTIVAL,Sierre,2007-Juin-09,LOVE MOTEL
