festival,location,date,artist
STONE HILL,Alterswil,2010-Juil.-22,JOHN PARISH
STONE HILL,Alterswil,2010-Juil.-23,JON HOPKINS
STONE HILL,Alterswil,2010-Juil.-24,FILEWILE
STONE HILL,Alterswil,2009-Juil.-23,ZZZ...
STONE HILL,Alterswil,2009-Juil.-24,OVERDRIVE AMP EXPLOSION
STONE HILL,Alterswil,2009-Juil.-25,JOHN DOE
STONE HILL,Alterswil,2008-Juil.-24,BREITBILD
STONE HILL,Alterswil,2008-Juil.-25,VIVE LA FETE
STONE HILL,Alterswil,2008-Juil.-26,ISLANDS
STONE HILL,Alterswil,2007-Juil.-26,ROY AND THE DEVIL MOTORCYCLE
STONE HILL,Alterswil,2007-Juil.-27,T-RAUMSCHMIERE
STONE HILL,Alterswil,2007-Juil.-28,TRIGGERFINGER
