festival,location,date,artist
TAMBOUR BATTANT FESTIVAL,Geneve,2012-Nov.-28,LIMANIYA
TAMBOUR BATTANT FESTIVAL,Geneve,2012-Nov.-29,SIDI TOURE
TAMBOUR BATTANT FESTIVAL,Geneve,2012-Nov.-30,PIE TSHIBANDA
TAMBOUR BATTANT FESTIVAL,Geneve,2012-Dec.-01,MOKOBE
TAMBOUR BATTANT FESTIVAL,Geneve,2012-Dec.-02,CORALIA RODRIGUEZ
TAMBOUR BATTANT FESTIVAL,Geneve,2012-Dec.-08,PEDRO KOUYATE
TAMBOUR BATTANT FESTIVAL,Geneve,2011-Nov.-24,CONGRES DE GRIOTS A KANKAN
TAMBOUR BATTANT FESTIVAL,Geneve,2011-Nov.-25,TOURE KUNDA
TAMBOUR BATTANT FESTIVAL,Geneve,2011-Nov.-26,EMPREINTES MASSAI
TAMBOUR BATTANT FESTIVAL,Geneve,2010-Nov.-25,NANA CISSOKHO
TAMBOUR BATTANT FESTIVAL,Geneve,2010-Nov.-26,AFEL BOCOUM
TAMBOUR BATTANT FESTIVAL,Geneve,2010-Nov.-27,LE BALLET WON TAN NARA
TAMBOUR BATTANT FESTIVAL,Geneve,2009-Nov.-27,DIDIER AWADI
TAMBOUR BATTANT FESTIVAL,Geneve,2009-Nov.-27,KRISTO NUMPUBY
TAMBOUR BATTANT FESTIVAL,Geneve,2009-Nov.-28,LA MC MALCRIADO
TAMBOUR BATTANT FESTIVAL,Geneve,2008-Nov.-28,TIHAREA
TAMBOUR BATTANT FESTIVAL,Geneve,2008-Nov.-29,DOBET GNAHORE
TAMBOUR BATTANT FESTIVAL,Geneve,2008-Nov.-29,AMAZONES DE GUINEE
