festival,location,date,artist
THIS IS TIGERR,Lausanne,2013-Mar.-22,EGYPTIAN HIP HOP
THIS IS TIGERR,Bale (Basel),2012-Sep.-24,PEACE
THIS IS TIGERR,Zurich,2012-Sep.-24,REN HARVIEU
THIS IS TIGERR,Zurich,2012-Sep.-24,BLAUDZUN
THIS IS TIGERR,Zurich,2012-Sep.-25,WE WERE EVERGREEN
THIS IS TIGERR,Zurich,2012-Sep.-25,SAINT MICHEL
THIS IS TIGERR,Zurich,2012-Sep.-25,TOY
THIS IS TIGERR,Zurich,2012-Sep.-25,BEN CAPLAN AND THE CASUAL SMOKERS
THIS IS TIGERR,Bale (Basel),2012-Sep.-25,BLAUDZUN
THIS IS TIGERR,Lausanne,2012-Sep.-25,GREAT MOUNTAIN FIRE
THIS IS TIGERR,Bale (Basel),2012-Sep.-26,TOY
THIS IS TIGERR,Saint Gallen,2012-Sep.-26,JONQUIL
THIS IS TIGERR,Zurich,2012-Sep.-26,CAANDIDES
THIS IS TIGERR,Zurich,2012-Sep.-26,BENJAMIN FRANCIS LEFTWICH
THIS IS TIGERR,Lyss,2012-Sep.-26,GREAT MOUNTAIN FIRE
THIS IS TIGERR,Luzerne (Luzern),2012-Sep.-26,WE WERE EVERGREEN
THIS IS TIGERR,Lausanne,2012-Sep.-26,THE MAGNETIC NORTH
THIS IS TIGERR,Lausanne,2012-Sep.-26,SAINT MICHEL
THIS IS TIGERR,Monthey,2012-Sep.-27,CAANDIDES
THIS IS TIGERR,Saint Gallen,2012-Sep.-27,COLD SPECKS
THIS IS TIGERR,Zurich,2012-Sep.-27,GREAT MOUNTAIN FIRE
THIS IS TIGERR,Luzerne (Luzern),2012-Sep.-27,SAINT MICHEL
THIS IS TIGERR,Zurich,2012-Sep.-27,CLARA LUZIA
THIS IS TIGERR,Monthey,2012-Sep.-27,CAANDIDES
THIS IS TIGERR,Lausanne,2012-Sep.-27,TOY
THIS IS TIGERR,Zurich,2012-Sep.-28,DON RIMINI
THIS IS TIGERR,Bern,2012-Sep.-28,GARDA
THIS IS TIGERR,Monthey,2012-Sep.-28,RUSSIAN RED
THIS IS TIGERR,Zurich,2012-Sep.-28,ELISA JO
THIS IS TIGERR,Monthey,2012-Sep.-28,JUVENILES
THIS IS TIGERR,Bern,2012-Sep.-29,SYDNEY WAYSER
THIS IS TIGERR,Geneve,2012-Sep.-29,RUDIMENTAL
