festival,location,date,artist
VERNIER SUR ROCK,Le Lignon,2016-Oct.-13,SAMAEL
VERNIER SUR ROCK,Le Lignon,2016-Oct.-14,DANAKIL
VERNIER SUR ROCK,Le Lignon,2016-Oct.-15,DJ MAKALA
VERNIER SUR ROCK,Le Lignon,2015-Oct.-09,YOUSSOUPHA
VERNIER SUR ROCK,Le Lignon,2015-Oct.-10,NO ONE IS INNOCENT
VERNIER SUR ROCK,Le Lignon,2014-Oct.-10,KYO
VERNIER SUR ROCK,Le Lignon,2014-Oct.-11,ANTHONY B
VERNIER SUR ROCK,Le Lignon,2013-Oct.-10,DISAGONY
VERNIER SUR ROCK,Le Lignon,2013-Oct.-11,WAYNE PAUL
VERNIER SUR ROCK,Le Lignon,2013-Oct.-12,BALTHAZAR
VERNIER SUR ROCK,Vernier,2012-Mai-11,THE ASTEROIDS GALAXY TOUR
VERNIER SUR ROCK,Vernier,2012-Mai-12,DANAKIL
VERNIER SUR ROCK,Vernier,2011-Mai-12,THE BABYTRACKS
VERNIER SUR ROCK,Vernier,2011-Mai-13,DUB INC
VERNIER SUR ROCK,Vernier,2011-Mai-14,YODELICE
VERNIER SUR ROCK,Vernier,2010-Mai-07,LA RUDA
VERNIER SUR ROCK,Vernier,2010-Mai-08,NAIVE NEW BEATERS
VERNIER SUR ROCK,Vernier,2010-Mai-09,FEFE (FENIKSI)
VERNIER SUR ROCK,Vernier,2009-Mai-08,ZAM ZAM
VERNIER SUR ROCK,Vernier,2009-Mai-09,LAS AVES (ex THE DODOZ)
VERNIER SUR ROCK,Le Lignon,2007-Nov.-01,MASS HYSTERIA
VERNIER SUR ROCK,Le Lignon,2007-Nov.-02,INNA CRISIS
VERNIER SUR ROCK,Le Lignon,2007-Nov.-03,LA FOUINE
VERNIER SUR ROCK,Le Lignon,2006-Nov.-23,LES WAMPAS
VERNIER SUR ROCK,Le Lignon,2006-Nov.-24,SAIAN SUPA CREW
VERNIER SUR ROCK,Le Lignon,2006-Nov.-25,RASPAIL
