festival,location,date,artist
VILLAGE TROPICAL,Geneve,2009-Juin-11,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2009-Juin-12,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2009-Juin-13,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2009-Juin-14,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2009-Juin-15,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2009-Juin-16,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2009-Juin-17,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2009-Juin-18,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2009-Juin-19,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2009-Juin-20,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2009-Juin-21,YURI BUENAVENTURA
VILLAGE TROPICAL,Geneve,2008-Juil.-03,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2008-Juil.-31,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2008-Aout-01,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2008-Aout-02,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2008-Aout-04,MOSQUITO SALSA CLUB
VILLAGE TROPICAL,Geneve,2008-Aout-08,EL PIQUETE
VILLAGE TROPICAL,Geneve,2008-Aout-09,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2008-Aout-10,GRES UNIDO DE GENEVE
VILLAGE TROPICAL,Geneve,2007-Aout-02,JOSE ALBERTO EL CANARIO
VILLAGE TROPICAL,Geneve,2007-Aout-04,RODRY GO
VILLAGE TROPICAL,Geneve,2007-Aout-05,BATAMBO
VILLAGE TROPICAL,Geneve,2007-Aout-06,MARACA / ORLANDO MARACA VALLE
VILLAGE TROPICAL,Geneve,2007-Aout-07,REVISTA DO SAMBA
VILLAGE TROPICAL,Geneve,2007-Aout-08,SONORA UNIVERSAL
VILLAGE TROPICAL,Geneve,2007-Aout-09,SERGENT GARCIA
VILLAGE TROPICAL,Geneve,2007-Aout-10,EL CONJUNTO MASSALIA
VILLAGE TROPICAL,Geneve,2007-Aout-11,RUMBA STEREO
VILLAGE TROPICAL,Geneve,2007-Aout-12,LA TREMENDA SONORA
VILLAGE TROPICAL,Geneve,2006-Aout-03,OSCAR D'LEON
VILLAGE TROPICAL,Geneve,2006-Aout-04,SOLO DOS
VILLAGE TROPICAL,Geneve,2006-Aout-05,CARLOS CAMPOS
VILLAGE TROPICAL,Geneve,2006-Aout-06,ALMA & NIURKA
VILLAGE TROPICAL,Geneve,2006-Aout-07,ORQUESTA ARAGON
VILLAGE TROPICAL,Geneve,2006-Aout-08,ISSAC DELGADO
VILLAGE TROPICAL,Geneve,2006-Aout-09,VERDE PARRA
VILLAGE TROPICAL,Geneve,2006-Aout-10,LALEY
VILLAGE TROPICAL,Geneve,2006-Aout-11,BONGA
VILLAGE TROPICAL,Geneve,2006-Aout-12,REALCE
VILLAGE TROPICAL,Geneve,2006-Aout-13,ULTIMAMENTE SALSA
