,location,event,date,artists
0,Habere Poche,VIBRATIONS METISSAGES,2006-03-03,[ALERTE ROUGE]
1,Habere Poche,VIBRATIONS METISSAGES,2006-03-04,[K2R RIDDIM]
2,Epalinges,FESTIVAL DE GUITARE A LAUSANNE,2006-04-28,[ALIESKI VIANA]
3,Epalinges,FESTIVAL DE GUITARE A LAUSANNE,2006-04-29,[GEORGE VASSILEV]
4,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2006-04-30,[DANIEL MORGADE]
5,Bulle,FRANCOMANIAS,2006-05-23,"[SIMON GERBER, ASTONVILLA]"
6,Bulle,FRANCOMANIAS,2006-05-24,"[TETES RAIDES, ZOE  (Chanteuse Belge)]"
7,Bulle,FRANCOMANIAS,2006-05-25,"[STEPHANE BLOK, CHRISTOPHE MALI]"
8,Bulle,FRANCOMANIAS,2006-05-26,"[RAPHAEL, MICHEL JONASZ (ABRAHAM)]"
9,Bulle,FRANCOMANIAS,2006-05-27,"[TOMAS GRAND, PAULINE CROZE]"
10,La Chaux du Milieu,CORBAK,2006-06-01,[MICHEL JONASZ (ABRAHAM)]
11,Paudex,PULLY A L'HEURE DU QUEBEC,2006-06-02,[CHLOE SAINTE MARIE]
12,Lutry,PULLY A L'HEURE DU QUEBEC,2006-06-03,[SUROIT]
13,Neuchatel,FESTI NEUCH,2006-06-04,[SIMON GERBER]
14,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-05,[ROBERT CHARLEBOIS]
15,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-06,"[CHLOE SAINTE MARIE, YVES SAVARD, ROBERT CHARLEBOIS]"
16,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-07,"[RICHARD DESJARDINS, CATHERINE MAJOR, MARIE CHANTAL TOUPIN]"
17,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-08,"[PIERRE LAPOINTE, LARA]"
18,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-09,"[AMELIE VEILLE, MARIO BRASSARD]"
19,Pully,PULLY A L'HEURE DU QUEBEC,2006-06-10,[SUROIT]
20,Interlaken,GREENFIELD,2006-06-16,[APOCALYPTICA]
21,Interlaken,GREENFIELD,2006-06-17,[HARD FI]
22,Interlaken,GREENFIELD,2006-06-18,[MAD CADDIES]
23,Avully,GENA FESTIVAL,2006-06-23,"[SINNER DC, THE BOOZE (ex BOOZE BROTHERS), FANTASMAGORIA (WORLD)]"
24,Avully,GENA FESTIVAL,2006-06-24,"[TIGER THE LION, CELYANE, DANNY GILES]"
25,Montreux,MONTREUX JAZZ FESTIVAL,2006-06-30,"[CHIC FEAT. NILE RODGERS, ASHER SELECTOR, PAOLO CONTE]"
26,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-01,"[MARCELO D2, BROTHER ALI, KLAUS DOLDINGER & PASSPORT]"
27,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-02,"[ORNETTE COLEMAN, CLAP YOUR HANDS SAY YEAH !, VAN MORRISON]"
28,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-03,"[LEELA JAMES, FERNANDO CORONA aka MURCOF, DAVID SANBORN]"
29,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-04,"[TERRY CALLIER, THE DEFTONES, GLADYS KNIGHT]"
30,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-05,"[RAUL MIDON, TRACY CHAPMAN, DIANA KRALL]"
31,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-06,"[BRYAN ADAMS, CARL CRAIG, JOHN SCOFIELD]"
32,Lausanne,SWISS PRIDE,2006-07-07,[LOUIE AUSTEN]
33,Lausanne,SWISS PRIDE,2006-07-08,[THE ORGAN]
34,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-09,"[SANTANA, DAVID WALTERS, RANDY NEWMAN]"
35,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-10,"[SANTANA, BERNARD LAVILLIERS]"
36,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-11,"[STING, MORRISSEY, HERBIE HANCOCK]"
37,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-12,"[TOWER OF POWER, MARCUS MILLER]"
38,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-13,"[SEAN PAUL, DANI SICILIANO, SOLOMON BURKE]"
39,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-14,"[IGGY POP, THE STROKES, DIEGO EL CIGALA]"
40,Montreux,MONTREUX JAZZ FESTIVAL,2006-07-15,"[DEEP PURPLE, MATHEW JONSON, PACO DE LUCIA]"
41,Bern,GURTEN FESTIVAL BERN,2006-07-16,[PHOENIX]
42,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2006-07-17,[DANIEL HUMAIR]
43,Nyon,PALEO FESTIVAL,2006-07-18,[ANAIS]
44,Nyon,PALEO FESTIVAL,2006-07-19,[ZIGGY MARLEY]
45,Nyon,PALEO FESTIVAL,2006-07-20,[THE LORDS OF ALTAMONT]
46,Nyon,PALEO FESTIVAL,2006-07-21,[TRACY CHAPMAN]
47,Nyon,PALEO FESTIVAL,2006-07-22,[HATEFUL MONDAY]
48,Nyon,PALEO FESTIVAL,2006-07-23,[MXD]
49,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2006-07-24,[ENRICO RAVA]
50,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2006-07-31,[TANIA MARIA]
51,Geneve,VILLAGE TROPICAL,2006-08-03,[OSCAR D'LEON]
52,Geneve,VILLAGE TROPICAL,2006-08-04,[SOLO DOS]
53,Geneve,VILLAGE TROPICAL,2006-08-05,[CARLOS CAMPOS]
