artists,date,event,genre,location
[' Vlad Weverbergh '],2013-01-03,Neujahrskonzert,['Classic'],Pontresina
[' Roland Raphael '],2013-01-03,Brillante-Neujahrs-Konzertgala,['Classic'],Zürich
"[' Ivan Kubias ', ' Ivan Hrdina ', ' Miro Steiner ']",2013-01-03,Jazz-Happening,"['Jazz', 'Blues', 'Soul']",Zürich
"['Diana Petrova ', ' Elena Tomilova ']",2013-01-03,Konzert,['Classic'],Grindelwald
"[' Othella Dallas ', ' Thomas Moeckel ', ' Tom Mäder ', ' Hannes Bürgi ', ' Michael Chylewski ', ' Lukas Gasser ']",2013-01-03,Othella-Dallas-feat.-Thomas-Moeckel,"['Jazz', 'Blues', 'Soul']",Basel
"[' Basil Anliker ', ' Etienne Marti ', ' Beni Külling ', ' Raphael Jakob ', ' Tevfik Kuyas ', ' Fabian Bürgi ']",2013-01-03,Bern,"['Tequila', 'Boys']",ISC-Club
['Smalltown Casanovas '],2013-01-03,Smalltown-Casanovas,['Pop'],Pontresina
['Marie-Odile Vigreux '],2013-01-04,Orgelspiel-zum-Feierabend,['Classic'],Basel
"[' Carola Glaser ', ' Christina Daletska ', ' Rolf Romei ', ' Marian Krejcik ']",2013-01-04,Konzert,['Classic'],Zürich
[' Maria Goldschmidt '],2013-01-04,Neujahrskonzert,['Classic'],null
"[' support: On-Off ', ' Sin-City ']",2013-01-04,77,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Zürich
"['Robert Crowe ', ' Aude Priya ', ' Joachim Enders ']",2013-01-04,Alessandro-dell'indie,['Classic'],Basel
"[' Sophie Lüssi ', ' Felix Brühwiler ', ' Claudio Strebel ', ' David Beglinger ']",2013-01-04,Swing-de-Paris,"['Jazz', 'Blues', 'Soul']",Winterthur
"[' Patricia Kunz ', ' Markus Hürsch ', ' Tomi Schwarzenbach ', ' Mauro Bodio ', ' Dieter Häner ']",2013-01-04,B-Tonic,"['Jazz', 'Blues', 'Soul']",Basel
"['Rich Fonje ', ' Dave Feusi ', ' Fabienne Hoerni ', ' René Mosele ', ' Matthew Savnik ', ' Sam Siegenthaler ']",2013-01-04,The-James-Brown-Tribute-Show-2013,"['Hip', 'Hop', ""R'n'B""]",Zürich
"[' Brendan Wade ', ' Christian Fotsch ', ' Matthias Lincke ']",2013-01-04,Céol,"['world', 'music']",Zürich
['Delinquent Habits '],2013-01-04,Solothurn,"['Delinquent', 'Habits']",Kulturfabrik-Kofmehl
['Justin Vali Trio '],2013-01-04,Justin-Vali-Trio,"['world', 'music']",Frick
['Maria Doyle Kennedy '],2013-01-04,Thun,"['Maria', 'Doyle', 'Kennedy', '']",Mokka
['Smalltown Casanovas '],2013-01-04,Smalltown-Casanovas,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Bern
['The Jancee Pornick Casino '],2013-01-04,Solothurn,"['The', 'Jancee', 'Pornick', 'Casino']",Kulturfabrik-Kofmehl
[' André Desponds '],2013-01-05,Neujahrskonzert-2013,['Classic'],Winterthur
[' André Desponds '],2013-01-05,Go-West,['Classic'],Winterthur
"['Karl Raas ', ' Beatrice Rogger ']",2013-01-05,Konzert-zum-neuen-Jahr,['Classic'],null
"[' Fides Auf der Maur ', ' Patricia Draeger ', ' Sergej Simbirev ', ' Alex Cebanica ']",2013-01-05,Neujahrskonzert,['Classic'],Zürich
['Domenico Tagliente '],2013-01-05,Christus-una-mistica-poesia,['Classic'],Zürich
