location,event,date,artists,genre
Basel,Bachelorrezital,2014-06-23,[' Livia Berchtold '],Classic
Basel,Bachelorrezital,2014-06-23,[' Dalila Guzzi '],Classic
Basel,Masterrezital,2014-06-23,[' Sarah Gross '],Classic
Basel,Masterrezital,2014-06-23,[' Babak Mahmudian '],Classic
Basel,Masterrezital,2014-06-23,[' Christoph Herrmann '],Classic
Basel,Masterrezital,2014-06-23,[' Alexander Boeschoten '],Classic
Ascona,Jazz-Ascona,2014-06-23,"['The Duke Ellington Orchestra ', ' Blue Serenaders ', ' Breda Jazz Festival Band ', ' The Original Pinettes Brass Band ', ' New Breed Brass Band ', ' Gumbo Carioca feat. Denise Gordon ', ' Kermit Ruffins and The BBQ Swingers ']",
Zürich,Festspiele-Zürich-Liederabend,2014-06-23,"['Matthias Goerne ', ' Alexander Schmalcz ']",Classic
Basel,Masterrezital,2014-06-23,[' Carolina Rodríguez de Guzmán '],Classic
Basel,Masterrezital,2014-06-23,[' Katharina Heutjer '],Classic
Basel,Neue-Töne-aus-Lettland,2014-06-23,['Iveta Apkalna '],Classic
Zürich,Festspiele-Zürich-Chorkonzert-Zyklus-III,2014-06-23,"[' Yetzabel Arias Fernandez ', ' Maarten Engeltjes ', ' Tilman Lichdi ', ' Klaus Mertens ']",Classic
Basel,Oper-Avenir-Al-fine,2014-06-23,"['Kim-Lillian Strebel ', ' Nathalie Mittelbach ', ' Markus Nykänen ', ' Jason Cox ', ' Rolando Garza ', ' Andrew Murphy ']",Classic
Zürich,The-Brian-Jonestown-Massacre,2014-06-23,['The Brian Jonestown Massacre '],
null,Subrosa,2014-06-23,['Subrosa '],
Zürich,The-Brian-Jonestown-Massacre,2014-06-23,['The Brian Jonestown Massacre '],
Zürich,Hollis-Brown,2014-06-23,['Hollis Brown '],
Luzern,Bachelor-Progjekt-und-Masterabschluss-Konzert,2014-06-23,"[' Fränggi Gehrig ', ' Maria Gehrig ', ' Andreas Gabriel ', ' Andreas Ambühl ', ' Pirmin Huber ']",traditional
Basel,The-Dillinger-Escape-Plan,2014-06-23,"['The Dillinger Escape Plan ', ' Thy Art Is Murder ', ' Letlive ']",
