,place,src,address,location,canton,event,date,artists,genre,coordinates
0,None,EventsCh,None,Pontresina,GR,Neujahrskonzert,2013-01-03,['Vlad Weverbergh'],orchestral,"(46.4929957, 9.9024964)"
100,None,EventsCh,None,Basel,BS,Orgelspiel-zum-Feierabend,2013-01-11,['Helga Varadi'],orchestral,"(47.5595986, 7.5885761)"
200,None,EventsCh,None,Winterthur,ZH,New-Orleans-Soirée-Liquid-Land,2013-01-17,"['Aurora Nealand', 'Moose Jackson', 'Rob Cambre', 'Justin Peake', 'Christian Weber', 'Simon Berz']",orchestral,"(47.4988196, 8.7236889)"
300,None,EventsCh,None,None,None,Concert-à-la-russe,2013-01-20,"['Alexey Lavrentyev', 'Sergey Mushtakoff', 'Igor Morosow']",orchestral,"(46.6377269, 9.279877)"
400,None,EventsCh,None,Raddestorf,NDS,Winterthur,2013-01-26,['Edmauro de Oira'],,"(52.419677, 8.9157987)"
500,None,EventsCh,None,Lugano,TI,Concerti-Dell'auditorio-2013,2013-02-01,['Raphael Wallfisch'],orchestral,"(46.0036778, 8.951052)"
600,None,EventsCh,None,Basel,BS,Zosch,2013-02-07,['Zosch'],,"(47.5595986, 7.5885761)"
700,None,EventsCh,None,Basel,BS,Tuliaisia-2,2013-02-13,"['Marianne Racine-Granvik', 'Vera Kappeler']",,"(47.5595986, 7.5885761)"
800,None,EventsCh,None,Aarau,AG,The-Pharcyde,2013-02-16,['The Pharcyde'],hip hop,"(47.390434, 8.0457015)"
900,None,EventsCh,None,Basel,BS,Saturnalia-Temple,2013-02-22,"['Saturnalia Temple', 'Attic']",rock,"(47.5595986, 7.5885761)"
1000,None,EventsCh,None,Basel,BS,Basel,2013-02-26,['Lianne La Havas'],r&b and soul,"(47.563699, 7.591577)"
1100,None,EventsCh,None,Bern,BE,Patchwork,2013-03-01,['DJs Gilles Peterson'],,"(46.9479739, 7.4474468)"
1200,None,EventsCh,None,Zürich,ZH,Fuga-und-fantasia,2013-03-05,"['Eveleen Olsen', 'Annette Kappeler', 'Verena Zauner', 'Emanuel Schmelzer']",orchestral,"(47.3768866, 8.541694)"
1300,None,EventsCh,None,Aarburg,AG,Aarburg,2013-03-08,['Rudy Rotta'],rock,"(47.3201994, 7.9071709)"
1400,None,EventsCh,None,Solothurn,SO,Solothurn,2013-03-11,['Stevie Cochran'],,"(47.200528, 7.528306)"
1500,None,EventsCh,None,Basel,BS,Orgelspiel-zum-Feierabend,2013-03-15,['Aurore Baal'],orchestral,"(47.5595986, 7.5885761)"
1600,None,EventsCh,None,None,None,Rockabilly-Party-Show,2013-03-16,['DJ Super Sam'],electronic,"(46.6377269, 9.279877)"
1700,None,EventsCh,None,Basel,BS,Maximilian-Hecker,2013-03-20,['Maximilian Hecker'],folk,"(47.5595986, 7.5885761)"
1800,None,EventsCh,None,Lucerne,LU,Piano-Entertainment-Blue-Soul-&-Me,2013-03-23,['Mark Tenger'],pop,"(47.0501682, 8.3093072)"
1900,None,EventsCh,None,Zürich,ZH,Egyptian-Hip-Hop,2013-03-26,['Egyptian Hip Hop'],hip hop,"(47.3768866, 8.541694)"
2000,None,EventsCh,None,Zürich,ZH,Lucien-Dubuis-Trio,2013-03-29,"['Lucien Dubuis', 'Roman Nowka', 'Lionel Friedli']",,"(47.3768866, 8.541694)"
2100,None,EventsCh,None,Langenthal,BE,Schuler,2013-04-03,"['Luzius Schuler', 'Vincent Ruiz del Portal', 'Jonas Ruther']",,"(47.2120786, 7.7905623)"
2200,None,EventsCh,None,Bern,BE,Banana-Hunters,2013-04-06,"['Renate Scheurer', 'Daminic Montandon', 'Thomas Gasser', 'Micha Held', 'Marcel Jeker', 'Lukas Wiese', 'Christian Dilier', 'Simon Vögeli']",,"(46.9479739, 7.4474468)"
2300,None,EventsCh,None,None,None,Roger-Glaus-Trio,2013-04-10,"['Roger Glaus', 'Sandro Heule', 'Mario Söldi']",,"(46.6377269, 9.279877)"
2400,None,EventsCh,None,Winterthur,ZH,The-Outer-String-Quartet-,2013-04-12,"['Werner Hasler', 'Katryn Hasler', 'Carlo Niederhauser', 'Julian Sartorius']",,"(47.4988196, 8.7236889)"
2500,None,EventsCh,None,Stans,NW,Stanser-Musiktage,2013-04-14,"['Helena Rüegg', 'Michel Godard', 'Quique Sinesi']",orchestral,"(46.9571926, 8.3659672)"
2600,None,EventsCh,None,Basel,BS,Donat-Fisch-Quartet,2013-04-18,"['Donat Fisch', 'Andy Scherrer', 'Bänz Oester', 'Norbert Pfammatter']",,"(47.5595986, 7.5885761)"
2700,None,EventsCh,None,Bern,BE,Internationales-Jazzfestival-Bern,2013-04-20,"[""Monty Alexander's Triple Treat"", 'Monty Alexander', 'Russell Malone', 'Hassan Shakur', 'Frits Landesbergen']",jazz,"(46.9479739, 7.4474468)"
2800,None,EventsCh,None,Zürich,ZH,Chuck-Prophet,2013-04-22,['Chuck Prophet'],rock,"(47.3768866, 8.541694)"
2900,None,EventsCh,None,Basel,BS,Alfatec,2013-04-25,['Alfatec'],rock,"(47.5595986, 7.5885761)"
3000,None,EventsCh,None,Basel,BS,That's-It,2013-04-27,"['DJs Dot', 'D-Fyne']",,"(47.5595986, 7.5885761)"
3100,None,EventsCh,None,Zürich,ZH,Chris-Ayer,2013-05-02,"['Chris Ayer', 'Matt Simons']",unknown,"(47.3768866, 8.541694)"
3200,None,EventsCh,None,None,None,Jamsound-Connection,2013-05-04,"['Heartical Sound', 'Asher Selector', 'Little Lion Sound & Agent N', 'Prince Keman', 'Supanova Sound']",,"(46.6377269, 9.279877)"
3300,None,EventsCh,None,Zürich,ZH,Orientpearl,2013-05-08,['DJs Burak Yeter'],,"(47.3768866, 8.541694)"
3400,None,EventsCh,None,Zürich,ZH,Zürich,2013-05-11,"['Jay Messerli', 'Michi Finger', 'Luk Kipfer', 'Rease Nydegger', 'Raly Scheuing', 'Dominik Grossenbacher']",,"(47.3794699, 8.5271978)"
3500,None,EventsCh,None,Zürich,ZH,Thursday-Night-Jazz,2013-05-16,"['Rebecca Spiteri', 'Jürg Ramspeck', 'Joel Reiff', 'Rolf Lyssy']",,"(47.3768866, 8.541694)"
3600,None,EventsCh,None,Zürich,ZH,Ari,2013-05-18,"['Aaron Wegmann', 'Seraphim von Werra']",pop,"(47.3768866, 8.541694)"
3700,None,EventsCh,None,Bern,BE,Internationales-Jazzfestival-Bern,2013-05-23,"[""Dave Samuels' Caribbean Jazz Project"", 'Dave Samuels', 'Oscar Feldman', 'Ruben Rodriguez', 'Vince Cherico', 'Arturo Stable']",latin,"(46.9479739, 7.4474468)"
3800,None,EventsCh,None,Lucerne,LU,Weak-Fishes,2013-05-25,['Weak Fishes'],,"(47.0501682, 8.3093072)"
3900,None,EventsCh,None,Lucerne,LU,Blue-Soul-&-Me,2013-05-29,['Mark Tenger'],pop,"(47.0501682, 8.3093072)"
4000,None,EventsCh,None,Zürich,ZH,Outside-In-Music-Festival,2013-06-01,['Orchestre Miniature In The Park'],pop,"(47.3768866, 8.541694)"
4100,None,EventsCh,None,Lucerne,LU,Kammerkonzert-Four-Pieces,2013-06-06,"['Daniela Müller', 'Petra Ackermann', 'Martin Jaggi', 'Tamriko Kordzaia']",orchestral,"(47.0501682, 8.3093072)"
4200,None,EventsCh,None,Rapperswil-Jona,SG,Musik-im-Schloss-VI,2013-06-09,['Goran Kovacevic'],orchestral,"(47.2266239, 8.8184374)"
4300,None,EventsCh,None,Basel,BS,Masterrezital,2013-06-13,['Arend Grosfeld'],orchestral,"(47.5595986, 7.5885761)"
