	[]
& Special Guests	[]
&ME	['alternative metal', 'metalcore', 'pixie', 'pop punk', 'screamo', 'alternative metal', 'metalcore', 'pixie', 'pop punk', 'screamo', 'alternative metal', 'metalcore', 'pixie', 'pop punk', 'screamo']
0000  0100 Pascal Tokar	[]
0000  0145 Pig & Dan	[]
0000 Andrea Oliva	[]
00010300  Bjorn Born DJ	[]
0015  0130 Rico Rausch b2b Der Dirigent	[]
0015 Kollektiv Turmstrasse	[]
0030  0200 Darsen	[]
0030  0230 La FÃÂ©e Verte	[]
0030  0230 La FÃ©e Verte	[]
0030  0230 La Fée Verte	[]
0045 Guy Gerber	[]
00h ENDt	[]
00h00  02h00tDJ Dub	[]
00h0002h00 Emmat	[]
00h30  02h30 Dandy & Trony	[]
0100  0200 Nick Berola & Daniro	[]
0100  0300 Chris Liebing	[]
0100  0300 Schwarzes Gold	[]
0100  End Kombé & Mafou	[]
0130  0330 Agonis	[]
0130  0330 Ellen Allien	[]
0130  0430 DJ Rush	[]
0130  end Luna City Express	[]
0130 AKA AKA feat Thalstroem	[]
0140 Dandi & Ugo	[]
0145  0330 Sascha Braemer	[]
01h0003h00 Bruno Pronsato	[]
01h30  Oxensa	[]
0200  0300 Dilly Noises	[]
0200  0400 Steve Angello	[]
02192016	[]
02202016	[]
0230  0500 Valentino	[]
0230 Carl Cox	[]
02h00  04h30tPhly	[]
02h0004h45 Franco Cinelli	[]
02h30  05h00 Pasci	[]
02h30  Hobo	[]
0300  0400 Robert Tune	[]
0300  0500 Lars Lindenberg	[]
0300  0500 Len Faki	[]
0300 FormatB	[]
03000500  Limic aka Lio M	[]
0320 Torsten Kanzler	[]
0330  0430 Lexy & KPaul	[]
0330  0515 Catz N Dogz	[]
0330  0600	[]
0330  End Jeff Mills	[]
03h0004h45 Jacqui	[]
03h30  Damian Deroma	[]
0400  0500 Dave202	[]
0400  0500 Mr LuWi	[]
0430  0530 Edelstahl	[]
0430  0530 Manon	[]
0430 Animal Trainer	[]
0430 Len Faki	[]
0500  0630 Felix Kröcher	[]
0500  Ende Jan B	[]
0500 Darrien	[]
0515  0630 Klaudia Gawlas	[]
0530  0630 BMG	[]
0530  Ende Fredy S	[]
05h00  08h00 Fabien	[]
08h00  10h00 Frango	[]
10h00  11h30tDandy & Trony	[]
10h00 11h30tVoltmar	[]
11h30  13h30tBertel Gee	[]
11h30  13h30tProfondo	[]
12h00  13h30 Simon Effect	[]
1300  1345 Niclas	[]
1300  1400 DJ Noise	[]
1300  1400 Stefano	[]
1300  1400 The Sexinvaders	[]
1300  1430 Solomun	[]
1300 Dj Phala	[]
13001400 Aly & Fila	[]
13001400 Tin Man	[]
13001430 FEGAcrew live	[]
13002400 coming soon	[]
1345  1430 Klangallianz	[]
13h30  15h00 Mia Kaltes	[]
13h30  15h00tDjerry C	[]
13h30  15h30tVolta	[]
1400  1500 Reto Ardour	[]
1400  1530 Giuseppe Ottaviani	[]
1400  1530 Steve Angello	[]
1400 Dj Cruz	[]
14001500 Dr Kahn	[]
14001500 Sander van Doorn	[]
1430  1515 Trisha	[]
1430  1600 Stimming	[]
14301500 DJ Mastra	[]
1500  1600 Smash FX	[]
1500 Johnny Roxx	[]
15001600 Commix	[]
15001600 DJ Andrew	[]
15001600 Silex	[]
1515  1600 Sobuth & Weiss	[]
1530  1700 Jennifer Rene	[]
1530  1700 Yves La Rock	[]
15h00  16h30 Marco da Mata and Matthew LIVE	[]
15h00  17h00tEurokai	[]
15h30  16h30tVan Hai	[]
1600  1645 Ida	[]
1600  1700 Muri	[]
1600  1730 Turntablerocker	[]
1600 Mr DaNos	[]
16001700 James Zabiela & Nic Fanciulli	[]
16001700 Nader	[]
16001700 Zodiak	[]
1645  1730 Chris Mono	[]
16h30  18h00 dAN from Bern & Steffi SoWeso	[]
16h30  18h00tDani Casarano	[]
1700  1800 Marco Berto	[]
1700  1815 Felix Kröcher	[]
1700  1830 Kyau & Albert	[]
1700 Requiem 4 Dj Energy	[]
17001800 Perry O Neil	[]
17001800 Pixelpunks	[]
1730  1815 Mismo	[]
1730  1830 Ryan Riot	[]
17h00  18h30tHorizontal Vertikal	[]
1800  1900 Le Noir	[]
1800 Adam B	[]
18001900 DJ Remy	[]
18001930 Audioporno liveDJ Set	[]
18002130 Love Mobiles	[]
1815  1900 OGee	[]
1815  1930 TV	[]
1830  1930 DJ JayBase	[]
1830  2000 DJ Dream	[]
18h00  19h00 Matija	[]
18h00  20h00tAjele	[]
18h30  20h00tNils	[]
1900  1930 Swiss Track	[]
1900  2000 Mas Ricardo	[]
1900 Tanja La Croix	[]
19002000 Sander Kleinenberg	[]
1930  2030 Franco Bianco	[]
1930  2030 Round Table Knights	[]
1930  2100 Martin Solveig	[]
19302030 Markese live	[]
19h00  21h00 Plastic FM LIVE	[]
2 FLOORS	[]
20 minutes live Szene	[]
20 years Root Down  Compost Records feat	[]
2000  2100 Turntable Babes	[]
2000  2200 Dave 202	[]
2000 GL Everest	[]
2000 and One	['ambient', 'techno', 'hip hop', 'techno', 'house music', 'house music', 'disco', 'house music', 'rap', 'hip hop']
20002130 Markus Schulz	[]
2030	[]
2030  2115 Ponybomb	[]
2030  2130 Einzelkind	[]
20302100 Beda	[]
20h00  21h30tAndri	[]
20h00 22hh00tSonja Moonear	[]
2100  2200 DJ Gogo	[]
2100  2200 Marloti	[]
2100  2230 Sebastian Ingrosso	[]
21002200 RegionalLiga	[]
2115  2215 RegionalLiga	[]
2130  2230 Lexy & K Paul	[]
2130 Sir Collin	[]
21302215 TurntableBabes	[]
21302230 Richie Hawtin b2b Magda	[]
21h00  23h00 Don Ramon	[]
21h30  23h30tValentino	[]
2200  0030 Max Nero	[]
2200  0630 Various Chill Out DJs	[]
2200  2230 DBMM	[]
2200  2230 Merik & GStone	[]
2200  2245 Sergio Trillini	[]
2200  2300 Maximizerz	[]
2200  2300 Rene S	[]
2200  2400 ALY & FLYA	[]
2200 Dejan	[]
2200 Del Sol	[]
2200 Sergio Trillini	[]
22002300 Monoblock B live	[]
2215  2315 Starshiptroopers	[]
2215 Stefano Noferini	[]
22152400 Smash FX	[]
2230  0000 Nils Hoffmann	[]
2230  2330 Smalltown Collective	[]
2230  2400 Jerome IsmaAe	[]
2230  2400 Paul Van Dyk	[]
22302400 Paul Van Dyk	[]
2245  2345 DJerry C	[]
2245 Avesta	[]
22h00  00h30 Mia Kaltes	[]
22h0000h00 Pandallougi	[]
22h0001h00 Felipe Acevedo	[]
22h2h	[]
22h30 ENDt	[]
2300  0000 RoMix	[]
2300  0015 Felipe&Gusto	[]
2300  0030 Daniro & Nick Berola	[]
2300  0130 Jamie Shar	[]
2300  0130 Mary C Jane	[]
2300  2400 Danie König & Tom Novy	[]
2300 Djerry C	[]
23000100  Pedro Andrade	[]
23002400 Silvercity Bob	[]
2315  2400 Johnny RoxxBildstörung	[]
2315 KlangfabriK	[]
2330  0100 Klangkarussell	[]
2330 Marek Hemmann	[]
2345  0130 Wankelmut	[]
23h00  PhNeutre	[]
23h05h00	[]
25 years Ninja Tune feat	[]
2TAKT	[]
2nd Floor	[]
3024WASHINGTON	[]
3Some	[]
451	[]
4Line	[]
4am  Schwarzlicht  Elos & Vegas  Schwendix  Kyle Kyl	[]
5 h Set	[]
808 State	['house music', 'breakbeat', 'breakbeat', 'house music', 'techno', 'electronic', 'hardcore', 'house music', 'intelligent dance music', 'madchester', 'techno', 'house music', 'breakbeat', 'breakbeat', 'house music', 'techno', 'electronic', 'hardcore', 'house music', 'intelligent dance music', 'madchester', 'techno', 'house music', 'breakbeat', 'breakbeat', 'house music', 'techno', 'electronic', 'hardcore', 'house music', 'intelligent dance music', 'madchester', 'techno']
8Bit	[]
900000Y	[]
A	['trap', 'rap', 'trap', 'trap', 'rap', 'trap', 'trap', 'rap', 'trap']
A&F	[]
ACIDHAT	[]
ACOMA & MARCELINHO and his congas Groove Technology  Drifters  Freiburg	[]
ADRIANO live bern	[]
ADVA  Playground	[]
AFTER GRAUER	[]
AFTER HOUR bis 1200	[]
AFTER PARTY  01H00  05H00	[]
AFTERPARTY  Alte Kaserne	[]
AKA AKA feat Thalstroem	[]
AKN & DITEK	[]
AKN & Ditek	[]
AKN and Ditek	[]
AKSHAN	['ambient', 'ambient', 'ambient']
ALEXI	['acoustic pop', 'pop', 'folk christmas', 'folk', 'christmas', 'indie', 'indie', 'neo mellow', 'pop', 'singer-songwriter', 'stomp and holler', 'acoustic pop', 'pop', 'folk christmas', 'folk', 'christmas', 'indie', 'indie', 'neo mellow', 'pop', 'singer-songwriter', 'stomp and holler', 'acoustic pop', 'pop', 'folk christmas', 'folk', 'christmas', 'indie', 'indie', 'neo mellow', 'pop', 'singer-songwriter', 'stomp and holler']
ALLABY	[]
AN Aka Alexandre Navarro	[]
ANDRI LIVE	[]
ANDRI Live  Cityfox  Highgrade Zürich	[]
ANDRI live Highgrade Records  Cityfox  Zürich	[]
ANDROMEDA CIRCUS	[]
ANDRÃÂS GARCÃÂA	[]
ANDRÃS GARCÃA	[]
ANDRÈS GARCÌA	[]
ANDY GUHL	[]
ANFS	[]
ANIMARILYS	[]
AOIDE	[]
AOKI takamasa	['idm', 'ambient', 'rap', 'idm', 'ambient', 'idm', 'ambient']
APaul	['techno', 're:techno', 'techno', 're:techno', 'techno', 're:techno']
ARMONIX	[]
ARNIKA	[]
ART MAILLE	[]
ART&WEISE	[]
ARTISAN	[]
ASI	['flamenco', 'spanish pop', 'flamenco', 'spanish pop', 'flamenco', 'spanish pop']
ASM	[]
ASSH	[]
AST & KLAUDIJA GROOVIN GOLIC	[]
ASURA	['ambient', 'new tribe', 'trance music', 'psychill', 'disco', 'rap', 'ambient', 'new tribe', 'trance music', 'psychill', 'ambient', 'new tribe', 'trance music', 'psychill']
AT	['emo', 'pop punk', 'vegas indie', 'emo', 'pop punk', 'vegas indie', 'emo', 'pop punk', 'vegas indie']
ATA	['house music', 'techno', 'techno', 'house music', 'hip hop']
ATOMITA	[]
AURELIO DE MARSICO	[]
AUSTRIA	[]
AUT	[]
Aaah Club	[]
Ab 2300  18 Jahren	[]
Abelle ARMA17  Moskau	[]
About Paula	[]
Abyssinie Club	[]
