	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	25492	 Albani Music Club	Steinberggasse 16	888454	Friede Freude Freitag with Hraach	 28 October 2016 	['Timowood.TV', 'Luca Gerosa', 'Hraach (L.E.T Valencia)']
1	25492	 Albani Music Club	Steinberggasse 16	876420	3 Jahre Friede Freude Freitag with Britta Arnold	 30 September 2016 	['', 'Britta Arnold (Katermukke Berlin)', 'ARTISAN', 'Visuals vom Timowood.TV', 'JONES b2b LEFTHAND (Mucke & Tanz)']
2	25492	 Albani Music Club	Steinberggasse 16	881301	Sommernacht (Winterthur)	 05 August 2016 	['', 'Susie Star', 'Marco Tegui']
3	25492	 Albani Music Club	Steinberggasse 16	838856	Friede Freude Summerclosing with Ezikiel & Alci	 27 May 2016 	['Ezikiel (Cadenza', ' Unite Family)', 'Burt Cobain', 'Alci (Apollonia)']
4	25492	 Albani Music Club	Steinberggasse 16	824783	Friede Freude Freitag with Honoree	 29 April 2016 	['Honoree (Nordstern Basel)', '', 'LUCA GEROSA (FFF Family)', 'MALBEC']
5	25492	 Albani Music Club	Steinberggasse 16	827309	Freinacht	 15 April 2016 	[' Am Khamsaa', 'Francesco De Bellis']
6	25492	 Albani Music Club	Steinberggasse 16	814891	Friede Freude Freitag - Ostertanz	 25 March 2016 	['Dave Lozano (FFF Family)', 'Pasci (Friedas Büxe)', 'Christian Schiemann (Les Enfants Terribles)', 'Timowood.TV']
7	25492	 Albani Music Club	Steinberggasse 16	805131	Friede Freude Freitag - Februartanz	 26 February 2016 	['Timoteo (Du & Ich / Les Enfants Terribles)', 'Beez & Simo (Grundton / Hangar 11)', 'Meikel (Birdz ZH)', 'Timowood.TV (Deko & Visuals)']
8	25492	 Albani Music Club	Steinberggasse 16	790103	Friede Freude Freitag w/ Matija	 29 January 2016 	"[""MALEKO'S BEUTEL (Das House)"", 'TIMWOOD.TV (Deko & Visuals)', 'Dario La Mazza (Licht im Dunkel)', 'MATIJA (Kiste)']"
9	25492	 Albani Music Club	Steinberggasse 16	773349	Friede Freude Freitag with Alex Dallas	 27 November 2015 	['Luca Gerosa (Friede Freude Freitag)', 'Alex Dallas (Drumpoet / Zukunft ZH)']
10	25492	 Albani Music Club	Steinberggasse 16	762466	Friede Freude Freitag mit Jimi Jules	 30 October 2015 	['Berber & Pasta ', 'Timowood.TV', 'Jimi Jules ']
11	25492	 Albani Music Club	Steinberggasse 16	749845	2 Jahre Friede Freude Freitag with Dejan b2b Markus Lindner	 25 September 2015 	['Intro by ATA (Gute)', 'Dejan (Cityfox) b2b Markus Lindner (Stadtpark Musik) - 4 h Set']
12	25492	 Albani Music Club	Steinberggasse 16	708540	Friede Freude Freitag Summerclosing	 29 May 2015 	['THE TOYBOYS', 'Kyrill & Redford', 'TIMOWOOD.TV', 'Selim & Armin ']
13	25492	 Albani Music Club	Steinberggasse 16	702758	Friede Freude Freitag with Einzig & Faerber	 24 April 2015 	['Einzig & Faerber (Hive Audio / Miteinander Musik) - 3', 'Luca Gerosa (FFF Family)', ' 5 h Set', 'Timowood.TV']
14	25492	 Albani Music Club	Steinberggasse 16	694369	Friede Freude Freitag with Juen & Bach	 27 March 2015 	['Juen & Bach (SANKT / Café Gold)', 'POSSA (Memory Lapse)', 'FABRI (musiq / Billy the Kid)', 'TIMOWOOD.TV']
15	25492	 Albani Music Club	Steinberggasse 16	683711	Friede Freude Freitag mit Rozzo	 27 February 2015 	['Berber & Pasta', 'Beez & Simo (Grundton)', 'Rozzo (The Mountain People)']
16	25492	 Albani Music Club	Steinberggasse 16	670365	Friede Freude Freitag with Jimi Jules	 30 January 2015 	['Jimi Jules', 'TIMOWOOD.TV', 'LUCA GEROSA ']
17	25492	 Albani Music Club	Steinberggasse 16	661278	Friede Freude Freitag - Christmas Special with Alci	 26 December 2014 	"['', 'https://www.facebook.com/TIMOWOODtv?fref=ts', 'Alci (Robsoul Recordings / InFuse London)', 'TIMOWOOD.TV - Visuals & Deko!', ""MALEKO'S BEUTEL"", 'TOYBOYS (Feine Musik)', 'FELIX FOSSIL (Recycle Records)', 'GINO - Special 3 h Christmas Intro Set!']"
18	25492	 Albani Music Club	Steinberggasse 16	652471	Friede Freude Freitag with Gianni Callipari	 28 November 2014 	['BERBER & PASTA', 'TIMOWOOD.TV', 'ARNIKA', ' Cadenza Music)', 'Gianni Callipari (Just Like That']
19	25492	 Albani Music Club	Steinberggasse 16	641509	Friede Freude Freitag with Beda	 31 October 2014 	['Beda', 'Low.Tales', 'Hug & Schiemann']
20	25492	 Albani Music Club	Steinberggasse 16	627340	1 Jahr Friede Freude Freitag with Adriatique	 26 September 2014 	['Adriatique ']
21	25492	 Albani Music Club	Steinberggasse 16	572697	Friede Freude Freitag	 30 May 2014 	['MONSIEUR MELANGE b2b KORNY', 'Benja', 'Marco Berto']
22	25492	 Albani Music Club	Steinberggasse 16	585358	Friede Freude Freitag with Timoteo b2b Ra.Pu b2b Nekow	 25 April 2014 	['RA.PU & Nekow', '', 'BERNARDO & LOZANO', 'Timoteo']
23	25492	 Albani Music Club	Steinberggasse 16	584307	Groove	 04 April 2014 	['', 'David Suivez (Yolo Yoga', 'Casimir von Oettingen (Hommage/ Chalalit', ' Berlin)', ' ZH)', 'Buoyancy (Groove)']
24	25492	 Albani Music Club	Steinberggasse 16	576456	Friede Freude Freitag mit Pasci	 28 March 2014 	"['', ""PASCI (Frieda's Büxe)"", 'BERBER & PASTA (FFF Family) ', 'HERMANSSON & MARTINEZ']"
25	25492	 Albani Music Club	Steinberggasse 16	560567	Friede Freude Freitag with Miguel b2b Pazkal	 28 February 2014 	['Sebastian Eduardo (Das House)', 'Pazkal (Moodmusic', ' Smalltown Collective)', 'Miguel (Plastic City Rec.', ' Licht im Dunkel)', 'Cherosa (FFF Family)']
26	25492	 Albani Music Club	Steinberggasse 16	553034	Friede Freude Freitag mit Ezikiel & Alci	 31 January 2014 	['BERBER & PASTA (FFF Residents)', 'Ezikiel (DekaDance)', 'Alci (Robsoul Rec.)', 'Timowood.TV']
27	25492	 Albani Music Club	Steinberggasse 16	544840	Friede Freude Freitag	 27 December 2013 	"['Polonium 88 b2b Tonga aka Toyboys', 'Bang Goes', ""Maleko's Beutel"", 'Elvis Cassetta']"
28	25492	 Albani Music Club	Steinberggasse 16	534543	Friede Freude Freitag with Sandro Kühne b2b Marco Trinkler	 29 November 2013 	['', ' glas.raum)', 'Cherosa (FFF Resident)', 'Timowood.TV', 'Beez & Simo (Happy Family)', 'Sandro Kühne b2b Marco Trinkler (Sunday Breakfast']
29	25492	 Albani Music Club	Steinberggasse 16	526138	Friede Freude Freitag	 25 October 2013 	['Deneha (Hive Audio)', 'Berber & Pasta', 'David Lozano', 'Styro2000 (Galoppierende Zuversicht)']
30	25492	 Albani Music Club	Steinberggasse 16	518765	Friede Freude Freitag	 27 September 2013 	"[""MALEKO'S BEUTEL (Das House)"", 'BERBER & PASTA (FFF)', 'Pazkal (Licht im Dunkel)', 'Manon (Desolat)']"
31	25492	 Albani Music Club	Steinberggasse 16	140506	Electromat	 12 February 2010 	['JOHAN MÖVE', ' SOMEAIR']
