	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	895233	Electro Swing Night	 28 October 2016 	['River Ist Lieb ', 'Louis De Fumer', 'Don Pino ']
1	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	883313	Matinée Closing Party	 15 October 2016 	['Ambient P. (Pino Music)', 'Giuseppe Russo (Pino Music)', 'Taylor Cruz (Queerplanet) ', 'Lydia Sanz (Spain)']
2	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	885962	Swing'n'gipsy	 08 October 2016 	['Supprt DJs: ', '- Don Pino (Electro Swing Zürich) ', 'Live in Concert: Los Yukas', '- Wittwe Meier & Dörte (No Name Productions) ']
3	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	872016	Electric Zone with Oliver Huntemann & Dubspeeka	 30 September 2016 	[' Dubspeeka', ' Defect X', ' ME & her', 'Oliver Huntemann']
4	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	843593	Electro Swing Night 	 24 June 2016 	['', 'Dennis Bader (Independent) ', 'Don Pino (Electro Swing Zürich) ', 'Ben Murphy (Independent) ']
5	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	843751	Prince Night	 17 June 2016 	['SIR JOE']
6	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	843584	Burlesque Night with Dirty Honkers	 04 June 2016 	['DIRTY HONKERS', 'Tristan Bohn', 'River Ist Böse']
7	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	843598	Jam Session	 02 June 2016 	[' You', 'You']
8	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	781845	Iono Music 10 Year Anniversary / Zurich	 09 April 2016 	['', 'Protonica', 'Static Movement', 'Bouncerz', 'Cubixx', 'Saltaux', 'Egorythmia', 'E-Clip', 'Jensson', 'Live', 'Side Effects', 'Time In Motion', 'Profiler', 'Dj']
9	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	809457	Naturklang in der Stadt	 19 March 2016 	['', 'Dasha Redkina [ARMA17 - Moskau]', 'Naturklang zurück mitten in der Stadt!!', 'Vera [Perlon - Berlin]', 'Abelle [ARMA17 - Moskau]', 'Patrischa [Naturklang - Zurich]', 'Ajele [Naturklang - Zurich]', 'Vanita [Hive - Zurich]']
10	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	786727	Guesthouse Berlin	 04 March 2016 	['Vanita (Hive/Rave of Love)', 'Joshua Jesse (Katermukke)', 'Jan Oberlaender (Katermukke)', 'Coss (Dantze/Metanoia)']
11	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	799796	Guesthouse Berlin	 04 March 2016 	['Jan Oberlaender (Katermukke)', 'Coss (Dantze / Metanoia)', 'Vanita (Hive / Rave of Love)', 'Joshua Jesse (Katermukke)\x10']
12	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	794532	Caravan Circus	 27 February 2016 	['Live: The Bullet', ' Nils Fraser', ' Four Disturbed Civilians', 'DJs: Louis De Fumer', ' River Ist Böse', ' Gion Gruenberg ']
13	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	765567	Rave Reunion	 06 February 2016 	['Anyken', 'Mellow D', 'Phrenetic', 'Taucher', 'Ruben Shidozukuto']
14	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	794435	Electro Swing Night	 05 February 2016 	['Louis de Fumer']
15	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	765526	Flexx Booom	 31 December 2015 	['Ambient P.', 'Lego', 'Max Del Principe']
16	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	765518	Free To Love X-mas Edition	 19 December 2015 	"['Ambient P', 'Bobby Bella', ""Sharon O'Love""]"
17	52726	 Alte Kaserne	Kanonengasse 16; 8004, Zürich	765489	The Club Reunion	 12 December 2015 	"['Rolf Imhof', 'Whiteside', 'Kurt ""Curtis"" Kienle']"
