	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	12692	 Queen Kong Club	2000, Neuchatel	833809	Psycho Weazel Vous Invite à Table Avec Braunbeck	 04 May 2016 	['Braunbeck', ' PSYCHO WEAZEL']
1	12692	 Queen Kong Club	2000, Neuchatel	411982	Tomorrow Is Today presents: Badklaat	 27 October 2012 	['', 'X BADKLAAT (GLOUCESTER', ' CH)', 'http://soundcloud.com/mr-pigman', ' UK) Dubstar/Bassclash', ' CH) Tomorrow Is Today', 'X MR.PIGMAN (BIENNE', 'X DUBDAVE (BIENNE']
2	12692	 Queen Kong Club	2000, Neuchatel	373645	Deep Grooves	 06 June 2012 	['Konpiuta Live (Igloo', 'Lee-O (Freitag Limited) ', 'Tive (Freitag Limited)', 'David Fjörgenson Live (Finefood)', ' Finefood', ' 237)']
3	12692	 Queen Kong Club	2000, Neuchatel	374351	Deep Grooves	 29 May 2012 	['Konpiuta (Igloo', ' Finefood', 'TIVE (Freitag Limited)', 'David Fjörgenson (Finefood)', ' 237 Family)', 'Lee-O (Freitag Limited) http://www.residentadvisor.net/profile/djlee-o']
4	12692	 Queen Kong Club	2000, Neuchatel	263142	Summertime	 18 June 2011 	['Crowdpleaser', 'LUDOVIC B', 'SUPERMAFIA (visuals)', 'LUFT']
5	12692	 Queen Kong Club	2000, Neuchatel	254311	Addison Groove Live at Bass Vandalizm #10	 07 May 2011 	['Zenit / Faust / Raphallus (Bass Vandalizm / CH)', 'T. Williams (Deep Teknologi / London / UK)', 'Addison Groove (Live / Bristol UK)']
6	12692	 Queen Kong Club	2000, Neuchatel	257132	Creaked Records presents Joe Galen, Consor & Julien Aubert	 06 May 2011 	['Consor  (live)', 'CASQUE - (dj set)', 'Julien Aubert  (live)', 'JOE GALEN  (live)']
7	12692	 Queen Kong Club	2000, Neuchatel	240079	Dope Crackers Tour	 15 April 2011 	[' Nik! dj', ' .Suffix visuals', ' Feldermelder  (live)', 'Bit-Tuner  (live)']
8	12692	 Queen Kong Club	2000, Neuchatel	200576	Club Dj	 06 November 2010 	['Vacintosh', 'Beats On Demand', 'West D']
9	12692	 Queen Kong Club	2000, Neuchatel	121353	December 25th	 25 December 2009 	['Dunwich (Autist/4line/Fr) (dj set) @ Interlope.']
10	12692	 Queen Kong Club	2000, Neuchatel	64325	Minishake W Jacqui, Fred (34m2), Custom Tea (Minstate, Berlin, De)	 27 September 2008 	[' Grnd lop prod.', ' DE)', 'Fred (34m2)', ' ', 'Jacqui', ' Toppaz / Berlin', 'Custom Tea (Minstate']
