	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	505283	Saxo Afterhours! Rave Marathon	 28 July 2013 	['Sandro Falletta | Colludo rec. | Salidamusic', 'Dalibox | MinimalFraktion | Salidamusic']
1	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	474796	Saxo Afterhours! Rave Marathon	 21 April 2013 	['', 'Sandro Falletta | Colludo rec. | Salidamusic', 'Dalibox | MinimalFraktion | Salidamusic']
2	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	460681	Saxo Afterhours! Rave Marathon	 09 March 2013 	['Dalibox (MinimalFraktion', ' Salidamusic)', ' Salidamusic', 'Sandro Falletta (Colludo rec.']
3	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	460676	Lokalisten Morgestraiich Edition	 17 February 2013 	['Dalibox & Sandro Falletta', 'elex morano & sandro s.', 'deep bros', 'daniele zaccone', 'danielson & norbert.to', 'tanzsubstanz', 'Mike & Nika']
4	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	460670	Saxo Afterhours	 02 February 2013 	['Dalibox (MinimalFraktion', ' Salidamusic)', 'Sandro Falletta (Colludo rec.']
5	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	443350	Conaction - Afterhours	 10 June 2012 	['Francesco Ballato', 'Dalibox']
6	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	261166	Afterhour with Junksound	 29 May 2011 	['Baschgi Schuub', 'I-Tee', 'Dominik Auderset', 'Scody live']
7	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	195014	Afterhours	 03 December 2010 	['Tuncay Celik']
8	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	188996	Japan Meets Argentina with Franco Bianco, Martin Huergo and Iori Wakasa	 29 October 2010 	['Franco Bianco', ' Martin Huergo', ' Iori Wakasa']
9	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	182313	Tuncay Celik	 03 September 2010 	['Tuncay Celik', 'and Guest']
10	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	118343	Afterhours	 31 October 2009 	['Fran-G and Bee Lincoln!']
11	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	119345	Wiedereröffnung Saxophon	 03 October 2009 	['Margaret Dygas', 'Miss Peel', 'Herzschwester']
12	17343	 Saxophon Music Bar	Theaterstrasse 4; 4051, Basel	93565	French Conection Night at Saxophon	 30 April 2009 	[' Mr Pablo & guests.', 'DJ Sixxxx']
