	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	646930	6 Years of Bleimagnet with Philipp Ort (Wiggle, Fabric London)	 25 October 2014 	"['WOLF (Bleimagnet) ', 'Volkan Ocak ""Official"" (Bassport Olten)', 'Noromal & Durdek (Bleimagnet)', 'Philipp Ort (Wiggle', ' Fabric London)']"
1	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	626700	Techno Anniversary with Andrey Pushkarev	 05 September 2014 	['', 'JORDAN & ASLAN.KAN (Schlaflos Aarau / GDS.FM )', 'To:Be (Luege Lose Tanze)', 'Noromal ( Bleimagnet / Bassport )', 'Durdek ( Bleimagnet / Bassport )', 'Mickail ( Kleinstadt Material )', 'Dario Todorovic (Mund Zu Mund)', 'Andrey Pushkarev ( Endless', 'Nenad J ( Moskow Diskow )', 'CLAUDIO ( Bassport )', ' Circus Company )']
2	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	517151	Bleimagnet - 5 Years - with Andrey Pushkarev	 26 October 2013 	['Andrey Pushkarev (Circus Company / Endless / Moskau)', 'Noromal (SunSun / Bassport Terminus Olten)', 'Durdek ( Bleimagnet / Bassport Terminus Olten)', 'Kubin (RegioRave Olten)']
3	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	512073	En Profondeur	 13 September 2013 	['https://www.facebook.com/bassportcheckin?fref=ts', 'Durdek ( Bleimagnet / Bassport Terminus Olten)', 'Noromal (SunSun / Bassport Terminus Olten)', 'Jan Penarrubia b2b Mike Teixeira (Sirion / Offmind Bern)']
4	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	470394	Bleimagnet (Sun:Sun Showcase)	 04 May 2013 	['Bojan Milenkovic (SK Supreme', ' SunSun Rec)', 'Noromal (SunSun Rec', ' Bassport)', 'Michael Deep (SK Supreme']
5	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	464572	En Profondeur - Bleimagnet	 20 April 2013 	['Durdek (bleimagnet / AG)', 'Mathieu Kubin (regiorave / AG)', 'Barbir (Punkt / ZH)', 'Noromal (sun:sun rec. / SO)']
6	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	469484	Bleimagnet	 04 March 2013 	['Bojan Milenkovic (SK Supreme', ' SunSun Rec)', 'Noromal (SunSun Rec', ' Bassport)', 'Michael Deep (SK Supreme']
7	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	440739	Bleimagnet with Avatism	 02 February 2013 	['DURDEK (bassport)', 'Avatism (live) (vakant/dumb:unit/berlin)', 'Garibovic (definition:music/draft)', 'Jan Penarrubia (sirion rec./off mind)', 'Noromal (bassport/sun:sun records)']
8	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	423916	Bleimagnet with Shaka	 22 December 2012 	['Shaka (Enterbt / Balance US)', 'Noromal (Sun:Sun Rec))', 'Mickail (Raumevents)', 'Durdek (Bleimagnet)', 'Philip Ort (Pins & Needles/Draft London)']
9	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	422496	En Profondeur - Bleimagnet	 30 November 2012 	['', 'Jan Penarrubia // OFF MIND REC/SIRION REC // BE', 'Mathieu Kubin // REGIORAVE // AG', 'Christian Durdek // BLEIMAGNET // AG', 'Noromal // SUN:SUN REC // SO']
10	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	396419	4 Years 'Bleimagnet' with GEL Abril	 27 October 2012 	['Gel Abril (Be As One', 'Michael Deep (SK Supreme', 'Noromal ( SunSun-Records', ' Tel Aviv Israel)', ' Groove On)', ' Terminus Olten)', 'Christian Durdek (Bleimagnet']
11	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	361349	Bleimagnet with Bang Goes	 05 May 2012 	['Smuda (ONA-Rec)', 'Christian Durdek (Bleimagnet)', 'BANG GOES (bruchstuecke)', 'Noromal & Somi (sunsun rec)']
12	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	360069	Electronic Seduction	 14 April 2012 	['DJack Snyder', 'Acoustic Nerds', 'Luc André']
13	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	360201	Electronic Seduction	 17 March 2012 	"['Luc André', 'DJack Snyder', 'Kris Elements', 'Acoustic Nerds', ""Terry O'Neil""]"
14	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	299617	L.E.D	 28 October 2011 	[' DeeJay Q', ' EgoPhunk', ' PolluX', ' Dee-liver', ' Mc Annie Jacklin', 'Darius D']
15	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	288105	Nordbang with Andrea Oliva	 30 September 2011 	['LINE-UP', 'Noromal (Bleimagnet)', 'Somi (Knackig-Saftig-Wohltuned)', 'Andrea Oliva ( Cadenza )', 'Michael Deep (live) (SUNSUN Records)']
16	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	226831	Bleimagnet with tolga Fidan	 19 March 2011 	"['', 'Sa. 19 märz 2011', 'BLEIMAGNET', 'style: techhouse/minimal/techno/electronica', 'Somi ( SunSun Records ) http://www.facebook.com/group.php?gid=34276509278', 'Tuncay Celik ( Mynightlife.Fm ) http://www.mynightlife.fm/', 'VISUALS by motionblur !!', ""DJ's:"", 'eintritt: Fr. 15.-', 'Noromal ( SunSun Records ) http://www.facebook.com/group.php?gid=30453939837', ' Cadenza ) http://www.myspace.com/tolgafidan', 'Knackig-Saftig-Wohltuned präsentiert:', 'Michael Deep ( Banditz / Godeeva ) http://www.djdeep.ch/', 'Tolga Fidan ( Vakant ', 'magnetisches feld aktiv: 22:00 - 04:00Uhr']"
17	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	266856	L.E.D	 26 February 2011 	['DjaneLaRouge', ' EgoPhunk', ' Steven Fox', ' Deejay Q', ' Steven Traffic', ' Darius D']
18	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	221933	Bleimagnet with Piratenkind	 05 February 2011 	['', 'Noromal (SunSun Records)', ' Hive)', 'VISUALS by motionblu', 'Piratenkind (Rohstofflager', 'Somi (SunSun Records) ', 'Quitim (Hoooj Musik Zürich) ']
19	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	196991	Bleimagnet	 04 December 2010 	['Somi', 'DeeNelli', 'Noromal', 'and more...']
20	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	192957	2 Years Bleimagnet	 16 October 2010 	['', 'Noromal (Bleimagnet) ', 'Matija (Eintakt Berlin) |', 'Marco Falkone (Waldtanz) ', 'SUN:SUN live (* Assassin & Michael Deep / Go Deeva Italy & Banditz CH)', 'Somi (Knackig-Saftig-Wohltuned)']
21	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	165965	Superplastik	 15 May 2010 	['Audionatica', 'Massive Jay', 'Quitim', 'uvm']
22	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	265490	L.E.D	 15 April 2010 	[' MC Annie Jaklin', ' DeeJay Q', ' Steven Fox', ' EgoPhunk', ' Steven Traffic', 'MinimalistiX-Project', ' Darius D']
23	24889	 Flösserplatz Aarau	Flösserstrasse 7; 5000, Aarau	136895	Bleimagnet	 30 January 2010 	[' SUPERMARKET)', 'Noromal(ONA-REC)', 'SOMI(resident @ five club)', 'Dee Nelli (HOOOJ', ' ROHSTOFFLAGER)', 'Quitim (HOOOJ']
