	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	350121	Closing Weekend ! Trouw Meets Milk	 31 March 2012 	['', 'AFTER 5PM - OPEN END', 'Opuswerk (PLAK RECORDS - GENEVA) & oO (TANZODERRAUS - ZURICH)', ' WAGON REPAIR - GENEVA)', ' RATIO? - AMSTERDAM)', 'Crowdpleaser (MENTAL GROOVE', 'MELON (TROUW']
1	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	350118	Closing Weekend! James Taylor	 30 March 2012 	['', 'Nicolas Duvoisin (Fantastic Friends - Geneva)', 'James Taylor (ex Swayzak - UK)']
2	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	330263	Ostgut Ton Night	 23 March 2012 	['Virginia ', 'Steffi ', 'DJ Dub']
3	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	342809	Teknologik Présente Massimo Gerardi	 17 March 2012 	[' Memoria - Belgium)', 'Romano Rapeso (TK - Geneva)', 'MASSIMO GERARDI (Circle', 'David Armada (Specimen - Geneva)']
4	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	342807	Horizontal Label Night	 16 March 2012 	['Matthew Styles (Horizontal', ' Horizontal - Chile)', 'DINKY (Cocoon', 'MARLON (Milk resident - Geneva)', ' BPitch - UK)']
5	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	334840	Milk Klub	 10 March 2012 	['Someone Else (Get Physical Music)', 'Paul Eg (Minimo Imprint - Budenzauber )']
6	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	339899	Cougar Nights with Pikaya Live - Luca Torre - Cyril Leger	 09 March 2012 	['CYRIL LEGER', 'Pikaya  (live)', 'Luca Torre']
7	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	335995	You Say Acid House, I Say Spencer Parker	 03 March 2012 	['', ' Rekids - Berlin)', 'Opuswerk (Plak - Geneva)', 'Spencer Parker (Tsuba']
8	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	339888	Teknologik Présente Barem	 02 March 2012 	['Barem (M_NUS/Aregentina)', 'Romano Rapeso (TEKNOLOGIK RECORDS/Geneva)', 'DELAYED PROJECT (TEKNOLOGIK RECORDS/Geneva)']
9	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	333955	Specimenight	 25 February 2012 	['', ' Panorama Bar', ' Ongaku', 'Specimen', ' Crossworld Records', 'Heiko MSO (Frankfurt) Playhouse', 'Association Specimen Event+Booking+Label', ' Lobe Records', ' Jax', ' Erase', 'line up:', 'Juliano Lopez (CH) Specimen', ' Klang', ' Get Physical', 'David Armada (CH) Specimen', ' Electrofraise', 'Tom Burclay (Munchen) Compost Records', ' Cécile', ' Robert Johnson', ' Cocoon', 'Einzelkind (Frankfurt) La Peña', 'Clem (CH) Specimen']
10	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	334225	Fantastic Friends Label Night: Agaric, Plastic Fm - Live -, Nicolas Duvoisin	 18 February 2012 	[' We Are', ' Ostwind', ' Ostwind)', 'Nicolas Duvoisin (Fantastic Friends rec.', 'PLASTIC FM  (live) (Fantastic Friends rec.', 'Agaric (Fantastic Friends Rec.', ' Drumcode', ' Ovum)', ' Eminor)', ' Circle']
11	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	329769	Bar25 Label Night	 17 February 2012 	['Danny Faber', 'Spoony Talker  (live)', 'Britta Arnold', 'Sese']
12	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	329753	Deepness From Buenos Aires /// Violett /// Opuswerk	 11 February 2012 	['', ' llian Tape - Buenos Aires)', ' Lo mid High', 'Violett (Hummingbird', ' Milk Klub resident - Geneva)', 'Opuswerk (Absolutive']
13	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	336008	Teknologik	 10 February 2012 	['Alex Kostik [Teknologik Rec]', 'HOBO  (live) (M_NUS Iron triangle album tour)', 'Romano Rapeso [Teknologik Rec]']
14	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	329746	Techno Resident Night /// Opuswerk /// Oo	 04 February 2012 	[' Mescene', 'oO (Tanzoderraus - Zurich/Geneve)', ' Klangwelt - Geneve)', 'MILK RESIDENTS', 'Opuswerk (PonyPlay', ' Absolutive']
15	44612	 Milk Klub	Rue de Monthoux 60; 1201, Geneva	329736	Perlon Label Night /// Margaret Dygas, San Proper, Marlon	 03 February 2012 	['Marlon (Milk Resident - Geneva)', 'Margaret Dygas (Perlon', 'San Proper (Perlon - Amsterdam)', ' Panoramabar - Berlin)']
