	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	530834	Vitalic Rave Age Tour	 22 November 2013 	[' Yuksek', 'Vitalic  (live)']
1	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	426102	The Last Cityfox	 08 December 2012 	['', ' Supernature - Barcelona)', '- Audiofly (Flying Circus', '- DEJAN (Cityfox - Zürich)', '- VISUALS by DARIO DESIENA', '- MORE TBA', '- RINO (Cityfox - Zürich)', ' BBC Radio1', '- ANDRI LIVE (Cityfox - Zürich)', ' Jackathon - London)', '- Reto Ardour (Cityfox - Zürich)', ' Cityfox - Zürich)', '- HEIDI (Get Physical', '- Wandler (Cityfox - Zürich)', '- Canson (live) (Bar25']
2	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	351203	Nasty Trash	 14 April 2012 	['The Parallax', 'Tony Smash FX', 'Trashy Basstards']
3	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	324833	Cityfox	 28 January 2012 	['CITYFOX', '', '2 FLOORS.', '- Marc Houle (live) - Minus Detroit-Berlin', '- ANDRI Live - Cityfox / Highgrade Zürich', '- DEJAN - Cityfox Zürich', '- Canson (live) - Cityfox Ltd Zürich', '- Dandy Jack (live) - Perlon / Ruta5 Geneva', '- Wandler - Cityfox Zürich', '- Ezikiel - Unite Zürich', '- NADER - Party Garantie Zürich', '- RINO - Cityfox Zürich', 'mit']
4	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	311555	Cityfox	 17 December 2011 	"['', '- M.A.N.D.Y. (Philipp) - Get Physical', '- 2 FLOORS', ""- Henry Sure - Frieda's Büxe Zürich"", ' Cadenza Lausanne-Berlin', '- Craig Richards - Fabric London', '- RINO - Cityfox Zürich', '- Digitaline (live) - Cityfox', '- DEJAN - Cityfox Zürich', '- PROJEKTIL Visuals', ' Stadtpark Wien', '- Markus Lindner - Cityfox', ' Berlin', ""- Don Ramon - Frieda's Büxe"", ' Cheeky Choice Zürich']"
5	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	302097	Cityfox	 19 November 2011 	['', '- PROJEKTIL VISUAL EFFECTS', ' London)', ' Clink', '- Lee Burridge (All Day I Dream', ' Zürich)', '- Wandler (Cityfox', ' Stadtpark', ' Highgrade', ' Bar25', ' Motoguzzi', ' Berlin)', '- Markus Lindner (Cityfox', '- Canson (live) (Cityfox', '- RINO (Cityfox', '- ANDRI LIVE (Cityfox', '- 2 FLOORS.', '- DEJAN (Cityfox', ' Wien)', '- Mark Henning (live) (Cityfox']
6	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	108154	Moving City 2009	 08 August 2009 	['', ' Audion', ' Davide Squillace', ' Live', 'Marco Carola', ' Paco Osuna', ' Click Box (live)', ' Beda']
7	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	40915	Goldfish	 16 February 2008 	['Violett (Buenos Aires)', 'Damián Schwartz (Madrid)', 'Bang Goes', 'Rino', 'Tigerskin (Berlin)']
8	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	40280	Sven Weisemann	 09 February 2008 	['Sven Weisemann', ' Cosili & Gabriel Roth  (live)', ' Eli Verveine', ' John Daly']
9	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	33795	Cityfox	 15 December 2007 	['Ben Parris + more TBA']
10	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	30819	Cityfox	 08 September 2007 	[' Ryan Crosson', 'Visionquest  (live)', ' Lee Curtis', ' Laps and more', ' Seth Troxler']
11	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	20706	Ryan Crosson / Sonja Moonear	 02 June 2007 	['', ' Ralf 10/100', 'Ryan Crosson  (live)', ' Eurokai', ' Sampayo', ' Sonja Moonear']
12	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	20705	My My / Cadenza	 28 April 2007 	['Digitaline  (live) cadenza lausanne', 'FRED 34m2 lausanne', 'Pikaya  (live) cadenza berlin', 'Kalabrese perlon zürich', 'Serafin cadenza zürich', 'My My (LIVE + DJ) - Lee Jones - Nick Höppner - Carsten Klemann - playhouse berlin', 'ÜNSAL KAPTAN s*bar luzern', '(VULPES VULPES) cityfox zürich', 'DISCO DAVE jackpoint zürich', 'DEJAN cityfox zürich', 'JOHN PLAYER 7b zürich']
13	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	20704	Pan-Pot & Someone Else	 27 April 2007 	['', 'Pan-Pot', ' Dapayk  (live)', ' Barem  (live)', ' Someone Else  (live)', ' Pochatz', ' Jauss', ' Rino', ' Lexx']
14	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	20703	Marc Houle / Mathias Kaden	 31 March 2007 	['', ' Mathias Kaden', 'Marc Houle  (live)', ' Peak', ' Nader', ' Van Nutt', ' Rozzo', ' Styro2000', ' Wandler']
15	4901	 Die Harterei	Hardstrasse 219; 8005, Zürich	17793	Cityfox feat Troy Pierce & Mike Shannon	 02 December 2006 	['PAT A °°° PROVINZMUSIK', ' AUSTRIA', ' USA', 'Troy Pierce °°° M_NUS', 'Wandler °°° MOTOGUZZI', ' MONTREAL', 'Mike Shannon °°° CYNOSURE', ' ZÜRICH', 'JAUSS °°° CRASH DELAY']
