	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	82109	 WKND	Via Trevano 56 6900 Lugano	890308	Jamie Jones	 22 October 2016 	"['', ""Music's Light:"", 'Alex Kostic', 'Jamie Jones', 'Tunne:', 'tba']"
1	82109	 WKND	Via Trevano 56 6900 Lugano	831009	Overless present Waff 	 29 April 2016 	['', 'wAFF ( Hot Creations - Drumcode)', 'Edison Cabrino', 'Helder', 'THEO', 'Fiber', 'DRAXON', 'EMI']
2	82109	 WKND	Via Trevano 56 6900 Lugano	811535	Ralf	 11 March 2016 	['Ralf', '', 'Rho', 'Luca Fioretti', 'Emi', 'Alexander Cherry', 'Fiber', 'La Suite:', 'Edison Cabrino b2b Helder']
3	82109	 WKND	Via Trevano 56 6900 Lugano	807172	Wknd present Louie Vega	 26 February 2016 	[' Franz Bianchi', 'Louie Vega', ' Dj Mauri']
4	82109	 WKND	Via Trevano 56 6900 Lugano	836161	Wknd with Onur Özer	 31 May 2014 	['Onur Özur', ' James Mc Hale']
5	82109	 WKND	Via Trevano 56 6900 Lugano	562514	Stefano Ritteri	 08 February 2014 	['Stefano Ritteri', ' Katta']
6	82109	 WKND	Via Trevano 56 6900 Lugano	551187	Last DJ Marathon of 2013	 27 December 2013 	[' EDDIE#KEY', ' Specialivery', 'BELLOMZ', ' Mess Me', ' NACA', ' AC204']
7	82109	 WKND	Via Trevano 56 6900 Lugano	545213	Defected IN The House with Franky Rizardo and Maxxi Soundsystem	 07 December 2013 	['Maxxi Soundsystem', 'Franky Rizardo']
8	82109	 WKND	Via Trevano 56 6900 Lugano	509701	Defected In The House	 26 October 2013 	['', 'Main Room:', 'Noir', 'Smoking Room:', 'Sam Divine', 'Katta', 'Mardoch (Ciemme)']
9	82109	 WKND	Via Trevano 56 6900 Lugano	516052	Defected In The House	 03 September 2013 	['Sam Divine', 'NOIR ']
