	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	862827	Marionette Streetparade-Edition	 13 August 2016 	['MAUY (Affentheater)', ' First Claz (HS12)', ' Volkan Ocak (Bassport)', ' Leonardo (HS12)', ' Hand.an']
1	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	843063	1 Jahr Marionette m/ Laolu 	 04 June 2016 	['', 'Laolu (Innervisions)', 'First Claz (HS12)', 'Leonardo (HS12)']
2	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	819610	Chamæleon with Janis	 19 March 2016 	['', 'Jannik Schaller', 'Janis']
3	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	806416	Chamæleon with Janiz	 20 February 2016 	['Carla Du Riche', 'Deep- und Tech-House', 'Janiz']
4	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	745112	Bringing Up	 18 September 2015 	['Fabio Papa  (live) (Little helpers / Zürich)', 'Dj Gino (Wädenswil)', 'Diego Suarez (Freaky Kitchen / Zürich)', 'Lee Jokes (O.L.A. Records / Katermukke / Berlin)', 'Darrien (Along with / Zürich)', 'Walter Albini  (live) (Catwash Records / Lugano)']
5	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	754515	Helden der Nacht	 18 September 2015 	[' And Hazel', 'Marco De Rosa']
6	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	749020	Marionette mit Nakadia	 29 August 2015 	[' Indiana Tones)', ' Zwei mit Stil', ' Leonardo (Marionette', ' Mirus & Hazy (Klang am See)', ' First Claz (Marionette)', 'Nakadia (Get Physical/ Ants)']
7	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	714217	Neo Disco	 22 May 2015 	['Steven Wallace ', 'Mucho Stylez']
8	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	648897	Jagdstube	 08 November 2014 	['Miguel Puente', ' Low Tales', ' Marco De Rosa']
9	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	601173	Mkknschwrm - Labelnacht	 24 May 2014 	"["" Phil Z'viel"", ' monsieur juste', 'After Grauer']"
10	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	592937	Bass UND Benefiz at HW - Deine Heile Welt im Kreis 4	 03 May 2014 	['Fiat Bux ', 'Georg Stuby', 'Beda']
11	88254	 Heile Welt	Neufrankengasse 22, 8004 Zürich	562238	Daytimer with Rossko	 08 February 2014 	[' London)', 'Ra.pu & Nekow', 'Sandro Kühne', 'Rossko (Fuse', 'Flavio (CH)', 'Alci']
