	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	9019	 Crans Montana	Crans-Montana	787249	Caprices Festival 2016	 07 April 2016 	[' KiNK', ' Sven Väth', ' Tale Of Us', ' Raresh', ' Praslea', ' Ricardo Villalobos', ' Ryan Crosson', ' DJ Tennis', ' Magda', ' Alci', ' The Martinez Brothers', ' Jamie Jones', ' Ilario Alicante', ' Nastia', ' Michel Cleis', ' Tim Green', ' Nicolas Duvoisin', 'Adolpho & Franky', ' Guy Gerber', ' Âme  (live)', ' Rødhåd', ' Recondite', ' Stimming', ' Maceo Plex', ' Mathew Jonson', ' Eats Everything', ' Kun (CH)', ' Nina Kraviz', ' Mind Against']
1	9019	 Crans Montana	Crans-Montana	666732	Caprices Festival 2015	 09 April 2015 	['', 'DJ Tennis', 'Zip', '9 April 2015 – Moon', 'Dubfire: LIVE HYBRID\u2028', '\t\t', 'Christian Burkhardt', '12 April 2015 – Modernity', 'ST. LÔ', 'Ricardo Villalobos\u2028', 'Guti  (live)\u2028', 'Ellen Allien\u2028', 'Dixon\u2028', 'Art Department (Kenny Glasgow)\u2028', 'STRESS\u2028', '\u2028', 'Sven Väth\u2028', 'Caprices Festival', '10 April 2015 - Moon', 'Modernity', 'Solomun\u2028', '11 April 2015 - Moon', 'Luciano\u2028', 'Sonja Moonear\u2028 (NEW! REPLACES RARESH)', 'C2C\u2028', 'Digitalism (DJ SET)\u2028', 'Kollektiv Turmstrasse', 'Damian Lazarus\u2028', 'Gel Abril', 'Chris Liebing\u2028', 'Deep Dish\u2028', 'Apollonia\u2028', 'AYO\u2028']
2	9019	 Crans Montana	Crans-Montana	548979	Caprices Festival Day 3: Modernity	 13 April 2014 	['Sven Väth', 'Ezikiel', 'Alejandro Mosso']
3	9019	 Crans Montana	Crans-Montana	548964	Caprices Festival Day 2: Le Moon / Modernity / Rock the Blocks	 12 April 2014 	['Gesaffelstein  (live)', 'The Toxic Avenger  (live)', 'Ricardo Villalobos', 'Masaya', 'Shlomi Aber', 'tINI', 'Rare Movement', 'Jeff Mills', 'Carl Cox', 'Magda', 'Argenis Brito', 'Eddie Fowlkes', 'Lucas Monème', 'Dandy Jack', 'DJERRY C', 'FRANKY (Adolpho & Franky)']
4	9019	 Crans Montana	Crans-Montana	541751	Caprices Festival	 11 April 2014 	['', 'Shlomi Aber', 'Ricardo Villalobos', '11 APRILE MODERNITY (55€)', 'TINI', '12 APRILE LE MOON (65€)', 'Gesaffelstein (live)', 'Loco Dice', 'Richie Hawtin', 'Ezikiel', '12 APRILE MODERNITY (55€)', '11 APRILE LE MOON (65€)', 'Sven Väth', 'Jeff Mills', 'The Toxic Avenger (live)', 'Carl Cox', 'Magda', 'Marco Carola', 'Masaya', 'Gaiser (live)', ' ', 'Benoit & Sergio', '13 APRILE MODERNITY (55€)', 'Alejandro Mosso']
5	9019	 Crans Montana	Crans-Montana	462301	Luciano & Friends at Modernity at Caprices	 14 March 2013 	[' Guillaume & The Coutu Dumonts', ' Andrea Oliva', 'Luciano', ' Henrik Schwarz']
6	9019	 Crans Montana	Crans-Montana	458011	Brandt Brauer Frick Feat. Om'mas Keith, presented by Carhartt WIP	 12 March 2013 	"[""Brandt Brauer Frick feat. Om'mas Keith""]"
7	9019	 Crans Montana	Crans-Montana	358018	Rock the Block 2012	 11 April 2012 	"['', 'Andrea Oliva', 'Guillaume & The Coutu Dumonts', ""Nobody's Perfect Dj"", '►►► JEUDI 12 AVRIL', '►►► VENDREDI 13 AVRIL', 'Sety', 'Pasci', 'Agoria b2b Mirko Loko', 'Nima Gorji', 'San Marco', '►►► SAMEDI 14 AVRIL', 'Gogo', 'Luca Torre', 'Seuil', 'Don Ramon', 'Animal Trainer', '►►► MERCREDI 11 AVRIL', 'Timoteo', 'Matt Kay']"
8	9019	 Crans Montana	Crans-Montana	326409	Festiv'Alps Crans-Montana // 26 Au 29 Janvier 2012	 27 January 2012 	['Chris Bailey', 'Tony-P']
9	9019	 Crans Montana	Crans-Montana	233570	Modernity with Stacey Pullen, Guy Gerber and More	 09 April 2011 	['Stacey Pullen', ' Guillaume & The Coutu Dumonts', ' Special Guest', ' Mathew Jonson', ' Margaret Dygas', ' Guy Gerber']
10	9019	 Crans Montana	Crans-Montana	236370	Modernity with Kenny Larkin, Ricardo Villalobos and More	 08 April 2011 	['Ricardo Villalobos', ' Carl Craig', ' Mirko Loko', ' Radio Slave', ' Kenny Larkin']
11	9019	 Crans Montana	Crans-Montana	145939	Caprices Festival 2010	 10 April 2010 	['', 'Ricardo Villalobos', 'Yodelice (FR)', 'Narod Niki (DE)', 'Derrick May (US)', 'Junior Tshaka (CH)', 'Carl Cox (UK)', 'La Ruche Présente :', 'Rodrigo y Gabriela (MEX)', 'DJ Food & DK (UK)', 'Milow (BE)', 'Martin Solveig (FR)', 'Ajele (CH)', 'Gotan Project (AR/FR/CH)', 'The Gladiators (JAM)', 'The Disciplines (NOR)', 'Ben Larsen (FR)', 'Felipe Acevedo (CH)', 'Grand Corps Malade (FR)', 'Luke (FR)', 'Dani Casarano (CH)', 'Birdy Nam Nam (FR)', 'Andrea Oliva (CH)', 'Sonja Moonear (CH)', 'Ramon Lorenzo (CH) \t \t \t \t', 'Ziggi (NL)', 'Two Loops Low Tek (CH)', 'Ghinzu (BE)', 'Konpiuta  (live) (CH)\t', 'Yoav (ZAF)', 'Missil (FR)', 'Pikaya  (live) (DE)', 'Macy Gray (USA)', 'Amy Macdonald (SCO)', 'Eiffel (FR)', 'Sety (FR)', 'Masaya (CH)', 'Andri  (live) (CH)', 'Luca Castillo (FR)', 'Luka Torre (IT)', 'Pedro Andrade (CH)', 'Trip In (CH)', 'AI-X (CH)']
12	9019	 Crans Montana	Crans-Montana	158305	La Ruche	 10 April 2010 	['Pikaya', 'Two loops low tek', 'Ramon Lorenzo', 'Luca Torre vs Ben Larsen']
13	9019	 Crans Montana	Crans-Montana	145941	Carl Cox, Derrick May	 09 April 2010 	['', 'Ricardo Villalobos', 'Yodelice (FR)', 'Narod Niki (DE)', 'Derrick May (US)', 'Junior Tshaka (CH)', 'Carl Cox (UK)', 'La Ruche Présente :', 'Rodrigo y Gabriela (MEX)', 'DJ Food & DK (UK)', 'Milow (BE)', 'Martin Solveig (FR)', 'Ajele (CH)', 'Gotan Project (AR/FR/CH)', 'The Gladiators (JAM)', 'The Disciplines (NOR)', 'Ben Larsen (FR)', 'Felipe Acevedo (CH)', 'Grand Corps Malade (FR)', 'Luca Castillo (FR)\t', 'Luke (FR)', 'Dani Casarano (CH)', 'Birdy Nam Nam (FR)', 'Andrea Oliva (CH)', 'Sonja Moonear (CH)', 'Ziggi (NL)', 'Two Loops Low Tek (CH)', 'Ghinzu (BE)', 'Yoav (ZAF)', 'Missil (FR)', 'Pikaya  (live) (DE)', 'Macy Gray (USA)', 'Amy Macdonald (SCO)', 'Eiffel (FR)', 'Sety (FR)', 'Masaya (CH)', 'Konpiuta  (live) (CH)', 'Ramon Lorenzo (CH)', 'Andri  (live) (CH)', 'Luca Castillo (FR)', 'Luka Torre (IT)', 'Pedro Andrade (CH)', 'Trip In (CH)', 'AI-X (CH)']
14	9019	 Crans Montana	Crans-Montana	41856	Caprices Festival - Day 4	 29 March 2008 	"['Keziah Jones (NI)', 'Festival IN: \t   \t', ""Le Peuple de L'Herbe (FR)"", 'Special Night by Cadenza ()', 'William White & the Emergency (CH)', 'Mattafix (UK)', 'DIONYSOS (FR)', '\t', 'OrangeMusic - On The Top:', 'WYCLEF JEAN (USA/HAÏ)', 'OrangeMusic on the Top Winner ()', 'Noa (Israël)']"
