	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	419484	Geneticz	 07 December 2012 	[' D-Andy & J Rony (CH / Recycle Rec.)', ' Metanoize (DE / Ben Dover rec.)', 'djs Biodan (CZ / Roxy Prague / Solstice Rec.)', ' Alek Sys (CH / Naked Rec.)', ' Nora Bora (SK / GeneticZ)']
1	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	417056	Musiktoast Family Vol.1	 27 October 2012 	['Fine selection of tartineurs']
2	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	488401	Dipp'n Toast Vol.2	 16 June 2012 	['', 'Doppel Dipp (Dj set)', 'Stereoclip (live) ', 'Mokic (Dj set)', 'aka Seb & GaLaBar']
3	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	348681	Los Cruzeiros (Lausanne - Ch)	 19 May 2012 	['Los Cruzeiros']
4	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	488398	52ooobeats with Doppel Dipp & WF Müsik	 12 May 2012 	['Doppel Dipp', '', 'aka Seb & GaLaBar', 'Nemo #', 'Sins (WF)']
5	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	348680	Los Cruzeiros (Lausanne - Ch)	 28 April 2012 	['Los Cruzeiros']
6	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	337578	52.000 Beats	 17 March 2012 	['Laurent Charbon [Hummingbird / Lausanne]', 'Rainer [Desolat / Barcelone]']
7	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	326764	52'000 Beats with Miguel Campbell & Chris Bailey	 03 March 2012 	['Miguel Campbell ', 'Chris Bailey']
8	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	334956	52'000 Beats with Andri & Chris Bailey	 18 February 2012 	[' Lausanne]', 'Andri  (live) [Cityfox Zurich]', 'Chris Bailey [Ultimate Groove']
9	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	334952	Mercredeep	 08 February 2012 	['Chris Bailey', 'Diego Indigo']
10	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	334950	Mercredeep	 01 February 2012 	['David Armada', 'Chris Bailey']
11	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	326819	Mercredeep	 25 January 2012 	['Daniel DB', 'Chris Bailey']
12	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	329107	52'000 Beats with Lovebirds & Chris Bailey	 21 January 2012 	['Chris Bailey', 'Lovebirds']
13	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	326566	Mercredeep	 18 January 2012 	['Chris Bailey all night long']
14	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	324743	Mercredeep	 11 January 2012 	['Chris Bailey', 'Tony-P']
15	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	316762	52000 Beats	 07 January 2012 	['TBA']
16	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	324742	Mercredeep	 04 January 2012 	['Chris Bailey', 'Diego Indigo']
17	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	308629	52'000 Beats	 10 December 2011 	['Monkey Safari']
18	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	311380	52'Ooo Beats with jean Meyer, D-Andy & T-Rony, Don Ramon	 03 December 2011 	"['Don Ramon (Fantastic Friends', "" Frieda's Büxe"", ' ZH)', 'D-andy & T-rony (Minidetail', 'Jean Meyer', ' VD)']"
19	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	311379	52'Ooo Beats with freiberg, Emmat, Crowdpleaser	 26 November 2011 	[' GE)', 'Emmat (Minidetail', 'Freiberg (Elektrostuebete', 'Crowdpleaser (Turbo', ' VD)', ' BE)', ' Motel Campo']
20	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	311377	52'Ooo Beats with ryan Hawkin (Live!), Yan Ka Et Dadive	 19 November 2011 	['Yan Ka (!Organism)', 'Ryan Hawkin (live!) (Fine Food)', ' Schaermoments)', 'Dadive (Al Dente']
21	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	306285	52'0oo Beats with Robert James	 05 November 2011 	['Chris Bailley', 'Mat Kay ', 'Robert James']
22	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	304429	52'Ooo Beats with Valentino, La Fée Verte, Max Nero	 29 October 2011 	"['22:00 - 00:30 Max Nero (Krystal Event)', '00:30 - 02:30 La Fée Verte (Festmacher Midilux)', ""02:30 - 05:00 Valentino (Frieda's Büxe)""]"
23	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	303235	52'Ooo Beats with pepperpot	 22 October 2011 	['Pepperpot', 'Gepe Tuzzo', 'Fa_bien']
24	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	300483	52'Ooo Beats with franco Cinelli	 15 October 2011 	['22h00-00h00 Pandallougi (St Vitus)', ' LoMidHigh)', '00h00-02h00 Emmat (Minidetail)', '02h00-04h45 Franco Cinelli (Esperanza']
25	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	297917	52'Ooo Beats with Pasci	 08 October 2011 	['02h30 - 05h00 Pasci (Zü)', '00h30 - 02h30 D-andy & T-rony (Vd)', '22h00 - 00h30 Mia Kaltes (Be)']
26	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	294807	25.Ooo Beats with bruno Pronsato - Live	 01 October 2011 	['03h00-04h45 Jacqui', '01h00-03h00 Bruno Pronsato  (live)', '22h00-01h00 Felipe Acevedo ']
27	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	259392	Chocolate Festival	 18 June 2011 	[' Hive Audio', 'Benja (Hive Audio', ' ZH)', 'Reto Ardour (Hive Audio', 'Hive Audio showcase with : ', 'Animal Trainer (Poker Flat']
28	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	260666	Get Down Monsters	 27 May 2011 	['DIRTYMADSOUND ', 'GOLD HANGOVER ', 'SHAKE IT MASCHINE & MR. PIGMAN', 'Cosmic Bastards']
29	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	259154	D3 Afterhours	 21 May 2011 	['Dyson_c']
30	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	226045	Honey Party	 27 January 2011 	['', 'Raphael Prest', 'Luca Albano', '- Warm up -']
31	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	201080	Chapelier Fou, Masomenos Et Sam K	 18 October 2010 	['Chapelier fou', ' Masomenos', ' Sam Ka']
32	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	196663	Sexy House Session	 02 October 2010 	['YANN STUCKI', 'G!L Everest']
33	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	221544	Lausanne Calling Afterhour	 15 May 2010 	['Groove', 'Wayne Harber ', 'Marcus Werany', 'Lil Fry ']
34	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	147429	Bass From The East / Supalame's Drum & Bass	 27 February 2010 	"['', 'Pryus & Psyon (NinjaBreakz / HU)', ""Drum'n'Bass / Breaks"", 'TAZ (Bass4Unity / CH)', 'VJs: Namo & Dr. Tintenblut', 'Le Spectre (SupaLame / CH)', 'MC Stone (Neurocide / CH)']"
35	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	129774	Chicks On Breaks - Supalame's Drum & Bass	 05 December 2009 	['', 'DJ Fever (Feeling&Sound)', 'Honeya', 'VJs: Namo & Dr. Tintenblut', 'Le Spectre (Bass4Unity)', 'TAZ (Bass4Unity)', 'MC Yasmine']
36	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	113347	Chicaboom! feat. Ast & Jacqui	 19 September 2009 	['Ast (Mischpult - Zirich)', ' Harry Klein- Lausanne)', 'Jacqui (MiniShake']
37	20707	 Sidewalk Café & Vinyl Club	Place du Tunnel 9; 1005, Lausanne	82626	Hospital	 28 February 2009 	['03:00-05:00 : Limic -aka Lio M-', '23h-05h00', '23:00-01:00 : Pedro Andrade', ' Entrée 10.-', '00:01-03:00 : Bjorn Born -DJ- (Poor Records) Genève']
