	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	22971	 Sas	Rue du 23-juin 23; 2800, Delémont	891443	Kickdown w. Brett Jacobs, Kevin Ge, Elrino & Nahste Oner	 29 October 2016 	['Elrino / ABARTIK', 'Brett Jacobs / NG TRAX', 'NAHSTE ONER / MUSIQ REC.', ' LONDRES', 'KEVIN GE / FOOTLOOSE']
1	22971	 Sas	Rue du 23-juin 23; 2800, Delémont	809151	Secret Lines with Trunkline, Pascal Strambini, VJ Sébastien Faivre	 02 April 2016 	['Trunkline', ' VJ Sebastien Faivre', ' Pascal Strambini']
2	22971	 Sas	Rue du 23-juin 23; 2800, Delémont	809141	Sterac aka Steve Rachmad, The Alchemist, Swithoney, VJ Akinetik	 05 March 2016 	['STERAC aka Steve Rachmad', ' Swithoney', ' The Alchemist']
3	22971	 Sas	Rue du 23-juin 23; 2800, Delémont	791055	Noise Fest	 19 February 2016 	"['', ""Stephen O'Malley (US/FR)"", 'Mika Vainio & FRANCK VIGROUX (FIN/FR)', 'Ketev (DE)', 'COSNOST (CH)', 'GILLES Aubry (CH)', 'CYRUS DUFOY (CH)', 'MESS NOIR (CH)', '02.20.2016', '02.19.2016', 'ANDY GUHL (CH)']"
4	22971	 Sas	Rue du 23-juin 23; 2800, Delémont	696236	Secret Lines Area with Timid Boy, Actamin, Extrastunden	 20 March 2015 	"[' Actamin', ' Extrastunden""', '""Timid Boy']"
5	22971	 Sas	Rue du 23-juin 23; 2800, Delémont	668351	Ppnf #6: LE P'tit Jesus EN Culotte DE Groove	 24 December 2014 	['Essex Groove']
6	22971	 Sas	Rue du 23-juin 23; 2800, Delémont	655399	Savoure Le Beat #5	 12 December 2014 	[' Swithoney', 'Tim Green', ' Reber', ' Agape']
7	22971	 Sas	Rue du 23-juin 23; 2800, Delémont	639873	Gravitation	 29 November 2014 	[' Dj Mitch', ' Se-te-ve', ' Damian Deroma', 'Nemelka', ' Olivier Kolly', ' yAn!', ' Jessie', ' MrCheeky', ' Marlon']
8	22971	 Sas	Rue du 23-juin 23; 2800, Delémont	560478	The Glorious 80s	 03 May 2014 	['DJ XETAL', 'DJ DACID']
9	22971	 Sas	Rue du 23-juin 23; 2800, Delémont	560133	Peter Van Hoesen	 22 March 2014 	['', 'Romano Forthegroove - urban structure (ch)', 'Peter Van Hoesen - time to express (berlin)']
