	ClubID	ClubName	Address	EventID	EventName	Date	LineUp
0	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	875948	Afterhours at Saxo	 16 September 2016 	['Lui Young', ' Bedran.']
1	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	438929	Saxo Afterhours	 06 January 2013 	[' Just like that!', '', 'Sandro Falletta | Colludo Records', 'Dalibox | Just like that!', ' Salidamusic', ' ConAction', ' Minimalfraktion']
2	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	432061	Afterhours	 08 December 2012 	[' Just like that!', 'Sandro Falletta | Colludo Records', ' Salidamusic', ' ConAction', 'Dalibox | Salidamusic', ' Minimalfraktion']
3	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	375272	The Showcase	 15 June 2012 	['Eleminal']
4	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	369025	The Showcase	 18 May 2012 	['Eleminal (Colludo Rec.) all night long']
5	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	353382	The Showcase	 06 April 2012 	['Eleminal']
6	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	343596	The Showcase	 02 March 2012 	['Eleminal (Colludo Records)']
7	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	248793	Dilek Afterhours with Nooncat, Max Nero and J-One	 19 June 2011 	[' Trenton)', ' Treibstoff', 'J-One (Krystal Events)', 'Max Nero (Krystal Events)', 'Nooncat aka Alex Meshkov (Trapez', ' Dilek']
8	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	246174	Dilek Afterhours with Martin Huergo and Ramin	 12 June 2011 	[' 4Line)', 'Martin Huergo (Dilek', ' Acktivism', ' Wuzz Täzz Universal)', 'Ramin (Voodoo Industries']
9	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	248753	Dilek Afterhours and Sweet Noise present: Dub Dummies & Rodrigo Rivera	 22 May 2011 	[' Sweet Noise)', ' Sweet Noise', ' Mindtrip)', 'Rodrigo Rivera (Darek', ' Darek', 'Dub Dummies (live) (ISL']
10	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	229909	Franco Bianco and Mike Wall present White Wall Live	 13 March 2011 	['Franco Bianco & Mike Wall present White Wall Live!']
11	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	174001	Afterhour	 19 June 2010 	['Mafi-Ozee (Le Saxo)', 'Eleminal (Miniload Records)']
12	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	157767	Afterhours	 08 May 2010 	['- Dj Albee ', '- Eleminal']
13	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	159948	Franco Bianco	 18 April 2010 	['Franco Bianco', ' Oliver K']
14	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	157762	Afterhours	 10 April 2010 	['Eleminal 4h Set']
15	24299	 Le Saxo	Theaterstrasse 4; 4051, Basel	134224	Le Saxo Afterhours	 13 December 2009 	['Ned O`Neal', ' BASCHGI SCHUUB', ' MODESTINO']
